TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
7,0,0.0000,0.0500,8.4100e+27,4.0000e+25,3.0100e+27,3.0000e+25,1.0945e+32,3.3627e+31,136
7,1,0.0500,0.1000,6.1600e+27,5.9000e+26,2.1500e+27,2.5000e+26,2.4252e+31,8.5842e+30,136
7,2,0.1000,0.2000,1.5220e+28,5.2300e+27,8.8100e+27,3.5000e+27,3.6727e+31,1.9167e+31,136
7,3,0.2000,0.3500,2.0430e+28,2.5930e+28,1.3750e+28,1.8820e+28,2.5090e+31,1.6445e+31,136
7,4,0.3500,0.5500,1.7970e+28,7.4550e+28,1.4100e+28,6.2830e+28,1.3069e+31,1.0419e+31,136
7,5,0.5500,1.0100,1.6130e+28,3.3778e+29,1.5700e+28,3.3054e+29,7.5603e+30,6.9547e+30,136
8,0,0.0000,0.0500,8.7700e+27,5.0000e+25,3.1200e+27,9.0000e+25,1.0997e+32,3.3587e+31,137
8,1,0.0500,0.1000,6.1500e+27,4.6000e+26,1.9300e+27,2.5000e+26,2.4249e+31,8.9235e+30,137
8,2,0.1000,0.2000,1.6290e+28,5.1600e+27,8.5200e+27,3.5900e+27,3.6598e+31,1.9276e+31,137
8,3,0.2000,0.3500,2.0730e+28,2.5370e+28,1.3580e+28,1.9250e+28,2.4999e+31,1.6552e+31,137
8,4,0.3500,0.5500,1.7600e+28,7.6280e+28,1.4610e+28,6.4760e+28,1.3182e+31,1.0471e+31,137
8,5,0.5500,1.0100,1.6870e+28,3.3468e+29,1.5600e+28,3.2892e+29,7.6836e+30,7.0162e+30,137
9,0,0.0000,0.0500,8.9900e+27,6.0000e+25,3.2200e+27,8.0000e+25,1.0970e+32,3.2305e+31,137
9,1,0.0500,0.1000,5.9400e+27,5.8000e+26,2.2500e+27,2.6000e+26,2.4029e+31,1.0238e+31,137
9,2,0.1000,0.2000,1.5740e+28,5.6600e+27,8.6600e+27,3.3500e+27,3.6623e+31,1.9254e+31,137
9,3,0.2000,0.3500,1.9520e+28,2.4020e+28,1.3610e+28,2.0270e+28,2.4380e+31,1.6514e+31,137
9,4,0.3500,0.5500,1.8030e+28,7.5750e+28,1.4440e+28,6.8130e+28,1.3151e+31,1.0556e+31,137
9,5,0.5500,1.0100,1.6460e+28,3.4125e+29,1.5360e+28,3.1974e+29,7.5904e+30,6.9663e+30,137
10,0,0.0000,0.0500,8.6300e+27,2.0000e+25,2.5200e+27,6.0000e+25,1.0943e+32,3.1799e+31,137
10,1,0.0500,0.1000,5.6300e+27,5.9000e+26,2.3300e+27,1.5000e+26,2.3817e+31,1.0729e+31,137
10,2,0.1000,0.2000,1.6540e+28,4.9900e+27,8.1600e+27,3.6800e+27,3.6907e+31,1.9225e+31,137
10,3,0.2000,0.3500,1.9520e+28,2.4280e+28,1.3600e+28,1.9200e+28,2.3562e+31,1.6538e+31,137
10,4,0.3500,0.5500,1.7660e+28,7.5150e+28,1.4410e+28,6.4770e+28,1.3146e+31,1.0529e+31,137
10,5,0.5500,1.0100,1.6590e+28,3.2967e+29,1.5910e+28,3.2362e+29,7.5973e+30,6.9612e+30,137
11,0,0.0000,0.0500,8.3300e+27,6.0000e+25,2.7500e+27,4.0000e+25,1.0918e+32,3.0928e+31,137
11,1,0.0500,0.1000,5.5900e+27,5.3000e+26,2.3500e+27,2.8000e+26,2.3569e+31,1.1602e+31,137
11,2,0.1000,0.2000,1.5920e+28,5.5900e+27,8.6300e+27,3.3900e+27,3.6580e+31,1.9152e+31,137
11,3,0.2000,0.3500,1.9630e+28,2.3390e+28,1.3500e+28,1.8890e+28,2.3351e+31,1.6500e+31,137
11,4,0.3500,0.5500,1.7330e+28,7.1960e+28,1.4210e+28,6.7820e+28,1.3091e+31,1.0583e+31,137
11,5,0.5500,1.0100,1.6030e+28,3.2336e+29,1.5370e+28,3.2610e+29,7.5410e+30,6.9938e+30,137
12,0,0.0000,0.0500,8.6100e+27,6.0000e+25,2.6300e+27,4.0000e+25,1.0895e+32,3.0790e+31,137
12,1,0.0500,0.1000,5.6000e+27,4.7000e+26,2.5100e+27,2.3000e+26,2.3379e+31,1.1722e+31,137
12,2,0.1000,0.2000,1.5090e+28,5.6600e+27,8.3900e+27,2.7300e+27,3.6185e+31,1.9082e+31,137
12,3,0.2000,0.3500,1.8590e+28,2.4400e+28,1.3560e+28,1.8790e+28,2.3153e+31,1.6455e+31,137
12,4,0.3500,0.5500,1.7410e+28,7.2260e+28,1.4570e+28,6.2290e+28,1.3034e+31,1.0571e+31,137
12,5,0.5500,1.0100,1.6250e+28,3.2254e+29,1.5200e+28,3.1383e+29,7.5036e+30,6.9111e+30,137
13,0,0.0000,0.0500,8.0700e+27,2.0000e+25,3.1400e+27,4.0000e+25,1.0871e+32,3.0721e+31,137
13,1,0.0500,0.1000,5.4100e+27,4.1000e+26,2.7400e+27,2.3000e+26,2.3160e+31,1.1777e+31,137
13,2,0.1000,0.2000,1.5690e+28,5.5000e+27,8.2800e+27,3.0100e+27,3.5895e+31,1.8995e+31,137
13,3,0.2000,0.3500,1.8540e+28,2.3630e+28,1.3300e+28,1.8910e+28,2.2952e+31,1.6383e+31,137
13,4,0.3500,0.5500,1.6960e+28,7.3200e+28,1.4710e+28,6.4070e+28,1.2947e+31,1.0479e+31,137
13,5,0.5500,1.0100,1.5810e+28,3.1894e+29,1.5190e+28,3.1352e+29,7.4461e+30,6.8813e+30,137
14,0,0.0000,0.0500,8.3800e+27,3.0000e+25,2.6500e+27,4.0000e+25,1.0922e+32,2.9848e+31,138
14,1,0.0500,0.1000,5.2400e+27,5.0000e+26,2.5000e+27,3.5000e+26,2.3123e+31,1.2934e+31,138
14,2,0.1000,0.2000,1.5070e+28,5.0900e+27,8.1400e+27,3.2900e+27,3.5835e+31,1.9071e+31,138
14,3,0.2000,0.3500,1.8380e+28,2.3370e+28,1.3670e+28,1.7260e+28,2.2897e+31,1.6498e+31,138
14,4,0.3500,0.5500,1.7250e+28,7.1090e+28,1.4420e+28,6.4140e+28,1.2944e+31,1.0542e+31,138
14,5,0.5500,1.0100,1.6010e+28,3.1183e+29,1.4990e+28,3.0659e+29,7.4169e+30,6.9204e+30,138
15,0,0.0000,0.0500,7.8300e+27,7.0000e+25,2.5800e+27,8.0000e+25,1.0890e+32,2.9829e+31,138
15,1,0.0500,0.1000,6.0500e+27,5.0000e+26,2.6600e+27,2.3000e+26,2.2943e+31,1.2940e+31,138
15,2,0.1000,0.2000,1.4540e+28,5.1100e+27,7.9900e+27,2.7700e+27,3.5431e+31,1.8478e+31,138
15,3,0.2000,0.3500,1.8040e+28,2.2930e+28,1.3310e+28,1.8860e+28,2.2789e+31,1.6837e+31,138
15,4,0.3500,0.5500,1.6970e+28,7.0740e+28,1.4640e+28,6.2330e+28,1.2859e+31,1.0525e+31,138
15,5,0.5500,1.0100,1.5580e+28,3.1763e+29,1.5750e+28,3.1032e+29,7.4416e+30,6.9222e+30,138
16,0,0.0000,0.0500,7.9300e+27,6.0000e+25,2.8800e+27,6.0000e+25,1.0864e+32,2.9835e+31,138
16,1,0.0500,0.1000,5.3900e+27,4.4000e+26,2.6800e+27,1.9000e+26,2.2785e+31,1.2931e+31,138
16,2,0.1000,0.2000,1.5000e+28,5.2400e+27,7.5300e+27,3.2800e+27,3.5108e+31,1.8358e+31,138
16,3,0.2000,0.3500,1.8010e+28,2.2320e+28,1.3840e+28,1.7780e+28,2.2631e+31,1.6780e+31,138
16,4,0.3500,0.5500,1.6870e+28,6.9910e+28,1.4920e+28,6.4770e+28,1.2742e+31,1.0508e+31,138
16,5,0.5500,1.0100,1.6570e+28,3.1950e+29,1.5700e+28,3.0530e+29,7.5256e+30,6.9387e+30,138
17,0,0.0000,0.0500,7.6900e+27,5.0000e+25,2.6200e+27,7.0000e+25,1.0837e+32,2.9853e+31,138
