# Wavelength Flux(MR)
5.89097364e+02 -7.75269679e+28
5.89100659e+02 -1.32904131e+30
5.89103954e+02 -3.76002210e+29
5.89107249e+02 5.83516280e+29
5.89110544e+02 1.73301734e+29
5.89113839e+02 2.34896926e+29
5.89117135e+02 6.14480080e+28
5.89120430e+02 -5.59243039e+29
5.89123725e+02 -4.93389312e+29
5.89127020e+02 -1.86770213e+29
5.89130315e+02 -1.55649934e+29
5.89133610e+02 6.56460096e+29
5.89136905e+02 -9.66702052e+28
5.89140200e+02 3.50403558e+29
5.89143496e+02 9.25229483e+29
5.89146791e+02 6.23455066e+29
5.89150086e+02 8.56002840e+28
5.89153381e+02 -7.76111103e+29
5.89156676e+02 3.71332591e+29
5.89159971e+02 8.45421212e+29
5.89163266e+02 7.17943098e+29
5.89166561e+02 -5.74661298e+29
5.89169856e+02 2.97190612e+29
5.89173152e+02 -3.57298825e+27
5.89176447e+02 1.70188515e+29
5.89179742e+02 1.25178899e+30
5.89183037e+02 1.04612026e+29
5.89186332e+02 -5.17019592e+29
5.89189627e+02 1.59705619e+29
5.89192922e+02 1.12537563e+30
5.89196217e+02 -7.33611453e+29
5.89199513e+02 -9.01064896e+28
5.89202808e+02 1.64058800e+30
5.89206103e+02 5.94014125e+29
5.89209398e+02 -7.03444239e+29
5.89212693e+02 -5.27779602e+29
5.89215988e+02 -3.92470354e+29
5.89219283e+02 -3.98254025e+29
5.89222578e+02 2.22012633e+29
5.89225873e+02 -2.41382285e+29
5.89229169e+02 -3.13875450e+28
5.89232464e+02 -4.53426759e+29
5.89235759e+02 5.59008612e+29
5.89239054e+02 2.04408563e+29
5.89242349e+02 -2.35771090e+29
5.89245644e+02 -4.23618668e+29
5.89248939e+02 -1.85754639e+30
5.89252234e+02 1.73088817e+29
5.89255530e+02 -1.92696232e+29
5.89258825e+02 -7.03574491e+29
5.89262120e+02 -5.52509942e+29
5.89265415e+02 1.14071850e+30
5.89268710e+02 -4.43375574e+29
5.89272005e+02 -1.91724614e+29
5.89275300e+02 1.41385861e+29
5.89278595e+02 1.03311296e+30
5.89281890e+02 1.23472437e+28
5.89285186e+02 5.20381624e+29
5.89288481e+02 8.39597056e+29
5.89291776e+02 1.01244833e+30
5.89295071e+02 -1.18074528e+29
5.89298366e+02 -5.05773423e+29
5.89301661e+02 -4.78907278e+29
5.89304956e+02 -1.01784037e+30
5.89308251e+02 -4.77643154e+29
5.89311547e+02 -1.48914594e+30
5.89314842e+02 -8.53298992e+29
5.89318137e+02 7.69565013e+29
5.89321432e+02 -1.03260079e+30
5.89324727e+02 2.05713844e+29
5.89328022e+02 3.24651411e+28
5.89331317e+02 -5.92425219e+28
5.89334612e+02 2.42658920e+29
5.89337907e+02 -2.24194531e+29
5.89341203e+02 6.99836973e+29
5.89344498e+02 1.06028639e+29
5.89347793e+02 4.35972007e+29
5.89351088e+02 2.61758814e+29
5.89354383e+02 -5.27736378e+29
5.89357678e+02 -1.16901167e+29
5.89360973e+02 7.60665965e+29
5.89364268e+02 -3.66498319e+29
5.89367564e+02 -2.11238317e+29
5.89370859e+02 -1.55365405e+29
5.89374154e+02 -1.64082178e+29
5.89377449e+02 8.96221742e+29
5.89380744e+02 -1.17206334e+30
5.89384039e+02 -1.03458038e+30
5.89387334e+02 -2.22300633e+29
5.89390629e+02 -6.30760354e+29
5.89393924e+02 -1.69796559e+28
5.89397220e+02 3.33188852e+29
5.89400515e+02 -5.20431443e+29
5.89403810e+02 -4.55977102e+28
5.89407105e+02 1.16728984e+29
5.89410400e+02 1.02550741e+30
5.89413695e+02 -2.07572910e+29
5.89416990e+02 -2.05906696e+29
5.89420285e+02 -8.46034886e+29
5.89423581e+02 -2.43253579e+29
5.89426876e+02 -1.09858191e+30
5.89430171e+02 6.50260273e+29
5.89433466e+02 9.95401839e+29
5.89436761e+02 -3.71757444e+29
5.89440056e+02 4.84881872e+29
5.89443351e+02 -1.73691775e+29
5.89446646e+02 1.86712563e+29
5.89449941e+02 7.28257307e+29
5.89453237e+02 1.19269864e+29
5.89456532e+02 -1.04689958e+30
5.89459827e+02 -5.22554033e+29
5.89463122e+02 1.31172209e+30
5.89466417e+02 6.01974241e+29
5.89469712e+02 8.86935110e+29
5.89473007e+02 6.83165611e+29
5.89476302e+02 -2.22115816e+29
5.89479598e+02 2.01496208e+29
5.89482893e+02 -7.00657136e+29
5.89486188e+02 1.11111788e+29
5.89489483e+02 7.22337836e+29
5.89492778e+02 5.84528329e+29
5.89496073e+02 -5.67016455e+29
5.89499368e+02 5.98362313e+29
5.89502663e+02 1.21930341e+30
5.89505959e+02 -3.32369620e+28
5.89509254e+02 -1.98485980e+29
5.89512549e+02 2.49404676e+29
5.89515844e+02 2.49354304e+29
5.89519139e+02 6.22077865e+29
5.89522434e+02 8.60970773e+29
5.89525729e+02 1.42040239e+29
5.89529024e+02 -2.41559578e+29
5.89532319e+02 -6.18124015e+28
5.89535615e+02 -1.10622250e+30
5.89538910e+02 3.13062192e+29
5.89542205e+02 -3.66349292e+29
5.89545500e+02 -4.60043783e+29
5.89548795e+02 -1.73974579e+29
5.89552090e+02 -5.92088141e+29
5.89555385e+02 -2.57588304e+29
5.89558680e+02 6.64931237e+29
5.89561976e+02 -9.28282255e+29
5.89565271e+02 -1.02488009e+29
5.89568566e+02 -1.08996674e+29
5.89571861e+02 2.01224424e+29
5.89575156e+02 4.47461513e+29
5.89578451e+02 -7.24893126e+29
5.89581746e+02 2.13614190e+29
5.89585041e+02 -2.16194033e+29
5.89588336e+02 2.35638865e+29
5.89591632e+02 -4.89208595e+29
5.89594927e+02 -3.23581971e+29
5.89598222e+02 8.42871416e+28
5.89601517e+02 6.82472624e+28
5.89604812e+02 -7.36926394e+29
5.89608107e+02 4.60072838e+29
5.89611402e+02 5.68011709e+29
5.89614697e+02 1.20819630e+29
5.89617993e+02 3.99849462e+29
5.89621288e+02 -1.14861272e+29
5.89624583e+02 -9.84263213e+29
5.89627878e+02 -2.59674913e+29
5.89631173e+02 4.79877761e+29
5.89634468e+02 2.95319547e+28
5.89637763e+02 -3.63257532e+29
5.89641058e+02 3.38694593e+29
5.89644353e+02 1.36624689e+29
5.89647649e+02 -1.29202518e+29
5.89650944e+02 1.09259851e+30
5.89654239e+02 -1.06629623e+30
5.89657534e+02 -3.90648787e+29
5.89660829e+02 -2.25163371e+29
5.89664124e+02 -8.37809250e+28
5.89667419e+02 5.82534878e+29
5.89670714e+02 6.02922836e+29
5.89674010e+02 6.60040431e+28
5.89677305e+02 -2.91596129e+29
5.89680600e+02 7.27854041e+29
5.89683895e+02 -3.84251441e+29
5.89687190e+02 2.98774400e+29
5.89690485e+02 -3.81643398e+29
5.89693780e+02 -1.53119030e+29
5.89697075e+02 6.44375795e+28
5.89700370e+02 -1.48947348e+30
5.89703666e+02 -3.96223331e+30
5.89706961e+02 -1.62379775e+30
5.89710256e+02 3.40105319e+29
5.89713551e+02 6.78947871e+29
5.89716846e+02 2.39619203e+29
5.89720141e+02 5.89768114e+29
5.89723436e+02 4.30421648e+29
5.89726731e+02 -6.39865048e+28
5.89730027e+02 6.73844251e+28
5.89733322e+02 6.41791830e+29
5.89736617e+02 -6.97970187e+29
5.89739912e+02 -3.96561721e+29
5.89743207e+02 -1.83592391e+29
5.89746502e+02 -1.00095902e+30
5.89749797e+02 -6.67640920e+29
5.89753092e+02 -6.08919000e+29
5.89756387e+02 4.14423899e+29
5.89759683e+02 4.93720392e+29
5.89762978e+02 -3.00032945e+29
5.89766273e+02 -6.37713923e+29
5.89769568e+02 -7.80561304e+29
5.89772863e+02 -9.00788146e+28
5.89776158e+02 -2.95333690e+29
5.89779453e+02 4.49828438e+28
5.89782748e+02 1.62600544e+29
5.89786044e+02 -1.45292090e+29
5.89789339e+02 -3.73796918e+29
5.89792634e+02 2.19161307e+29
5.89795929e+02 -4.67824873e+29
5.89799224e+02 5.59030613e+29
5.89802519e+02 -7.63612217e+28
5.89805814e+02 3.84972419e+29
5.89809109e+02 -5.03134595e+29
5.89812404e+02 -9.01884389e+29
5.89815700e+02 1.38306476e+30
5.89818995e+02 -1.19096529e+30
5.89822290e+02 -6.01677725e+29
5.89825585e+02 3.06266445e+29
5.89828880e+02 4.99932844e+29
5.89832175e+02 8.97168815e+29
5.89835470e+02 -8.52458479e+28
5.89838765e+02 3.93706472e+29
5.89842061e+02 -5.56024140e+29
5.89845356e+02 -1.42826524e+29
5.89848651e+02 7.10426222e+28
5.89851946e+02 -2.77345112e+29
5.89855241e+02 1.58445876e+28
5.89858536e+02 6.86243471e+29
5.89861831e+02 -1.39793932e+29
5.89865126e+02 -6.41932110e+28
5.89868421e+02 1.25029516e+29
5.89871717e+02 -7.05764827e+29
5.89875012e+02 -2.75773543e+29
5.89878307e+02 2.08862466e+28
5.89881602e+02 -1.95432543e+28
5.89884897e+02 -4.34070861e+29
5.89888192e+02 -7.44651615e+28
5.89891487e+02 -5.44823193e+29
5.89894782e+02 2.80833623e+29
5.89898078e+02 8.38192157e+29
5.89901373e+02 -8.73880684e+29
5.89904668e+02 -3.82051655e+29
5.89907963e+02 9.71640188e+28
5.89911258e+02 1.12865831e+30
5.89914553e+02 -4.83922575e+29
5.89917848e+02 1.35966431e+29
5.89921143e+02 -1.43186301e+29
5.89924438e+02 3.46800321e+29
5.89927734e+02 2.11833791e+29
5.89931029e+02 -4.71361963e+29
5.89934324e+02 4.34612135e+28
5.89937619e+02 8.85483858e+29
5.89940914e+02 -1.91853796e+29
5.89944209e+02 -2.34286674e+29
5.89947504e+02 -3.80281358e+29
5.89950799e+02 8.47364222e+28
5.89954095e+02 -1.11642540e+29
5.89957390e+02 4.43581865e+29
5.89960685e+02 1.12342404e+28
5.89963980e+02 -1.15730050e+29
5.89967275e+02 3.30287293e+29
5.89970570e+02 9.97670635e+29
5.89973865e+02 -1.77411731e+28
5.89977160e+02 9.98954173e+29
5.89980455e+02 1.26922455e+29
5.89983751e+02 -1.02469425e+29
5.89987046e+02 -4.00381321e+29
5.89990341e+02 -4.35404156e+29
5.89993636e+02 2.44141770e+29
5.89996931e+02 -9.05931096e+29
