# Wavelength Flux(MR)
5.89097364e+02 -2.47782011e+27
5.89100659e+02 -2.43465121e+27
5.89103954e+02 -7.69924508e+25
5.89107249e+02 -6.23449739e+26
5.89110544e+02 2.86742605e+25
5.89113839e+02 2.11105494e+27
5.89117135e+02 1.57991505e+27
5.89120430e+02 -5.41879813e+26
5.89123725e+02 -2.27726930e+27
5.89127020e+02 -4.26932088e+27
5.89130315e+02 -5.77562021e+27
5.89133610e+02 -2.58912735e+27
5.89136905e+02 1.12209631e+27
5.89140200e+02 4.34345639e+27
5.89143496e+02 4.89292596e+27
5.89146791e+02 1.75664672e+27
5.89150086e+02 3.28015026e+27
5.89153381e+02 -4.58144298e+26
5.89156676e+02 2.03252488e+27
5.89159971e+02 2.90251411e+27
5.89163266e+02 4.85206316e+26
5.89166561e+02 -3.79957829e+25
5.89169856e+02 -9.80308963e+26
5.89173152e+02 -2.30889615e+27
5.89176447e+02 -7.62343650e+26
5.89179742e+02 1.90257357e+27
5.89183037e+02 2.53654358e+27
5.89186332e+02 1.95841258e+27
5.89189627e+02 2.61041408e+26
5.89192922e+02 2.38240762e+27
5.89196217e+02 1.20759130e+27
5.89199513e+02 3.07887213e+27
5.89202808e+02 -2.00737179e+26
5.89206103e+02 1.62885391e+27
5.89209398e+02 2.19950093e+27
5.89212693e+02 1.98480894e+27
5.89215988e+02 -7.32185431e+25
5.89219283e+02 -6.41593968e+26
5.89222578e+02 -3.98726774e+27
5.89225873e+02 -8.74268554e+27
5.89229169e+02 -1.18848381e+28
5.89232464e+02 -1.39799154e+28
5.89235759e+02 -8.58616127e+27
5.89239054e+02 6.05734131e+27
5.89242349e+02 3.42855260e+28
5.89245644e+02 7.47445990e+28
5.89248939e+02 9.86362612e+28
5.89252234e+02 8.27730148e+28
5.89255530e+02 4.43504011e+28
5.89258825e+02 1.38028012e+28
5.89262120e+02 4.89139445e+27
5.89265415e+02 2.23528749e+27
5.89268710e+02 2.89341681e+27
5.89272005e+02 1.85200152e+27
5.89275300e+02 -6.67986067e+26
5.89278595e+02 -5.70140754e+24
5.89281890e+02 -3.92490715e+26
5.89285186e+02 -2.31527791e+27
5.89288481e+02 -6.41978834e+26
5.89291776e+02 2.23864969e+27
5.89295071e+02 1.13866825e+27
5.89298366e+02 1.46927696e+27
5.89301661e+02 1.04623159e+27
5.89304956e+02 1.88485009e+27
5.89308251e+02 2.96642429e+27
5.89311547e+02 1.74438640e+27
5.89314842e+02 1.59847488e+27
5.89318137e+02 7.79058706e+26
5.89321432e+02 1.20926641e+27
5.89324727e+02 -7.63665846e+26
5.89328022e+02 -1.55223904e+27
5.89331317e+02 -1.43523790e+27
5.89334612e+02 1.22761057e+27
5.89337907e+02 1.87165402e+27
5.89341203e+02 5.18194131e+27
5.89344498e+02 5.09271398e+27
5.89347793e+02 3.80524291e+27
5.89351088e+02 -9.43622802e+25
5.89354383e+02 -8.74124816e+26
5.89357678e+02 -4.48899613e+27
5.89360973e+02 -4.29627083e+27
5.89364268e+02 -2.26600894e+27
5.89367564e+02 -8.74030039e+25
5.89370859e+02 4.23774012e+25
5.89374154e+02 -1.49522788e+27
5.89377449e+02 2.20542660e+26
5.89380744e+02 -2.64617215e+27
5.89384039e+02 3.50532606e+26
5.89387334e+02 1.44494991e+27
5.89390629e+02 1.67519004e+27
