# Wavelength Flux(MR)
5.89097364e+02 -2.82582452e+27
5.89100659e+02 -1.38673308e+27
5.89103954e+02 -4.82970966e+25
5.89107249e+02 6.01549414e+26
5.89110544e+02 1.11785095e+27
5.89113839e+02 1.15671281e+27
5.89117135e+02 9.12840889e+26
5.89120430e+02 -2.26124987e+27
5.89123725e+02 -4.27309851e+27
5.89127020e+02 -2.71641533e+27
5.89130315e+02 -1.65106331e+27
5.89133610e+02 -5.45059857e+26
5.89136905e+02 2.24897871e+27
5.89140200e+02 5.69632217e+27
5.89143496e+02 3.42802636e+27
5.89146791e+02 2.35471929e+27
5.89150086e+02 2.32203854e+27
5.89153381e+02 4.02534660e+27
5.89156676e+02 2.08243197e+27
5.89159971e+02 -8.22411085e+26
5.89163266e+02 1.71720692e+26
5.89166561e+02 -7.21921622e+26
5.89169856e+02 -3.27755372e+27
5.89173152e+02 -1.65521822e+27
5.89176447e+02 -2.06894936e+27
5.89179742e+02 1.49974985e+27
5.89183037e+02 2.38198064e+26
5.89186332e+02 1.39727497e+27
5.89189627e+02 -1.33941202e+27
5.89192922e+02 9.72127207e+25
5.89196217e+02 -2.64422177e+27
5.89199513e+02 8.81558102e+26
5.89202808e+02 7.43257743e+25
5.89206103e+02 -9.94367358e+26
5.89209398e+02 -1.39093848e+27
5.89212693e+02 -1.14176721e+27
5.89215988e+02 -7.98164660e+26
5.89219283e+02 -2.49788434e+27
5.89222578e+02 -6.39592479e+27
5.89225873e+02 -1.15858562e+28
5.89229169e+02 -1.40619784e+28
5.89232464e+02 -1.22224044e+28
5.89235759e+02 -6.25912706e+27
5.89239054e+02 9.60814962e+27
5.89242349e+02 4.40174164e+28
5.89245644e+02 8.38252461e+28
5.89248939e+02 1.02326886e+29
5.89252234e+02 7.83352194e+28
5.89255530e+02 3.89417005e+28
5.89258825e+02 1.49533580e+28
5.89262120e+02 6.58073157e+27
5.89265415e+02 5.13062648e+27
5.89268710e+02 5.01463855e+27
5.89272005e+02 4.78308947e+27
5.89275300e+02 2.08989599e+27
5.89278595e+02 1.89318449e+27
5.89281890e+02 -8.02019089e+26
5.89285186e+02 -7.93443312e+26
5.89288481e+02 4.93681172e+26
5.89291776e+02 2.35312556e+26
5.89295071e+02 1.25051659e+27
5.89298366e+02 6.01193888e+26
5.89301661e+02 2.78322310e+27
5.89304956e+02 4.17012747e+27
5.89308251e+02 8.76655467e+26
5.89311547e+02 2.04553860e+26
5.89314842e+02 1.88071912e+27
5.89318137e+02 3.83114377e+27
5.89321432e+02 6.87968994e+26
5.89324727e+02 -8.26476925e+25
5.89328022e+02 -1.57549330e+27
5.89331317e+02 -1.80763610e+27
5.89334612e+02 1.45571714e+27
5.89337907e+02 5.99457082e+27
5.89341203e+02 5.44285277e+27
5.89344498e+02 4.12494912e+27
5.89347793e+02 6.84329748e+26
5.89351088e+02 -1.37119271e+27
5.89354383e+02 -4.13526219e+27
5.89357678e+02 -6.21647726e+27
5.89360973e+02 -3.64006129e+27
5.89364268e+02 -4.82889283e+26
5.89367564e+02 -4.75300449e+26
5.89370859e+02 -1.70474339e+27
5.89374154e+02 9.82549650e+26
5.89377449e+02 2.96498365e+26
5.89380744e+02 2.40089707e+27
5.89384039e+02 1.02021534e+27
5.89387334e+02 1.03155833e+27
5.89390629e+02 1.04596101e+27
5.89393924e+02 6.12137168e+26
5.89397220e+02 4.81682836e+26
5.89400515e+02 -3.27260066e+27
5.89403810e+02 -4.23177286e+27
