# Wavelength Flux(MR)
5.89097364e+02 -2.30030255e+27
5.89100659e+02 -1.98908558e+27
5.89103954e+02 -2.96180005e+27
5.89107249e+02 -1.63745124e+27
5.89110544e+02 3.65384199e+26
5.89113839e+02 4.65493051e+27
5.89117135e+02 3.94975395e+27
5.89120430e+02 6.17448908e+26
5.89123725e+02 -1.31681250e+27
5.89127020e+02 -5.20014641e+27
5.89130315e+02 -2.51000500e+27
5.89133610e+02 5.75282990e+27
5.89136905e+02 6.89466897e+27
5.89140200e+02 3.75545362e+27
5.89143496e+02 2.43636674e+27
5.89146791e+02 3.21393647e+27
5.89150086e+02 2.39659464e+27
5.89153381e+02 2.54902108e+27
5.89156676e+02 3.86297656e+27
5.89159971e+02 1.10376374e+27
5.89163266e+02 7.05313247e+26
5.89166561e+02 3.40283093e+26
5.89169856e+02 -2.41359715e+27
5.89173152e+02 -5.58826567e+27
5.89176447e+02 1.81354886e+27
5.89179742e+02 1.52097114e+27
5.89183037e+02 1.20016781e+27
5.89186332e+02 2.50928956e+27
5.89189627e+02 -1.01860791e+27
5.89192922e+02 7.68563644e+26
5.89196217e+02 2.60521358e+26
5.89199513e+02 3.03982970e+26
5.89202808e+02 2.78402501e+27
5.89206103e+02 2.24208515e+27
5.89209398e+02 8.17235382e+26
5.89212693e+02 -1.33658727e+26
5.89215988e+02 3.28150941e+27
5.89219283e+02 1.70229189e+27
5.89222578e+02 4.65786845e+27
5.89225873e+02 3.26560626e+26
5.89229169e+02 -4.41961459e+26
5.89232464e+02 -6.10937580e+27
5.89235759e+02 -9.50227712e+27
5.89239054e+02 -8.16109602e+27
5.89242349e+02 4.41155145e+27
5.89245644e+02 2.33139077e+28
5.89248939e+02 3.62017355e+28
5.89252234e+02 3.37754747e+28
5.89255530e+02 2.03170217e+28
5.89258825e+02 1.18979598e+28
5.89262120e+02 6.35325825e+27
5.89265415e+02 6.06007399e+27
5.89268710e+02 4.59725093e+27
5.89272005e+02 2.27145926e+27
5.89275300e+02 1.03878120e+26
5.89278595e+02 4.75606559e+26
5.89281890e+02 -1.30360617e+27
5.89285186e+02 1.15489762e+27
5.89288481e+02 3.51117233e+27
5.89291776e+02 8.93342236e+26
5.89295071e+02 -1.48302022e+27
5.89298366e+02 -2.35533445e+26
5.89301661e+02 -2.87859223e+26
5.89304956e+02 2.31411428e+27
5.89308251e+02 -1.52019317e+27
5.89311547e+02 3.54816841e+26
5.89314842e+02 2.02577664e+27
5.89318137e+02 2.78371074e+27
5.89321432e+02 2.34043776e+27
5.89324727e+02 3.95896953e+26
