Wavelength(nm) Intensity
5.89097364e+02 2.49057837e+04
5.89100659e+02 2.43935157e+04
5.89103954e+02 2.45026185e+04
5.89107249e+02 2.45145814e+04
5.89110544e+02 2.36300311e+04
5.89113839e+02 2.41646678e+04
5.89117135e+02 2.38138058e+04
5.89120430e+02 2.31230959e+04
5.89123725e+02 2.20274818e+04
5.89127020e+02 2.12700483e+04
5.89130315e+02 2.11153012e+04
5.89133610e+02 2.22117876e+04
5.89136905e+02 2.24747079e+04
5.89140200e+02 2.31400283e+04
5.89143496e+02 2.34591106e+04
5.89146791e+02 2.26768092e+04
5.89150086e+02 2.21592137e+04
5.89153381e+02 2.24837382e+04
5.89156676e+02 2.26050897e+04
5.89159971e+02 2.22656691e+04
5.89163266e+02 2.12838028e+04
5.89166561e+02 2.09286077e+04
5.89169856e+02 1.99051744e+04
5.89173152e+02 1.95246720e+04
5.89176447e+02 1.98794091e+04
5.89179742e+02 1.98040286e+04
5.89183037e+02 2.00547613e+04
5.89186332e+02 1.93339385e+04
5.89189627e+02 1.93087799e+04
5.89192922e+02 1.87513625e+04
5.89196217e+02 1.84437141e+04
5.89199513e+02 1.77474748e+04
5.89202808e+02 1.71665603e+04
5.89206103e+02 1.61646102e+04
5.89209398e+02 1.51904151e+04
5.89212693e+02 1.44738227e+04
5.89215988e+02 1.36084479e+04
5.89219283e+02 1.23860578e+04
5.89222578e+02 1.11546441e+04
5.89225873e+02 9.51073872e+03
5.89229169e+02 7.46580948e+03
5.89232464e+02 5.50246802e+03
5.89235759e+02 3.90964165e+03
5.89239054e+02 3.38874873e+03
5.89242349e+02 4.72953011e+03
5.89245644e+02 7.25718336e+03
5.89248939e+02 1.04076069e+04
5.89252234e+02 1.18349443e+04
5.89255530e+02 1.11595100e+04
5.89258825e+02 1.07796929e+04
5.89262120e+02 1.11808046e+04
5.89265415e+02 1.22322746e+04
5.89268710e+02 1.34812023e+04
5.89272005e+02 1.47827330e+04
5.89275300e+02 1.54751411e+04
5.89278595e+02 1.61320914e+04
5.89281890e+02 1.71022271e+04
5.89285186e+02 1.75716114e+04
5.89288481e+02 1.80520977e+04
5.89291776e+02 1.89607395e+04
5.89295071e+02 1.89541616e+04
5.89298366e+02 1.93959697e+04
5.89301661e+02 1.99342625e+04
5.89304956e+02 2.05970858e+04
5.89308251e+02 2.00613933e+04
5.89311547e+02 2.03289122e+04
5.89314842e+02 2.07483089e+04
5.89318137e+02 2.09247671e+04
5.89321432e+02 2.03924907e+04
5.89324727e+02 2.01392820e+04
5.89328022e+02 1.93157049e+04
5.89331317e+02 1.96147005e+04
5.89334612e+02 2.12864503e+04
5.89337907e+02 2.24874126e+04
5.89341203e+02 2.28161450e+04
5.89344498e+02 2.35159964e+04
5.89347793e+02 2.36942349e+04
5.89351088e+02 2.32673385e+04
5.89354383e+02 2.31720083e+04
5.89357678e+02 2.30974714e+04
5.89360973e+02 2.25232591e+04
5.89364268e+02 2.17767252e+04
5.89367564e+02 2.18338595e+04
5.89370859e+02 2.28489132e+04
5.89374154e+02 2.35255000e+04
5.89377449e+02 2.42173206e+04
5.89380744e+02 2.44313820e+04
5.89384039e+02 2.45349067e+04
5.89387334e+02 2.42761270e+04
5.89390629e+02 2.40667948e+04
5.89393924e+02 2.36768944e+04
5.89397220e+02 2.31402303e+04
5.89400515e+02 2.28930532e+04
5.89403810e+02 2.22560348e+04
5.89407105e+02 2.23391952e+04
5.89410400e+02 2.34343865e+04
5.89413695e+02 2.46817963e+04
5.89416990e+02 2.46421493e+04
5.89420285e+02 2.42304660e+04
5.89423581e+02 2.44352461e+04
5.89426876e+02 2.48212968e+04
5.89430171e+02 2.44142981e+04
5.89433466e+02 2.42064618e+04
5.89436761e+02 2.46776730e+04
5.89440056e+02 2.48120071e+04
5.89443351e+02 2.50710068e+04
5.89446646e+02 2.48004459e+04
5.89449941e+02 2.51203423e+04
5.89453237e+02 2.52535839e+04
5.89456532e+02 2.45595239e+04
5.89459827e+02 2.46223998e+04
5.89463122e+02 2.45978021e+04
5.89466417e+02 2.33594337e+04
5.89469712e+02 2.39888075e+04
5.89473007e+02 2.40030177e+04
5.89476302e+02 2.44134297e+04
5.89479598e+02 2.48648220e+04
5.89482893e+02 2.51749073e+04
5.89486188e+02 2.48197804e+04
5.89489483e+02 2.47559191e+04
5.89492778e+02 2.48230088e+04
5.89496073e+02 2.45707102e+04
5.89499368e+02 2.47896685e+04
5.89502663e+02 2.44146182e+04
5.89505959e+02 2.40974985e+04
5.89509254e+02 2.30185770e+04
5.89512549e+02 2.12186747e+04
5.89515844e+02 2.03232877e+04
5.89519139e+02 1.96734290e+04
5.89522434e+02 1.96039944e+04
5.89525729e+02 1.84847415e+04
5.89529024e+02 1.67628484e+04
5.89532319e+02 1.51306616e+04
5.89535615e+02 1.53457181e+04
5.89538910e+02 1.66699256e+04
5.89542205e+02 1.95058984e+04
5.89545500e+02 2.20955538e+04
5.89548795e+02 2.42545830e+04
