filename,cts2MR
MERCURY1_tr.totfib_sft-05,4.29264007e+24
MERCURY1_tr.totfib_sft005,4.28110040e+24
MERCURY1_tr.totfib_sft015,4.28118106e+24
MERCURY2_tr.totfib_sft-05,4.31864762e+24
MERCURY2_tr.totfib_sft005,4.31734992e+24
MERCURY2_tr.totfib_sft015,4.31743206e+24
MERCURY3_tr.totfib_sft-05,4.24762415e+24
MERCURY3_tr.totfib_sft005,4.23617099e+24
MERCURY3_tr.totfib_sft015,4.24631171e+24
MERCURY4_tr.totfib_sft-05,4.19165740e+24
MERCURY4_tr.totfib_sft005,4.18027589e+24
MERCURY4_tr.totfib_sft015,4.18024036e+24
MERCURY5_tr.totfib_sft-05,4.11346444e+24
MERCURY5_tr.totfib_sft005,4.11219222e+24
MERCURY5_tr.totfib_sft015,4.11219424e+24
MERCURY6_tr.totfib_sft-05,4.10513200e+24
MERCURY6_tr.totfib_sft005,4.10388698e+24
MERCURY6_tr.totfib_sft015,4.10391609e+24
MERCURY7_tr.totfib_sft-05,3.94405047e+24
MERCURY7_tr.totfib_sft005,3.94286880e+24
MERCURY7_tr.totfib_sft015,3.94285605e+24
MERCURY8_tr.totfib_sft-05,3.92719575e+24
MERCURY8_tr.totfib_sft005,3.92595590e+24
MERCURY8_tr.totfib_sft015,3.92593806e+24
MERCURY9_tr.totfib_sft-05,3.89281368e+24
MERCURY9_tr.totfib_sft005,3.89163598e+24
MERCURY9_tr.totfib_sft015,3.89159703e+24
MERCURY10_tr.totfib_sft-05,3.86864459e+24
MERCURY10_tr.totfib_sft005,3.86746755e+24
MERCURY10_tr.totfib_sft015,3.86743341e+24
MERCURY11_tr.totfib_sft-05,3.87056496e+24
MERCURY11_tr.totfib_sft005,3.86938828e+24
MERCURY11_tr.totfib_sft015,3.86934436e+24
MERCURY12_tr.totfib_sft-05,3.82599940e+24
MERCURY12_tr.totfib_sft005,3.82481021e+24
MERCURY12_tr.totfib_sft015,3.82475758e+24
