# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 1.1740e+28 2.1381e+27 0.000029 589.837107
2 1.1703e+28 2.1147e+27 0.000031 589.837142
3 1.1767e+28 2.1345e+27 0.000030 589.837024
4 1.1990e+28 2.2313e+27 0.000028 589.837109
5 1.1765e+28 2.1524e+27 0.000030 589.836993
6 1.1709e+28 2.2153e+27 0.000032 589.837155
7 1.1899e+28 2.1361e+27 0.000032 589.836883
8 1.1733e+28 2.1481e+27 0.000031 589.837065
9 1.1935e+28 2.1633e+27 0.000031 589.837064
10 1.2282e+28 2.2667e+27 0.000033 589.837007
11 1.1923e+28 2.1685e+27 0.000028 589.837046
12 1.2138e+28 2.1754e+27 0.000029 589.836945
