# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 1.3877e+28 5.7622e+27 0.001426 589.704755
2 1.5930e+28 7.5652e+27 0.001291 589.705991
3 1.6414e+28 6.8607e+27 0.001669 589.705562
4 1.6511e+28 6.7767e+27 0.001537 589.705945
5 1.7977e+28 6.7566e+27 0.001108 589.705485
6 1.6721e+28 6.8937e+27 0.001429 589.705759
7 1.7379e+28 6.6864e+27 0.001589 589.705340
8 1.7839e+28 5.9019e+27 0.001157 589.705508
9 1.7286e+28 6.4594e+27 0.001417 589.705187
10 2.0355e+28 6.5742e+27 0.001390 589.705251
11 1.8618e+28 6.3351e+27 0.001288 589.705258
12 1.8219e+28 6.7671e+27 0.001633 589.705649
13 2.0392e+28 6.9625e+27 0.001536 589.705821
14 1.9456e+28 7.2704e+27 0.001621 589.705275
15 1.6901e+28 6.7318e+27 0.002141 589.706571
16 2.0191e+28 6.5824e+27 0.001419 589.705495
17 2.1009e+28 6.5902e+27 0.001888 589.705585
18 1.9413e+28 6.7888e+27 0.001939 589.705692
19 2.0185e+28 6.6866e+27 0.001531 589.705665
20 2.0566e+28 7.4809e+27 0.001528 589.705331
21 1.9800e+28 6.9988e+27 0.001800 589.705958
22 2.0829e+28 6.6250e+27 0.001436 589.705429
23 2.0644e+28 7.3704e+27 0.001946 589.705615
24 2.1752e+28 6.4559e+27 0.001495 589.705163
25 2.1877e+28 6.8376e+27 0.001644 589.705383
26 2.2163e+28 7.3424e+27 0.001317 589.705347
27 2.1598e+28 7.5340e+27 0.001713 589.705827
28 2.1145e+28 6.6261e+27 0.001678 589.705688
