TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,1.0122e+30,2.5655e+29,7.4520e+29,3.6200e+27,6.7900e+27,1.7810e+29,7.8450e+28,3.9755e+29,3.4765e+29,1.9500e+27,1.6700e+27,3.5500e+27,3.2400e+27,6.6291e+08,3.2013e+06,1.7744e+09,2.3531e-05,3.1582e+07,2.3207e+05,6.6625e+05,6.6621e+05,25.3,73.6,0.4,0.7,1.0134e+30,9.8298e+29,2.9620e+28,7.6000e+26,3.4608e+28,0.0000e+00,97.0,2.9,0.1
1,1.0159e+30,2.5726e+29,7.4821e+29,3.6900e+27,6.7800e+27,1.8002e+29,7.7240e+28,4.0542e+29,3.4279e+29,2.1100e+27,1.5800e+27,3.2300e+27,3.5500e+27,6.5788e+08,3.7168e+06,1.5670e+09,2.0437e-05,3.1326e+07,2.5003e+05,6.6621e+05,6.6612e+05,25.3,73.6,0.4,0.7,1.0154e+30,9.8565e+29,2.9160e+28,6.2000e+26,3.4602e+28,0.0000e+00,97.1,2.9,0.1
2,9.8823e+29,2.5784e+29,7.1990e+29,3.7000e+27,6.7900e+27,1.7871e+29,7.9130e+28,3.8886e+29,3.3104e+29,1.9400e+27,1.7600e+27,3.3500e+27,3.4400e+27,6.5320e+08,3.1495e+06,1.5013e+09,1.7712e-05,3.2378e+07,2.3968e+05,6.6611e+05,6.6595e+05,26.1,72.8,0.4,0.7,9.8830e+29,9.5735e+29,3.0020e+28,9.3000e+26,3.4588e+28,0.0000e+00,96.9,3.0,0.1
3,1.0133e+30,2.5688e+29,7.4576e+29,3.8200e+27,6.8100e+27,1.7614e+29,8.0740e+28,4.0153e+29,3.4423e+29,2.2100e+27,1.6100e+27,3.6100e+27,3.2000e+27,6.4778e+08,3.4575e+06,1.4732e+09,1.5308e-05,3.1973e+07,2.0215e+05,6.6595e+05,6.6572e+05,25.4,73.6,0.4,0.7,1.0127e+30,9.7972e+29,3.2220e+28,7.4000e+26,3.4822e+28,0.0000e+00,96.7,3.2,0.1
4,9.9739e+29,2.5341e+29,7.3339e+29,3.8100e+27,6.7800e+27,1.7479e+29,7.8620e+28,3.9811e+29,3.3528e+29,2.1700e+27,1.6400e+27,3.2200e+27,3.5600e+27,6.4268e+08,3.4874e+06,1.4715e+09,1.3229e-05,3.1389e+07,2.0043e+05,6.6572e+05,6.6543e+05,25.4,73.5,0.4,0.7,9.9797e+29,9.6691e+29,3.0230e+28,8.3000e+26,3.4541e+28,0.0000e+00,96.9,3.0,0.1
5,9.9743e+29,2.4964e+29,7.3727e+29,3.7400e+27,6.7800e+27,1.7151e+29,7.8130e+28,3.9722e+29,3.4005e+29,1.7600e+27,1.9800e+27,3.5100e+27,3.2700e+27,6.3577e+08,2.9002e+06,1.8176e+09,1.1423e-05,3.1347e+07,1.6799e+05,6.6542e+05,6.6507e+05,25.0,73.9,0.4,0.7,9.9718e+29,9.6529e+29,3.0950e+28,9.4000e+26,3.4507e+28,0.0000e+00,96.8,3.1,0.1
6,1.0021e+30,2.5290e+29,7.3816e+29,4.2000e+27,6.8100e+27,1.7291e+29,7.9990e+28,3.9259e+29,3.4557e+29,2.2400e+27,1.9600e+27,3.3800e+27,3.4300e+27,6.2965e+08,2.5694e+06,1.3946e+09,9.9076e-06,3.1316e+07,1.7731e+05,6.6506e+05,6.6464e+05,25.2,73.7,0.4,0.7,1.0036e+30,9.7260e+29,3.0130e+28,8.3000e+26,3.4720e+28,0.0000e+00,96.9,3.0,0.1
7,9.8015e+29,2.5229e+29,7.1713e+29,3.9800e+27,6.7500e+27,1.7290e+29,7.9390e+28,3.8490e+29,3.3223e+29,2.2400e+27,1.7400e+27,3.2800e+27,3.4700e+27,6.2466e+08,2.6946e+06,1.5247e+09,8.5563e-06,3.1348e+07,1.8907e+05,6.6464e+05,6.6415e+05,25.7,73.2,0.4,0.7,9.7865e+29,9.4894e+29,2.8840e+28,8.7000e+26,3.4419e+28,0.0000e+00,97.0,2.9,0.1
8,1.0056e+30,2.5261e+29,7.4238e+29,3.8100e+27,6.8100e+27,1.6996e+29,8.2650e+28,3.9543e+29,3.4695e+29,1.9900e+27,1.8200e+27,3.2400e+27,3.5700e+27,6.1998e+08,2.8787e+06,1.8027e+09,7.3884e-06,3.1343e+07,2.0615e+05,6.6415e+05,6.6359e+05,25.1,73.8,0.4,0.7,1.0049e+30,9.7461e+29,2.9550e+28,7.1000e+26,3.4618e+28,0.0000e+00,97.0,2.9,0.1
9,1.0099e+30,2.4975e+29,7.4903e+29,4.3400e+27,6.8000e+27,1.6916e+29,8.0590e+28,4.0580e+29,3.4323e+29,2.3700e+27,1.9700e+27,3.4400e+27,3.3600e+27,6.1532e+08,2.9834e+06,1.5177e+09,6.3898e-06,3.0525e+07,2.4674e+05,6.6359e+05,6.6297e+05,24.7,74.2,0.4,0.7,1.0102e+30,9.7869e+29,3.0470e+28,1.0300e+27,3.4557e+28,0.0000e+00,96.9,3.0,0.1
