Wavelength(nm) Intensity
5.89680600e+02 5.09185784e+03
5.89683895e+02 5.60937736e+03
5.89687190e+02 5.80408925e+03
5.89690485e+02 5.50006023e+03
5.89693780e+02 5.46268103e+03
5.89697075e+02 5.95246867e+03
5.89700370e+02 5.63440262e+03
5.89703666e+02 5.54678546e+03
5.89706961e+02 5.12192707e+03
5.89710256e+02 4.98770311e+03
5.89713551e+02 5.26652208e+03
5.89716846e+02 5.07193451e+03
5.89720141e+02 5.32221141e+03
5.89723436e+02 5.12994562e+03
5.89726731e+02 5.02418045e+03
5.89730027e+02 5.38258056e+03
5.89733322e+02 5.36990521e+03
5.89736617e+02 5.43539595e+03
5.89739912e+02 5.12994542e+03
5.89743207e+02 4.65726316e+03
5.89746502e+02 5.13477831e+03
5.89749797e+02 4.88324864e+03
5.89753092e+02 5.06627310e+03
5.89756387e+02 4.81112802e+03
5.89759683e+02 4.84992645e+03
5.89762978e+02 4.72158420e+03
5.89766273e+02 4.48230644e+03
5.89769568e+02 4.61754358e+03
5.89772863e+02 4.07758517e+03
5.89776158e+02 3.69430313e+03
5.89779453e+02 3.62886058e+03
5.89782748e+02 3.01104703e+03
5.89786044e+02 2.66397553e+03
5.89789339e+02 2.05762858e+03
5.89792634e+02 2.00952127e+03
5.89795929e+02 1.46638654e+03
5.89799224e+02 1.02455772e+03
5.89802519e+02 6.95435433e+02
5.89805814e+02 2.69225715e+02
5.89809109e+02 6.85340279e+02
5.89812404e+02 2.40098229e+03
5.89815700e+02 5.12316060e+03
5.89818995e+02 9.93542917e+03
5.89822290e+02 1.46449899e+04
5.89825585e+02 1.64454416e+04
5.89828880e+02 1.49944956e+04
5.89832175e+02 1.03744164e+04
5.89835470e+02 5.98422255e+03
5.89838765e+02 4.00501274e+03
5.89842061e+02 3.51762685e+03
5.89845356e+02 3.25254173e+03
5.89848651e+02 3.45805680e+03
5.89851946e+02 3.87576122e+03
5.89855241e+02 4.25175890e+03
5.89858536e+02 4.88239878e+03
5.89861831e+02 5.09884695e+03
