# Wavelength Flux(MR)
5.89097364e+02 -3.91156837e+27
5.89100659e+02 -7.18107499e+26
5.89103954e+02 -5.36062451e+26
5.89107249e+02 -2.52135834e+27
5.89110544e+02 -6.24241032e+26
5.89113839e+02 4.61775223e+26
5.89117135e+02 -1.06360517e+27
5.89120430e+02 -3.43018035e+27
5.89123725e+02 -6.26351455e+27
5.89127020e+02 -2.99183793e+27
5.89130315e+02 4.70157771e+26
5.89133610e+02 3.64023823e+27
5.89136905e+02 1.96363348e+27
5.89140200e+02 1.39542923e+27
5.89143496e+02 2.75108042e+27
5.89146791e+02 1.55757421e+27
5.89150086e+02 -6.35883510e+26
5.89153381e+02 1.77908359e+27
5.89156676e+02 1.95760620e+27
5.89159971e+02 -9.24188920e+25
5.89163266e+02 1.25093224e+27
5.89166561e+02 4.93090137e+26
5.89169856e+02 7.42018575e+26
5.89173152e+02 7.27511114e+26
5.89176447e+02 2.76796560e+27
5.89179742e+02 1.68081454e+27
5.89183037e+02 1.39381082e+27
5.89186332e+02 -5.86688145e+25
5.89189627e+02 -3.74491813e+26
5.89192922e+02 3.05186669e+26
5.89196217e+02 1.20980568e+27
5.89199513e+02 -2.90576741e+27
5.89202808e+02 -2.87355984e+27
5.89206103e+02 -3.14377783e+27
5.89209398e+02 -2.75321714e+27
5.89212693e+02 6.87520599e+26
5.89215988e+02 7.60331324e+27
5.89219283e+02 2.29077711e+28
5.89222578e+02 4.67558891e+28
5.89225873e+02 6.41426380e+28
5.89229169e+02 6.25234390e+28
5.89232464e+02 3.93815201e+28
5.89235759e+02 1.61739927e+28
5.89239054e+02 4.66904186e+27
5.89242349e+02 2.84083493e+27
5.89245644e+02 1.52881518e+26
5.89248939e+02 -8.51386238e+25
5.89252234e+02 1.59459604e+27
5.89255530e+02 -1.02085600e+27
5.89258825e+02 -1.55869337e+26
5.89262120e+02 -1.72126773e+27
5.89265415e+02 -4.85152294e+26
5.89268710e+02 4.71090194e+26
5.89272005e+02 -1.59587837e+27
5.89275300e+02 -1.03406026e+27
5.89278595e+02 -3.29924740e+27
5.89281890e+02 -1.41709604e+27
5.89285186e+02 -1.14572594e+27
5.89288481e+02 -4.63089183e+26
5.89291776e+02 1.31325100e+27
5.89295071e+02 3.48899988e+27
5.89298366e+02 9.44072783e+25
5.89301661e+02 2.63783911e+26
5.89304956e+02 -2.28697558e+26
5.89308251e+02 -1.00558202e+27
5.89311547e+02 -1.39160752e+27
5.89314842e+02 1.50363686e+27
5.89318137e+02 6.74657485e+26
5.89321432e+02 -4.73351964e+26
5.89324727e+02 -2.04673674e+27
5.89328022e+02 -2.75318446e+27
5.89331317e+02 -1.30726127e+27
5.89334612e+02 8.35103481e+26
5.89337907e+02 3.24075400e+27
5.89341203e+02 1.12108954e+27
5.89344498e+02 2.29987953e+27
5.89347793e+02 1.38760910e+27
5.89351088e+02 -1.02417526e+27
5.89354383e+02 -1.62142893e+27
5.89357678e+02 -1.21476120e+27
5.89360973e+02 -1.18192162e+27
5.89364268e+02 -1.22239243e+27
5.89367564e+02 -1.26948699e+27
5.89370859e+02 1.27862416e+26
5.89374154e+02 -8.21833993e+26
5.89377449e+02 -1.94123936e+27
5.89380744e+02 -1.74653616e+27
5.89384039e+02 2.75947153e+27
5.89387334e+02 1.37519598e+27
5.89390629e+02 1.28136588e+27
5.89393924e+02 -2.49766729e+26
5.89397220e+02 -4.63368475e+27
5.89400515e+02 -3.63082165e+27
5.89403810e+02 -1.97081255e+27
5.89407105e+02 1.13025386e+27
5.89410400e+02 1.83799550e+27
5.89413695e+02 2.32293463e+27
5.89416990e+02 2.06341554e+27
5.89420285e+02 2.41432196e+27
5.89423581e+02 -1.24020717e+27
5.89426876e+02 -1.56576597e+27
5.89430171e+02 -3.49311543e+26
5.89433466e+02 -1.66071169e+27
5.89436761e+02 -1.80160814e+27
5.89440056e+02 -3.32886261e+25
5.89443351e+02 1.34127341e+27
5.89446646e+02 1.33009557e+27
5.89449941e+02 -1.54429282e+27
5.89453237e+02 3.50972952e+26
5.89456532e+02 1.83137324e+27
5.89459827e+02 -4.41031676e+26
5.89463122e+02 -1.12046171e+27
5.89466417e+02 -2.74546695e+27
5.89469712e+02 -1.64139426e+27
5.89473007e+02 7.41468826e+26
5.89476302e+02 2.67182136e+27
5.89479598e+02 -5.48179335e+26
5.89482893e+02 -9.32394500e+25
5.89486188e+02 -1.25502545e+27
5.89489483e+02 -1.03991476e+27
5.89492778e+02 -1.53101910e+27
5.89496073e+02 -3.92924705e+27
5.89499368e+02 -9.97494345e+26
5.89502663e+02 -3.58519123e+27
5.89505959e+02 -3.52466602e+27
5.89509254e+02 -2.71125089e+27
5.89512549e+02 -7.11896240e+26
5.89515844e+02 1.40630905e+27
5.89519139e+02 2.16110658e+27
5.89522434e+02 1.44929677e+27
5.89525729e+02 4.20283589e+27
5.89529024e+02 -2.29410675e+26
5.89532319e+02 1.63664703e+27
5.89535615e+02 -7.34668005e+26
5.89538910e+02 -2.82145054e+27
5.89542205e+02 4.19254773e+26
5.89545500e+02 1.94462090e+27
5.89548795e+02 -1.25416384e+27
5.89552090e+02 -8.51907516e+26
5.89555385e+02 -4.98691231e+26
5.89558680e+02 -3.17197427e+27
5.89561976e+02 -7.65265450e+26
5.89565271e+02 -4.92982612e+27
5.89568566e+02 -2.57291167e+27
5.89571861e+02 -3.98963635e+27
5.89575156e+02 -3.28313093e+27
5.89578451e+02 -2.80197892e+27
5.89581746e+02 -9.83943439e+26
5.89585041e+02 1.19770892e+27
5.89588336e+02 3.87070489e+25
5.89591632e+02 8.62608313e+26
5.89594927e+02 -1.83523413e+27
5.89598222e+02 -2.73868233e+27
5.89601517e+02 -4.93327481e+26
5.89604812e+02 -7.41343045e+26
5.89608107e+02 9.68090927e+26
5.89611402e+02 1.07345615e+27
5.89614697e+02 -1.73350244e+27
5.89617993e+02 -3.03853478e+27
5.89621288e+02 -2.48523464e+27
5.89624583e+02 -9.54551646e+26
5.89627878e+02 -7.78778571e+26
5.89631173e+02 -1.73618328e+27
5.89634468e+02 -1.35011586e+27
5.89637763e+02 -4.04019068e+26
5.89641058e+02 -5.92381286e+26
5.89644353e+02 -3.38969599e+27
5.89647649e+02 -2.97349569e+27
5.89650944e+02 -1.71466558e+27
5.89654239e+02 -1.45983357e+27
5.89657534e+02 -8.40482575e+26
5.89660829e+02 -8.66299075e+26
5.89664124e+02 -1.17563218e+27
5.89667419e+02 -8.59484432e+26
5.89670714e+02 5.67186725e+26
5.89674010e+02 -1.67185085e+27
5.89677305e+02 -8.27057804e+26
5.89680600e+02 -1.37510810e+27
5.89683895e+02 1.61341128e+27
5.89687190e+02 -5.31983293e+26
