TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
7,0,0.0000,0.0500,0.0000e+00,1.0000e+25,0.0000e+00,4.0000e+25,3.1717e+32,2.9490e+32,136
7,1,0.0500,0.1000,0.0000e+00,3.9000e+26,0.0000e+00,2.1000e+26,1.6810e+32,1.3618e+32,136
7,2,0.1000,0.2000,0.0000e+00,4.0300e+27,0.0000e+00,3.9200e+27,4.4353e+32,4.4668e+32,136
7,3,0.2000,0.3500,0.0000e+00,2.5570e+28,0.0000e+00,2.4660e+28,5.1004e+32,5.1291e+32,136
7,4,0.3500,0.5500,0.0000e+00,7.7510e+28,0.0000e+00,8.2030e+28,3.1289e+32,3.1993e+32,136
7,5,0.5500,1.0100,0.0000e+00,2.7815e+29,0.0000e+00,2.8565e+29,9.2841e+31,9.3173e+31,136
8,0,0.0000,0.0500,0.0000e+00,3.0000e+25,0.0000e+00,6.0000e+25,3.1962e+32,2.9182e+32,137
8,1,0.0500,0.1000,0.0000e+00,3.1000e+26,0.0000e+00,1.9000e+26,1.6943e+32,1.4262e+32,137
8,2,0.1000,0.2000,0.0000e+00,4.3100e+27,0.0000e+00,3.7300e+27,4.4710e+32,4.5027e+32,137
8,3,0.2000,0.3500,0.0000e+00,2.5720e+28,0.0000e+00,2.3500e+28,5.1414e+32,5.1695e+32,137
8,4,0.3500,0.5500,0.0000e+00,7.6520e+28,0.0000e+00,8.0820e+28,3.1496e+32,3.2218e+32,137
8,5,0.5500,1.0100,0.0000e+00,2.8522e+29,0.0000e+00,2.7604e+29,9.3439e+31,9.3672e+31,137
9,0,0.0000,0.0500,0.0000e+00,1.0000e+25,0.0000e+00,5.0000e+25,3.1974e+32,2.6742e+32,137
9,1,0.0500,0.1000,0.0000e+00,3.0000e+26,0.0000e+00,1.5000e+26,1.6952e+32,1.6719e+32,137
9,2,0.1000,0.2000,0.0000e+00,4.5200e+27,0.0000e+00,3.3700e+27,4.5498e+32,4.5056e+32,137
9,3,0.2000,0.3500,0.0000e+00,2.4140e+28,0.0000e+00,2.3920e+28,5.0680e+32,5.1729e+32,137
9,4,0.3500,0.5500,0.0000e+00,7.7970e+28,0.0000e+00,7.6510e+28,3.1473e+32,3.2198e+32,137
9,5,0.5500,1.0100,0.0000e+00,2.8129e+29,0.0000e+00,2.8562e+29,9.3251e+31,9.3499e+31,137
10,0,0.0000,0.0500,0.0000e+00,4.0000e+25,0.0000e+00,4.0000e+25,3.1983e+32,2.5765e+32,137
10,1,0.0500,0.1000,0.0000e+00,3.5000e+26,0.0000e+00,2.1000e+26,1.6962e+32,1.7712e+32,137
10,2,0.1000,0.2000,0.0000e+00,3.9400e+27,0.0000e+00,3.2700e+27,4.6936e+32,4.5085e+32,137
10,3,0.2000,0.3500,0.0000e+00,2.4470e+28,0.0000e+00,2.2500e+28,4.9308e+32,5.1757e+32,137
10,4,0.3500,0.5500,0.0000e+00,7.4020e+28,0.0000e+00,7.9580e+28,3.1456e+32,3.2184e+32,137
10,5,0.5500,1.0100,0.0000e+00,2.8347e+29,0.0000e+00,2.8239e+29,9.3163e+31,9.3359e+31,137
11,0,0.0000,0.0500,0.0000e+00,3.0000e+25,0.0000e+00,3.0000e+25,3.1994e+32,2.4034e+32,137
11,1,0.0500,0.1000,0.0000e+00,2.4000e+26,0.0000e+00,1.7000e+26,1.6973e+32,1.9460e+32,137
11,2,0.1000,0.2000,0.0000e+00,4.0000e+27,0.0000e+00,3.1100e+27,4.6963e+32,4.5112e+32,137
11,3,0.2000,0.3500,0.0000e+00,2.2190e+28,0.0000e+00,2.3930e+28,4.9335e+32,5.1784e+32,137
11,4,0.3500,0.5500,0.0000e+00,7.3270e+28,0.0000e+00,7.8140e+28,3.1435e+32,3.2169e+32,137
11,5,0.5500,1.0100,0.0000e+00,2.7951e+29,0.0000e+00,2.9038e+29,9.3010e+31,9.3222e+31,137
12,0,0.0000,0.0500,0.0000e+00,4.0000e+25,0.0000e+00,6.0000e+25,3.2004e+32,2.3761e+32,137
12,1,0.0500,0.1000,0.0000e+00,2.0000e+26,0.0000e+00,1.4000e+26,1.6982e+32,1.9748e+32,137
12,2,0.1000,0.2000,0.0000e+00,3.6000e+27,0.0000e+00,3.3800e+27,4.6993e+32,4.5139e+32,137
12,3,0.2000,0.3500,0.0000e+00,2.2930e+28,0.0000e+00,2.4160e+28,4.9357e+32,5.1818e+32,137
12,4,0.3500,0.5500,0.0000e+00,7.4290e+28,0.0000e+00,7.8450e+28,3.1420e+32,3.2158e+32,137
12,5,0.5500,1.0100,0.0000e+00,2.6912e+29,0.0000e+00,2.9348e+29,9.2941e+31,9.3204e+31,137
13,0,0.0000,0.0500,0.0000e+00,3.0000e+25,0.0000e+00,6.0000e+25,3.2015e+32,2.3678e+32,137
13,1,0.0500,0.1000,0.0000e+00,2.6000e+26,0.0000e+00,1.6000e+26,1.6990e+32,1.9847e+32,137
13,2,0.1000,0.2000,0.0000e+00,4.0200e+27,0.0000e+00,3.6400e+27,4.7020e+32,4.5172e+32,137
13,3,0.2000,0.3500,0.0000e+00,2.2190e+28,0.0000e+00,2.2920e+28,4.9375e+32,5.1845e+32,137
13,4,0.3500,0.5500,0.0000e+00,7.1280e+28,0.0000e+00,7.5950e+28,3.1409e+32,3.2146e+32,137
13,5,0.5500,1.0100,0.0000e+00,2.7959e+29,0.0000e+00,2.8425e+29,9.2918e+31,9.3138e+31,137
14,0,0.0000,0.0500,0.0000e+00,1.0000e+25,0.0000e+00,6.0000e+25,3.2259e+32,2.1848e+32,138
14,1,0.0500,0.1000,0.0000e+00,2.5000e+26,0.0000e+00,2.6000e+26,1.7125e+32,2.2011e+32,138
14,2,0.1000,0.2000,0.0000e+00,4.0300e+27,0.0000e+00,3.4900e+27,4.7395e+32,4.5537e+32,138
14,3,0.2000,0.3500,0.0000e+00,2.2530e+28,0.0000e+00,2.2400e+28,4.9758e+32,5.2251e+32,138
14,4,0.3500,0.5500,0.0000e+00,7.2050e+28,0.0000e+00,7.3590e+28,3.1633e+32,3.2370e+32,138
14,5,0.5500,1.0100,0.0000e+00,2.7505e+29,0.0000e+00,2.8062e+29,9.3567e+31,9.3598e+31,138
15,0,0.0000,0.0500,0.0000e+00,4.0000e+25,0.0000e+00,2.0000e+25,3.2271e+32,2.1855e+32,138
15,1,0.0500,0.1000,0.0000e+00,2.4000e+26,0.0000e+00,2.5000e+26,1.7135e+32,2.2022e+32,138
15,2,0.1000,0.2000,0.0000e+00,3.6400e+27,0.0000e+00,2.9800e+27,4.7432e+32,4.4402e+32,138
15,3,0.2000,0.3500,0.0000e+00,2.1280e+28,0.0000e+00,2.2200e+28,4.9773e+32,5.3442e+32,138
15,4,0.3500,0.5500,0.0000e+00,7.1040e+28,0.0000e+00,7.4490e+28,3.1630e+32,3.2362e+32,138
15,5,0.5500,1.0100,0.0000e+00,2.6614e+29,0.0000e+00,2.8536e+29,9.3418e+31,9.3563e+31,138
16,0,0.0000,0.0500,0.0000e+00,6.0000e+25,0.0000e+00,2.0000e+25,3.2283e+32,2.1863e+32,138
16,1,0.0500,0.1000,0.0000e+00,2.8000e+26,0.0000e+00,2.2000e+26,1.7145e+32,2.2031e+32,138
16,2,0.1000,0.2000,0.0000e+00,3.3800e+27,0.0000e+00,3.2600e+27,4.7461e+32,4.4265e+32,138
16,3,0.2000,0.3500,0.0000e+00,2.1720e+28,0.0000e+00,2.2110e+28,4.9793e+32,5.3636e+32,138
16,4,0.3500,0.5500,0.0000e+00,6.7610e+28,0.0000e+00,7.2450e+28,3.1617e+32,3.2351e+32,138
16,5,0.5500,1.0100,0.0000e+00,2.6888e+29,0.0000e+00,2.6980e+29,9.3299e+31,9.3408e+31,138
