# Wavelength Flux(MR)
5.89098004e+02 -1.85121433e+27
5.89101293e+02 -4.28566100e+27
5.89104583e+02 -1.09351834e+27
5.89107872e+02 1.43453486e+27
5.89111162e+02 -9.60085114e+26
5.89114451e+02 1.26965153e+27
5.89117741e+02 1.23167276e+27
5.89121031e+02 -5.51929228e+26
5.89124320e+02 -4.92994437e+27
5.89127610e+02 -8.18146031e+27
5.89130899e+02 -4.19507043e+27
5.89134189e+02 2.63990200e+27
5.89137478e+02 7.16561631e+27
5.89140768e+02 3.88768660e+27
5.89144058e+02 5.75568547e+27
5.89147347e+02 6.96941511e+27
5.89150637e+02 5.79445276e+27
5.89153926e+02 2.69591950e+27
5.89157216e+02 3.60874170e+27
5.89160506e+02 1.69454633e+27
5.89163795e+02 3.59096030e+27
5.89167085e+02 1.38790013e+27
5.89170374e+02 -4.83457503e+27
5.89173664e+02 -3.29958059e+27
5.89176953e+02 -2.10786707e+27
5.89180243e+02 -2.58316885e+26
5.89183533e+02 1.07613450e+27
5.89186822e+02 8.31150427e+26
5.89190112e+02 3.80419920e+27
5.89193401e+02 2.99703899e+27
5.89196691e+02 2.35458933e+27
5.89199981e+02 2.78030487e+27
5.89203270e+02 -7.44868586e+26
5.89206560e+02 1.60148260e+26
5.89209849e+02 -3.18752053e+26
5.89213139e+02 3.23753910e+26
5.89216428e+02 6.21090304e+26
5.89219718e+02 3.57344832e+26
5.89223008e+02 -2.15329596e+27
5.89226297e+02 -5.39860784e+27
5.89229587e+02 -1.09062475e+28
5.89232876e+02 -1.52496388e+28
5.89236166e+02 -1.70179509e+28
5.89239455e+02 -9.01287105e+27
5.89242745e+02 8.88100564e+27
5.89246035e+02 3.76905490e+28
5.89249324e+02 6.62244059e+28
5.89252614e+02 6.84805540e+28
5.89255903e+02 4.39018359e+28
5.89259193e+02 2.25617058e+28
5.89262483e+02 1.05215259e+28
5.89265772e+02 8.86691042e+27
5.89269062e+02 5.57397199e+27
5.89272351e+02 6.66601488e+27
5.89275641e+02 5.38410193e+27
5.89278930e+02 4.33137752e+27
5.89282220e+02 -3.88162626e+25
5.89285510e+02 1.06637156e+27
5.89288799e+02 -9.20878713e+24
5.89292089e+02 2.57993241e+27
5.89295378e+02 2.55838422e+27
5.89298668e+02 3.33346572e+27
5.89301957e+02 2.34816081e+27
5.89305247e+02 4.58205085e+27
5.89308537e+02 3.69836785e+27
5.89311826e+02 3.36243916e+27
5.89315116e+02 4.75365662e+27
5.89318405e+02 1.46065420e+27
5.89321695e+02 2.10241218e+27
5.89324985e+02 7.25745019e+26
5.89328274e+02 -2.88093170e+27
5.89331564e+02 -3.44222657e+27
5.89334853e+02 2.09654819e+27
5.89338143e+02 6.25046579e+27
5.89341432e+02 7.01291337e+27
5.89344722e+02 7.16443065e+27
5.89348012e+02 7.25123474e+27
5.89351301e+02 4.35868823e+27
5.89354591e+02 5.88136199e+26
5.89357880e+02 -3.30763099e+27
5.89361170e+02 -5.30352635e+27
5.89364459e+02 -7.38250528e+27
5.89367749e+02 -3.46531716e+27
5.89371039e+02 -1.05690463e+27
5.89374328e+02 -1.48733486e+27
5.89377618e+02 1.23544174e+27
5.89380907e+02 -2.80018654e+26
5.89384197e+02 2.58118369e+27
5.89387487e+02 3.64518126e+27
5.89390776e+02 3.35915927e+27
5.89394066e+02 2.85420308e+27
5.89397355e+02 -1.46939693e+27
5.89400645e+02 -3.19907459e+27
5.89403934e+02 -7.35912178e+27
5.89407224e+02 -4.35920412e+27
5.89410514e+02 3.71058112e+27
5.89413803e+02 3.01680328e+27
5.89417093e+02 2.94046640e+27
5.89420382e+02 1.29707459e+27
5.89423672e+02 2.44145215e+27
5.89426962e+02 1.77995664e+27
5.89430251e+02 4.32406037e+26
5.89433541e+02 -9.37133977e+26
5.89436830e+02 1.16483029e+27
5.89440120e+02 -8.61895396e+25
5.89443409e+02 -1.99538833e+27
5.89446699e+02 1.87206004e+27
5.89449989e+02 -4.50208339e+26
5.89453278e+02 2.07692361e+27
5.89456568e+02 1.01853835e+27
5.89459857e+02 1.17972345e+27
5.89463147e+02 -2.28314442e+27
5.89466436e+02 -6.49564695e+27
5.89469726e+02 -5.40882979e+27
5.89473016e+02 -5.92390563e+27
5.89476305e+02 1.74177739e+27
5.89479595e+02 2.88003626e+27
5.89482884e+02 2.62614820e+27
5.89486174e+02 1.64187924e+27
5.89489464e+02 8.51537412e+26
5.89492753e+02 2.41335290e+26
5.89496043e+02 3.05638182e+27
5.89499332e+02 6.82398761e+27
5.89502622e+02 2.73415702e+27
5.89505911e+02 2.86317850e+27
5.89509201e+02 -8.93323766e+26
5.89512491e+02 -4.58839033e+27
5.89515780e+02 -5.57069973e+27
5.89519070e+02 -8.00293536e+27
5.89522359e+02 -6.14842887e+27
