Wavelength(nm) Intensity
5.89098004e+02 1.97191211e+04
5.89101293e+02 1.92079002e+04
5.89104583e+02 1.95962476e+04
5.89107872e+02 1.91127034e+04
5.89111162e+02 1.92822812e+04
5.89114451e+02 1.91592457e+04
5.89117741e+02 1.90786022e+04
5.89121031e+02 1.80369834e+04
5.89124320e+02 1.70032865e+04
5.89127610e+02 1.67641493e+04
5.89130899e+02 1.67608928e+04
5.89134189e+02 1.76484921e+04
5.89137478e+02 1.80138185e+04
5.89140768e+02 1.85373063e+04
5.89144058e+02 1.81079876e+04
5.89147347e+02 1.78529648e+04
5.89150637e+02 1.82959077e+04
5.89153926e+02 1.78993876e+04
5.89157216e+02 1.73884519e+04
5.89160506e+02 1.72078142e+04
5.89163795e+02 1.69886202e+04
5.89167085e+02 1.63121197e+04
5.89170374e+02 1.55472462e+04
5.89173664e+02 1.50600848e+04
5.89176953e+02 1.53887216e+04
5.89180243e+02 1.57036506e+04
5.89183533e+02 1.56198743e+04
5.89186822e+02 1.48838751e+04
5.89190112e+02 1.48422958e+04
5.89193401e+02 1.46538034e+04
5.89196691e+02 1.38295085e+04
5.89199981e+02 1.38049417e+04
5.89203270e+02 1.29819449e+04
5.89206560e+02 1.18926708e+04
5.89209849e+02 1.15254975e+04
5.89213139e+02 1.07812746e+04
5.89216428e+02 9.89419169e+03
5.89219718e+02 8.82564320e+03
5.89223008e+02 7.63807137e+03
5.89226297e+02 5.60345798e+03
5.89229587e+02 4.33226967e+03
5.89232876e+02 2.86120521e+03
5.89236166e+02 2.37262525e+03
5.89239455e+02 3.37049638e+03
5.89242745e+02 6.24342328e+03
5.89246035e+02 1.22254008e+04
5.89249324e+02 1.74298440e+04
5.89252614e+02 1.83436558e+04
5.89255903e+02 1.50515067e+04
5.89259193e+02 1.16797126e+04
5.89262483e+02 1.06880420e+04
5.89265772e+02 1.13131515e+04
5.89269062e+02 1.18834503e+04
5.89272351e+02 1.25401922e+04
5.89275641e+02 1.31959842e+04
5.89278930e+02 1.38524728e+04
5.89282220e+02 1.38078265e+04
5.89285510e+02 1.43948382e+04
5.89288799e+02 1.50520954e+04
5.89292089e+02 1.54966150e+04
5.89295378e+02 1.58938713e+04
5.89298668e+02 1.63163617e+04
5.89301957e+02 1.65437164e+04
5.89305247e+02 1.64522700e+04
5.89308537e+02 1.71777843e+04
5.89311826e+02 1.69103332e+04
5.89315116e+02 1.65249511e+04
5.89318405e+02 1.67818180e+04
5.89321695e+02 1.66582238e+04
5.89324985e+02 1.61848757e+04
5.89328274e+02 1.52834363e+04
5.89331564e+02 1.59351684e+04
5.89334853e+02 1.65876261e+04
5.89338143e+02 1.77500631e+04
5.89341432e+02 1.86334296e+04
5.89344722e+02 1.89501981e+04
5.89348012e+02 1.90197694e+04
5.89351301e+02 1.87714625e+04
5.89354591e+02 1.81975854e+04
5.89357880e+02 1.75518851e+04
5.89361170e+02 1.68973631e+04
5.89364459e+02 1.74033450e+04
5.89367749e+02 1.83936721e+04
5.89371039e+02 1.84979146e+04
5.89374328e+02 1.94063776e+04
5.89377618e+02 1.92902838e+04
5.89380907e+02 1.94706894e+04
5.89384197e+02 1.97819972e+04
5.89387487e+02 1.97924957e+04
5.89390776e+02 1.94757383e+04
5.89394066e+02 1.92347366e+04
5.89397355e+02 1.80540806e+04
5.89400645e+02 1.76684462e+04
5.89403934e+02 1.75737847e+04
5.89407224e+02 1.82868754e+04
5.89410514e+02 1.91411032e+04
5.89413803e+02 1.98388012e+04
5.89417093e+02 1.97212787e+04
5.89420382e+02 1.97101663e+04
5.89423672e+02 1.99218146e+04
5.89426962e+02 1.95429667e+04
5.89430251e+02 1.95469524e+04
5.89433541e+02 1.98415755e+04
5.89436830e+02 1.99133115e+04
5.89440120e+02 1.98672549e+04
5.89443409e+02 1.98632751e+04
5.89446699e+02 2.01799946e+04
5.89449989e+02 2.00550242e+04
5.89453278e+02 2.00950298e+04
5.89456568e+02 1.99522381e+04
5.89459857e+02 1.98845233e+04
5.89463147e+02 1.92404006e+04
5.89466436e+02 1.88078786e+04
5.89469726e+02 1.88947144e+04
5.89473016e+02 1.88265614e+04
5.89476305e+02 1.93803371e+04
5.89479595e+02 1.96639878e+04
5.89482884e+02 1.98158413e+04
5.89486174e+02 1.99018416e+04
5.89489464e+02 2.00594153e+04
5.89492753e+02 1.98283274e+04
5.89496043e+02 1.97967695e+04
5.89499332e+02 2.01390663e+04
5.89502622e+02 1.96144151e+04
5.89505911e+02 1.84680261e+04
5.89509201e+02 1.72670724e+04
5.89512491e+02 1.59276295e+04
5.89515780e+02 1.56103708e+04
5.89519070e+02 1.56271126e+04
5.89522359e+02 1.45317483e+04
5.89525649e+02 1.31392907e+04
5.89528938e+02 1.21225216e+04
5.89532228e+02 1.19689926e+04
5.89535518e+02 1.33093434e+04
5.89538807e+02 1.58409996e+04
5.89542097e+02 1.77808200e+04
5.89545386e+02 1.93386933e+04
5.89548676e+02 1.98688022e+04
5.89551966e+02 2.03161583e+04
5.89555255e+02 2.05769804e+04
5.89558545e+02 2.03614873e+04
5.89561834e+02 2.01508570e+04
5.89565124e+02 1.98219484e+04
5.89568413e+02 2.00064417e+04
5.89571703e+02 1.99975453e+04
5.89574993e+02 1.98201451e+04
5.89578282e+02 1.99801757e+04
5.89581572e+02 1.98550471e+04
5.89584861e+02 2.03006872e+04
5.89588151e+02 2.04045118e+04
5.89591441e+02 2.02959040e+04
5.89594730e+02 1.98969125e+04
5.89598020e+02 1.97396041e+04
5.89601309e+02 2.00028941e+04
5.89604599e+02 1.92384463e+04
5.89607888e+02 1.95645110e+04
5.89611178e+02 2.00456929e+04
5.89614468e+02 2.01356817e+04
5.89617757e+02 2.08910579e+04
5.89621047e+02 2.03984099e+04
5.89624336e+02 2.00650176e+04
5.89627626e+02 2.04815314e+04
5.89630915e+02 2.01904195e+04
5.89634205e+02 2.01131075e+04
5.89637495e+02 2.01051677e+04
5.89640784e+02 2.03834676e+04
5.89644074e+02 1.97902831e+04
5.89647363e+02 1.99270657e+04
5.89650653e+02 1.99024988e+04
5.89653943e+02 1.92159694e+04
5.89657232e+02 1.93548550e+04
5.89660522e+02 1.94416670e+04
5.89663811e+02 1.96345235e+04
5.89667101e+02 1.97165445e+04
5.89670390e+02 1.95189430e+04
5.89673680e+02 1.96017591e+04
5.89676970e+02 1.95573368e+04
5.89680259e+02 2.00185029e+04
5.89683549e+02 1.99448412e+04
5.89686838e+02 1.98457735e+04
5.89690128e+02 1.98024294e+04
5.89693417e+02 2.05438354e+04
5.89696707e+02 2.04567598e+04
5.89699997e+02 2.00611782e+04
5.89703286e+02 1.99695258e+04
5.89706576e+02 1.98347316e+04
5.89709865e+02 2.02034753e+04
5.89713155e+02 2.01506908e+04
5.89716445e+02 2.01383234e+04
5.89719734e+02 1.98076772e+04
5.89723024e+02 1.97346762e+04
5.89726313e+02 1.98079517e+04
5.89729603e+02 1.95090987e+04
5.89732892e+02 1.95692146e+04
5.89736182e+02 1.92947259e+04
5.89739472e+02 1.93204096e+04
5.89742761e+02 1.96452553e+04
5.89746051e+02 1.92882307e+04
5.89749340e+02 1.94220608e+04
5.89752630e+02 1.91504607e+04
5.89755919e+02 1.89306658e+04
5.89759209e+02 1.87573908e+04
5.89762499e+02 1.87439125e+04
5.89765788e+02 1.85764583e+04
5.89769078e+02 1.86728980e+04
5.89772367e+02 1.89561522e+04
5.89775657e+02 1.84809079e+04
5.89778947e+02 1.83383007e+04
5.89782236e+02 1.77469781e+04
5.89785526e+02 1.75837591e+04
5.89788815e+02 1.71331924e+04
5.89792105e+02 1.65014590e+04
5.89795394e+02 1.63144099e+04
5.89798684e+02 1.54934036e+04
5.89801974e+02 1.46457551e+04
5.89805263e+02 1.34228600e+04
5.89808553e+02 1.24594786e+04
5.89811842e+02 1.18241457e+04
5.89815132e+02 1.04687782e+04
5.89818422e+02 9.59975429e+03
5.89821711e+02 7.89375442e+03
5.89825001e+02 6.63334700e+03
5.89828290e+02 4.70848947e+03
5.89831580e+02 3.00856398e+03
5.89834869e+02 2.40716280e+03
5.89838159e+02 3.41149807e+03
5.89841449e+02 6.31597175e+03
5.89844738e+02 9.75594209e+03
5.89848028e+02 1.32441096e+04
5.89851317e+02 1.45946287e+04
5.89854607e+02 1.33710962e+04
5.89857896e+02 1.23433932e+04
5.89861186e+02 1.24518426e+04
5.89864476e+02 1.31456836e+04
5.89867765e+02 1.37672479e+04
5.89871055e+02 1.47571449e+04
5.89874344e+02 1.51596684e+04
5.89877634e+02 1.58985226e+04
5.89880924e+02 1.61850953e+04
5.89884213e+02 1.68011163e+04
5.89887503e+02 1.67448491e+04
5.89890792e+02 1.74855662e+04
5.89894082e+02 1.73606255e+04
5.89897371e+02 1.82473387e+04
5.89900661e+02 1.83621279e+04
5.89903951e+02 1.81751422e+04
5.89907240e+02 1.79201867e+04
5.89910530e+02 1.81008764e+04
5.89913819e+02 1.77878758e+04
5.89917109e+02 1.85065863e+04
5.89920398e+02 1.89428382e+04
5.89923688e+02 1.90629241e+04
5.89926978e+02 1.93811669e+04
5.89930267e+02 1.92386401e+04
5.89933557e+02 1.95206767e+04
5.89936846e+02 1.92960186e+04
5.89940136e+02 1.91751704e+04
5.89943426e+02 1.96377738e+04
5.89946715e+02 1.92544738e+04
5.89950005e+02 1.95154999e+04
5.89953294e+02 1.93323231e+04
5.89956584e+02 1.87834161e+04
5.89959873e+02 1.87827214e+04
5.89963163e+02 1.87756989e+04
5.89966453e+02 1.84872525e+04
5.89969742e+02 1.79367818e+04
5.89973032e+02 1.73069396e+04
5.89976321e+02 1.63863218e+04
5.89979611e+02 1.60417279e+04
5.89982901e+02 1.69056331e+04
5.89986190e+02 1.78429263e+04
5.89989480e+02 1.88678973e+04
5.89992769e+02 1.95564691e+04
5.89996059e+02 1.92206630e+04
5.89999348e+02 1.93249968e+04
5.90002638e+02 1.97529023e+04
5.90005928e+02 1.96721789e+04
5.90009217e+02 1.98153692e+04
5.90012507e+02 2.00642961e+04
5.90015796e+02 2.05210693e+04
5.90019086e+02 2.02973176e+04
5.90022375e+02 2.01861102e+04
5.90025665e+02 2.04369163e+04
