# Wavelength Flux(MR)
5.89098004e+02 -1.79022256e+27
5.89101293e+02 -4.12519497e+27
5.89104583e+02 -8.21269558e+26
5.89107872e+02 1.81641763e+27
5.89111162e+02 -4.87675926e+26
5.89114451e+02 1.80029538e+27
5.89117741e+02 1.77368199e+27
5.89121031e+02 -5.05006120e+25
5.89124320e+02 -4.51679291e+27
5.89127610e+02 -7.88881352e+27
5.89130899e+02 -4.03147415e+27
5.89134189e+02 2.68970193e+27
5.89137478e+02 7.13853540e+27
5.89140768e+02 3.83535949e+27
5.89144058e+02 5.73944857e+27
5.89147347e+02 7.04268664e+27
5.89150637e+02 5.99296356e+27
5.89153926e+02 3.03096726e+27
5.89157216e+02 4.06681589e+27
5.89160506e+02 2.23753783e+27
5.89163795e+02 4.16932862e+27
5.89167085e+02 1.94840948e+27
5.89170374e+02 -4.33456204e+27
5.89173664e+02 -2.87980046e+27
5.89176953e+02 -1.76726401e+27
5.89180243e+02 2.60714890e+25
5.89183533e+02 1.34265343e+27
5.89186822e+02 1.12550890e+27
5.89190112e+02 4.17334289e+27
5.89193401e+02 3.47978868e+27
5.89196691e+02 2.98183826e+27
5.89199981e+02 3.57343759e+27
5.89203270e+02 2.24714905e+26
5.89206560e+02 1.31005072e+27
5.89209849e+02 1.00322758e+27
5.89213139e+02 1.79729155e+27
5.89216428e+02 2.20891383e+27
5.89219718e+02 2.00333428e+27
5.89223008e+02 -5.24544558e+26
5.89226297e+02 -3.87716310e+27
5.89229587e+02 -9.59013939e+27
5.89232876e+02 -1.42326661e+28
5.89236166e+02 -1.63782007e+28
5.89239455e+02 -8.79979797e+27
5.89242745e+02 8.65255375e+27
5.89246035e+02 3.70438077e+28
5.89249324e+02 6.52145028e+28
5.89252614e+02 6.71820560e+28
5.89255903e+02 4.24042684e+28
5.89259193e+02 2.09650232e+28
5.89262483e+02 8.91648031e+27
5.89265772e+02 7.32459777e+27
5.89269062e+02 4.13784762e+27
5.89272351e+02 5.35819266e+27
5.89275641e+02 4.20647776e+27
5.89278930e+02 3.27559143e+27
5.89282220e+02 -9.85712660e+26
5.89285510e+02 2.20688392e+26
5.89288799e+02 -7.57128123e+26
5.89292089e+02 1.93571513e+27
5.89295378e+02 2.02822786e+27
5.89298668e+02 2.93174183e+27
5.89301957e+02 2.08701977e+27
5.89305247e+02 4.46883658e+27
5.89308537e+02 3.72786487e+27
5.89311826e+02 3.51675266e+27
5.89315116e+02 5.00055258e+27
5.89318405e+02 1.75331307e+27
5.89321695e+02 2.38913390e+27
5.89324985e+02 9.53541043e+26
5.89328274e+02 -2.75546882e+27
5.89331564e+02 -3.44306075e+27
5.89334853e+02 1.96916935e+27
5.89338143e+02 6.01662365e+27
5.89341432e+02 6.70857996e+27
5.89344722e+02 6.83230110e+27
5.89348012e+02 6.92820450e+27
5.89351301e+02 4.06587900e+27
5.89354591e+02 3.29592797e+26
5.89357880e+02 -3.54130823e+27
5.89361170e+02 -5.52609150e+27
5.89364459e+02 -7.60366185e+27
5.89367749e+02 -3.68149089e+27
5.89371039e+02 -1.25341797e+27
5.89374328e+02 -1.63997671e+27
5.89377618e+02 1.15519691e+27
5.89380907e+02 -2.68094997e+26
5.89384197e+02 2.69297361e+27
5.89387487e+02 3.84343203e+27
5.89390776e+02 3.61170407e+27
5.89394066e+02 3.11582638e+27
5.89397355e+02 -1.24912760e+27
5.89400645e+02 -3.06239758e+27
5.89403934e+02 -7.33469633e+27
5.89407224e+02 -4.45287015e+27
5.89410514e+02 3.51227557e+27
5.89413803e+02 2.73848891e+27
5.89417093e+02 2.61733846e+27
5.89420382e+02 9.63490257e+26
5.89423672e+02 2.12690274e+27
5.89426962e+02 1.50389875e+27
5.89430251e+02 2.06887377e+26
5.89433541e+02 -1.10465232e+27
5.89436830e+02 1.06202426e+27
5.89440120e+02 -1.19999235e+26
5.89443409e+02 -1.95637545e+27
5.89446699e+02 1.98574233e+27
5.89449989e+02 -2.70568203e+26
5.89453278e+02 2.30809214e+27
5.89456568e+02 1.27563299e+27
5.89459857e+02 1.43304113e+27
5.89463147e+02 -2.06486958e+27
5.89466436e+02 -6.33657904e+27
5.89469726e+02 -5.31941193e+27
5.89473016e+02 -5.90116449e+27
5.89476305e+02 1.71983377e+27
5.89479595e+02 2.84487323e+27
5.89482884e+02 2.62009763e+27
5.89486174e+02 1.71096692e+27
5.89489464e+02 1.03923298e+27
5.89492753e+02 5.82090671e+26
5.89496043e+02 3.57110618e+27
5.89499332e+02 7.51419095e+27
5.89502622e+02 3.57800301e+27
5.89505911e+02 3.82226532e+27
5.89509201e+02 1.23139215e+26
5.89512491e+02 -3.58342904e+27
5.89515780e+02 -4.65189165e+27
5.89519070e+02 -7.24682156e+27
5.89522359e+02 -5.62390060e+27
5.89525649e+02 -1.02655023e+28
5.89528938e+02 -2.19450989e+28
5.89532228e+02 -2.37452639e+28
5.89535518e+02 -1.80640523e+28
5.89538807e+02 -8.88497266e+27
5.89542097e+02 2.70331080e+27
5.89545386e+02 8.10791076e+27
5.89548676e+02 6.37184261e+27
5.89551966e+02 6.23864084e+27
5.89555255e+02 3.53219302e+27
5.89558545e+02 8.42578178e+26
5.89561834e+02 -2.08985994e+27
5.89565124e+02 -4.08575499e+25
5.89568413e+02 -3.53854857e+27
