# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 8.7690e+27 1.5450e+27 0.000012 589.821909
2 8.5281e+27 1.5112e+27 0.000009 589.821860
3 8.4820e+27 1.5279e+27 0.000012 589.821766
4 8.6226e+27 1.5216e+27 0.000012 589.821798
5 8.6601e+27 1.5219e+27 0.000013 589.821452
