Wavelength(nm) Intensity
5.89680600e+02 3.95210598e+03
5.89683895e+02 3.81272821e+03
5.89687190e+02 3.76793142e+03
5.89690485e+02 3.94649401e+03
5.89693780e+02 3.65745014e+03
5.89697075e+02 3.47567597e+03
5.89700370e+02 3.69587950e+03
5.89703666e+02 3.73965326e+03
5.89706961e+02 4.01118310e+03
5.89710256e+02 3.78765971e+03
5.89713551e+02 4.17614125e+03
5.89716846e+02 3.93216982e+03
5.89720141e+02 3.83487455e+03
5.89723436e+02 3.74612001e+03
5.89726731e+02 3.88265524e+03
5.89730027e+02 3.60275354e+03
5.89733322e+02 3.79508738e+03
5.89736617e+02 3.66201506e+03
5.89739912e+02 3.69459343e+03
5.89743207e+02 3.38541078e+03
5.89746502e+02 3.46254864e+03
5.89749797e+02 3.22823246e+03
5.89753092e+02 3.54268181e+03
5.89756387e+02 3.38537014e+03
5.89759683e+02 3.66842005e+03
5.89762978e+02 3.50714253e+03
5.89766273e+02 3.68079838e+03
5.89769568e+02 3.50868499e+03
5.89772863e+02 3.18833773e+03
5.89776158e+02 2.86079730e+03
5.89779453e+02 2.49465404e+03
5.89782748e+02 2.67142922e+03
5.89786044e+02 1.72452808e+03
5.89789339e+02 1.45335198e+03
5.89792634e+02 1.23966620e+03
5.89795929e+02 8.44155872e+02
5.89799224e+02 5.27882582e+02
5.89802519e+02 1.13512369e+02
5.89805814e+02 4.63462178e+02
5.89809109e+02 1.77721684e+03
5.89812404e+02 4.21189304e+03
5.89815700e+02 8.67517588e+03
5.89818995e+02 1.28563744e+04
5.89822290e+02 1.51518843e+04
5.89825585e+02 1.22996501e+04
5.89828880e+02 7.68262150e+03
5.89832175e+02 4.53348465e+03
5.89835470e+02 3.32999471e+03
5.89838765e+02 2.63420276e+03
5.89842061e+02 2.73372950e+03
5.89845356e+02 2.66781624e+03
5.89848651e+02 2.65971505e+03
5.89851946e+02 2.86493272e+03
5.89855241e+02 3.33641454e+03
5.89858536e+02 3.47731306e+03
5.89861831e+02 3.64800788e+03
5.89865126e+02 3.72226100e+03
5.89868421e+02 3.86508674e+03
5.89871717e+02 3.63056908e+03
5.89875012e+02 3.98604640e+03
5.89878307e+02 3.72520271e+03
5.89881602e+02 3.68622442e+03
5.89884897e+02 4.07141871e+03
5.89888192e+02 3.51748611e+03
5.89891487e+02 4.09765116e+03
5.89894782e+02 4.07193900e+03
5.89898078e+02 3.95153060e+03
5.89901373e+02 3.86150544e+03
5.89904668e+02 3.92156125e+03
5.89907963e+02 3.80400606e+03
5.89911258e+02 3.47719370e+03
5.89914553e+02 3.25552813e+03
5.89917848e+02 3.55594529e+03
5.89921143e+02 4.16887152e+03
5.89924438e+02 3.85521203e+03
5.89927734e+02 3.86608653e+03
5.89931029e+02 4.02058082e+03
5.89934324e+02 4.04683500e+03
5.89937619e+02 3.92835469e+03
5.89940914e+02 4.13521992e+03
5.89944209e+02 4.00870147e+03
5.89947504e+02 4.00623338e+03
5.89950799e+02 4.11554486e+03
5.89954095e+02 3.73555287e+03
5.89957390e+02 4.05848876e+03
5.89960685e+02 3.70384532e+03
5.89963980e+02 3.58313000e+03
5.89967275e+02 3.70820802e+03
5.89970570e+02 3.63189799e+03
5.89973865e+02 3.32985030e+03
5.89977160e+02 2.90746541e+03
5.89980455e+02 2.19208571e+03
5.89983751e+02 2.78464022e+03
5.89987046e+02 3.69829920e+03
5.89990341e+02 3.87009723e+03
5.89993636e+02 4.11248070e+03
5.89996931e+02 4.22489672e+03
5.90000226e+02 4.36408797e+03
5.90003521e+02 3.91484101e+03
5.90006816e+02 4.09678710e+03
5.90010112e+02 4.12308231e+03
5.90013407e+02 4.35162066e+03
5.90016702e+02 4.11997080e+03
5.90019997e+02 4.40291463e+03
5.90023292e+02 4.26619218e+03
5.90026587e+02 3.93447071e+03
5.90029882e+02 3.74786999e+03
5.90033177e+02 3.80629736e+03
5.90036472e+02 3.81759286e+03
5.90039768e+02 3.90361233e+03
5.90043063e+02 3.63114397e+03
5.90046358e+02 3.76602799e+03
5.90049653e+02 4.09878731e+03
5.90052948e+02 4.22881690e+03
5.90056243e+02 3.85156556e+03
5.90059538e+02 3.35229146e+03
5.90062833e+02 3.34467914e+03
5.90066129e+02 3.38401423e+03
5.90069424e+02 3.63843835e+03
5.90072719e+02 3.82119309e+03
5.90076014e+02 4.27867075e+03
5.90079309e+02 4.38448820e+03
5.90082604e+02 4.19208765e+03
5.90085899e+02 3.89205400e+03
5.90089194e+02 3.95182998e+03
5.90092489e+02 3.90779623e+03
5.90095785e+02 3.99615812e+03
5.90099080e+02 3.89044124e+03
5.90102375e+02 4.27700038e+03
5.90105670e+02 3.91483492e+03
5.90108965e+02 4.06039668e+03
5.90112260e+02 4.31037048e+03
5.90115555e+02 4.53483829e+03
5.90118850e+02 4.14802416e+03
5.90122146e+02 3.77401274e+03
5.90125441e+02 4.04610435e+03
5.90128736e+02 4.24816201e+03
5.90132031e+02 3.75212562e+03
5.90135326e+02 3.26978388e+03
5.90138621e+02 3.45362061e+03
5.90141916e+02 3.27801750e+03
5.90145211e+02 3.28825383e+03
5.90148506e+02 3.09135643e+03
5.90151802e+02 3.42452099e+03
5.90155097e+02 2.71752256e+03
5.90158392e+02 2.47353545e+03
5.90161687e+02 2.46781468e+03
5.90164982e+02 2.28236750e+03
5.90168277e+02 2.16526290e+03
5.90171572e+02 2.37212688e+03
5.90174867e+02 3.16153319e+03
5.90178163e+02 3.88731026e+03
5.90181458e+02 3.84715882e+03
5.90184753e+02 4.49608105e+03
5.90188048e+02 4.38506210e+03
5.90191343e+02 4.46549843e+03
5.90194638e+02 4.76853473e+03
5.90197933e+02 4.32765361e+03
5.90201228e+02 4.33450046e+03
5.90204523e+02 3.83724501e+03
5.90207819e+02 4.24632007e+03
