TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
79,6.2088e+29,2.0300e+29,4.0991e+29,1.1800e+27,6.7900e+27,1.6987e+29,3.3130e+28,2.2454e+29,1.8537e+29,6.6000e+26,5.2000e+26,3.5700e+27,3.2200e+27,4.2875e+08,4.4693e+03,9.6403e+08,4.2962e-20,1.5659e+07,2.8440e+02,5.0243e+05,4.9922e+05,32.7,66.0,0.2,1.1,6.2109e+29,6.0545e+29,8.0000e+27,7.6400e+27,2.6033e+28,0.0000e+00,97.5,1.3,1.2
80,6.3255e+29,2.0946e+29,4.1477e+29,1.4500e+27,6.8700e+27,1.7735e+29,3.2110e+28,2.2561e+29,1.8916e+29,8.1000e+26,6.4000e+26,3.6800e+27,3.1900e+27,4.3834e+08,4.5929e+03,9.5128e+08,1.0122e-20,1.4991e+07,2.9227e+02,4.9921e+05,4.9599e+05,33.1,65.6,0.2,1.1,6.3308e+29,6.1626e+29,8.9000e+27,7.9200e+27,2.5964e+28,0.0000e+00,97.3,1.4,1.3
81,6.3900e+29,2.1674e+29,4.1414e+29,1.2800e+27,6.8400e+27,1.8326e+29,3.3480e+28,2.3171e+29,1.8243e+29,6.8000e+26,6.0000e+26,3.4400e+27,3.4000e+27,4.4798e+08,4.7192e+03,1.1612e+09,1.4303e-18,1.4601e+07,3.0057e+02,4.9597e+05,4.9274e+05,33.9,64.8,0.2,1.1,6.3885e+29,6.2230e+29,8.6400e+27,7.9100e+27,2.5889e+28,0.0000e+00,97.4,1.4,1.2
82,6.3041e+29,2.1862e+29,4.0341e+29,1.5300e+27,6.8500e+27,1.8634e+29,3.2280e+28,2.2788e+29,1.7553e+29,7.6000e+26,7.7000e+26,3.7000e+27,3.1500e+27,4.5763e+08,4.8525e+03,1.0785e+09,1.0297e-20,1.4725e+07,3.0910e+02,4.9272e+05,4.8950e+05,34.7,64.0,0.2,1.1,6.3101e+29,6.1451e+29,8.8200e+27,7.6800e+27,2.5671e+28,0.0000e+00,97.4,1.4,1.2
83,6.5337e+29,2.2155e+29,4.2368e+29,1.4000e+27,6.7400e+27,1.8970e+29,3.1850e+28,2.3201e+29,1.9167e+29,7.5000e+26,6.5000e+26,3.4100e+27,3.3300e+27,4.6688e+08,4.9948e+03,1.3104e+09,1.0005e-20,2.0697e+07,3.1806e+02,4.8948e+05,4.8629e+05,33.9,64.8,0.2,1.0,6.5275e+29,6.3528e+29,9.3200e+27,8.1500e+27,2.5319e+28,0.0000e+00,97.3,1.4,1.2
84,6.5548e+29,2.2893e+29,4.1789e+29,1.6500e+27,7.0100e+27,1.9723e+29,3.1700e+28,2.1241e+29,2.0548e+29,1.0400e+27,6.1000e+26,3.5000e+27,3.5100e+27,4.7618e+08,5.1373e+03,1.1015e+09,1.0247e-20,2.0417e+07,3.2747e+02,4.8627e+05,4.8305e+05,34.9,63.8,0.3,1.1,6.5524e+29,6.3907e+29,8.4300e+27,7.7400e+27,2.5367e+28,0.0000e+00,97.5,1.3,1.2
85,6.5355e+29,2.3663e+29,4.0851e+29,1.5000e+27,6.9100e+27,2.0476e+29,3.1870e+28,2.1304e+29,1.9547e+29,8.7000e+26,6.3000e+26,3.5000e+27,3.4100e+27,4.8520e+08,5.2846e+03,1.0983e+09,3.3558e-20,1.9765e+07,3.3726e+02,4.8303e+05,4.7984e+05,36.2,62.5,0.2,1.1,6.5325e+29,6.3616e+29,9.0000e+27,8.0900e+27,2.5014e+28,0.0000e+00,97.4,1.4,1.2
86,6.8111e+29,2.4666e+29,4.2605e+29,1.5300e+27,6.8700e+27,2.1435e+29,3.2310e+28,2.2779e+29,1.9826e+29,9.6000e+26,5.7000e+26,3.4600e+27,3.4100e+27,4.9503e+08,5.4406e+03,8.8811e+08,1.0193e-20,1.9006e+07,3.4724e+02,4.7982e+05,4.7663e+05,36.2,62.6,0.2,1.0,6.8091e+29,6.6422e+29,8.6600e+27,8.0300e+27,2.4922e+28,0.0000e+00,97.5,1.3,1.2
87,6.9476e+29,2.5513e+29,4.3114e+29,1.5600e+27,6.9300e+27,2.2344e+29,3.1690e+28,2.3129e+29,1.9985e+29,8.3000e+26,7.3000e+26,3.4100e+27,3.5200e+27,5.0389e+08,5.6031e+03,1.2827e+09,1.7584e-20,1.8247e+07,3.5798e+02,4.7661e+05,4.7341e+05,36.7,62.1,0.2,1.0,6.9486e+29,6.7755e+29,9.0700e+27,8.2400e+27,2.4825e+28,0.0000e+00,97.5,1.3,1.2
88,6.8899e+29,2.6224e+29,4.1835e+29,1.4100e+27,6.9900e+27,2.3077e+29,3.1470e+28,2.1948e+29,1.9887e+29,8.9000e+26,5.2000e+26,3.5600e+27,3.4300e+27,5.1235e+08,5.7752e+03,8.8724e+08,7.5558e-19,1.8057e+07,3.6940e+02,4.7339e+05,4.7020e+05,38.1,60.7,0.2,1.0,6.8921e+29,6.7131e+29,9.2100e+27,8.6900e+27,2.4598e+28,0.0000e+00,97.4,1.3,1.3
