# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 1.0495e+28 2.7299e+27 0.000154 589.848125
2 1.0586e+28 2.7054e+27 0.000150 589.848052
3 1.0288e+28 2.7117e+27 0.000138 589.847891
4 1.0828e+28 2.7472e+27 0.000144 589.847848
5 1.1134e+28 2.7692e+27 0.000144 589.847710
6 1.1115e+28 2.7583e+27 0.000151 589.847637
7 1.1343e+28 2.7664e+27 0.000161 589.847691
8 1.1371e+28 2.7677e+27 0.000157 589.847706
9 1.1470e+28 2.7978e+27 0.000138 589.847558
10 1.1391e+28 2.7693e+27 0.000138 589.847486
11 1.0946e+28 2.7703e+27 0.000158 589.847543
12 1.1060e+28 2.7765e+27 0.000156 589.847483
13 1.1423e+28 2.7431e+27 0.000161 589.847542
14 1.1081e+28 2.7655e+27 0.000153 589.847377
15 1.1585e+28 2.7989e+27 0.000145 589.847541
16 1.1381e+28 2.7577e+27 0.000159 589.847407
