TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
25,7.5228e+29,1.7131e+29,5.7135e+29,2.8605e+27,6.7605e+27,1.0175e+29,6.9558e+28,2.9187e+29,2.7948e+29,1.4915e+27,1.3690e+27,3.3840e+27,3.3765e+27,22.8,75.9,0.4,0.9,7.5323e+29,7.3041e+29,2.0309e+28,2.5200e+27,3.3441e+28,0.0000e+00,97.0,2.7,0.3
26,7.4456e+29,1.7141e+29,5.6343e+29,2.9215e+27,6.7935e+27,1.0168e+29,6.9731e+28,2.8773e+29,2.7570e+29,1.5390e+27,1.3825e+27,3.3910e+27,3.4025e+27,23.0,75.7,0.4,0.9,7.4520e+29,7.2274e+29,1.9704e+28,2.7530e+27,3.3511e+28,0.0000e+00,97.0,2.6,0.4
27,7.3283e+29,1.7069e+29,5.5246e+29,2.8585e+27,6.8240e+27,1.0129e+29,6.9404e+28,2.8121e+29,2.7124e+29,1.4645e+27,1.3940e+27,3.4320e+27,3.3920e+27,23.3,75.4,0.4,0.9,7.3404e+29,7.1190e+29,1.9222e+28,2.9185e+27,3.3572e+28,0.0000e+00,97.0,2.6,0.4
28,7.1774e+29,1.6941e+29,5.3875e+29,2.7755e+27,6.8025e+27,1.0049e+29,6.8924e+28,2.7399e+29,2.6476e+29,1.4425e+27,1.3330e+27,3.4260e+27,3.3765e+27,23.6,75.1,0.4,0.9,7.1841e+29,6.9682e+29,1.8554e+28,3.0400e+27,3.3390e+28,0.0000e+00,97.0,2.6,0.4
29,7.0480e+29,1.6825e+29,5.2697e+29,2.7895e+27,6.7855e+27,9.9554e+28,6.8693e+28,2.6833e+29,2.5865e+29,1.4580e+27,1.3315e+27,3.4000e+27,3.3855e+27,23.9,74.8,0.4,1.0,7.0556e+29,6.8440e+29,1.7840e+28,3.3190e+27,3.3203e+28,0.0000e+00,97.0,2.5,0.5
30,6.9564e+29,1.6797e+29,5.1815e+29,2.7125e+27,6.8080e+27,9.9208e+28,6.8763e+28,2.6397e+29,2.5418e+29,1.3985e+27,1.3140e+27,3.4060e+27,3.4020e+27,24.1,74.5,0.4,1.0,6.9668e+29,6.7579e+29,1.7352e+28,3.5360e+27,3.3244e+28,0.0000e+00,97.0,2.5,0.5
31,6.8098e+29,1.6657e+29,5.0489e+29,2.7375e+27,6.7900e+27,9.8454e+28,6.8113e+28,2.5711e+29,2.4777e+29,1.4330e+27,1.3045e+27,3.3785e+27,3.4115e+27,24.5,74.1,0.4,1.0,6.8165e+29,6.6121e+29,1.6790e+28,3.6490e+27,3.3046e+28,0.0000e+00,97.0,2.5,0.5
32,6.7072e+29,1.6559e+29,4.9561e+29,2.7000e+27,6.8235e+27,9.7735e+28,6.7854e+28,2.5202e+29,2.4359e+29,1.4060e+27,1.2940e+27,3.3925e+27,3.4310e+27,24.7,73.9,0.4,1.0,6.7158e+29,6.5153e+29,1.6234e+28,3.8120e+27,3.3072e+28,0.0000e+00,97.0,2.4,0.6
33,6.5535e+29,1.6365e+29,4.8220e+29,2.7095e+27,6.7945e+27,9.6747e+28,6.6898e+28,2.4588e+29,2.3632e+29,1.3925e+27,1.3170e+27,3.4160e+27,3.3785e+27,25.0,73.6,0.4,1.0,6.5629e+29,6.3684e+29,1.5521e+28,3.9375e+27,3.2863e+28,0.0000e+00,97.0,2.4,0.6
34,6.4618e+29,1.6384e+29,4.7287e+29,2.6465e+27,6.8225e+27,9.6843e+28,6.6996e+28,2.4075e+29,2.3213e+29,1.4055e+27,1.2410e+27,3.3840e+27,3.4385e+27,25.4,73.2,0.4,1.1,6.4680e+29,6.2758e+29,1.5004e+28,4.2225e+27,3.2875e+28,0.0000e+00,97.0,2.3,0.7
