Time_hours,TAA,Gen_Total,Trans_Inward
0.08333333333333333,0.0063963322958784374,1.0274500000000544e+28,0.0
3.861111111111111,1.0054067296525773,1.3808999999998676e+28,0.0
7.638888888888889,2.0043122961221798,1.2859999999999504e+28,0.0
11.416666666666666,3.003011034237147,1.175200000000054e+28,0.0
15.194444444444445,4.001397695617811,1.0856000000000588e+28,0.0
19.0,5.006707809993202,1.0164000000000536e+28,0.0
22.77777777777778,6.00415924475783,9.45600000000048e+27,0.0
26.555555555555557,7.000991690631906,8.930500000000439e+27,0.0
30.36111111111111,8.004424350988131,8.451000000000402e+27,0.0
34.166666666666664,9.007020526269116,8.076500000000373e+27,0.0
37.94444444444444,10.001372027937805,7.820500000000354e+27,0.0
41.75,11.001998503818072,7.438500000000329e+27,0.0
45.55555555555556,12.00148566371746,7.176000000000312e+27,0.0
49.388888888888886,13.007015307037705,6.905500000000294e+27,0.0
53.19444444444444,14.003912690712127,6.668000000000281e+27,0.0
57.02777777777778,15.006635815483037,6.58250000000027e+27,0.0
60.833333333333336,16.000551681933644,6.402000000000264e+27,0.0
64.66666666666667,17.000076776924118,6.333500000000255e+27,0.0
68.52777777777777,18.00507362602292,6.045000000000234e+27,0.0
72.36111111111111,19.000992490269994,5.937500000000232e+27,0.0
76.22222222222223,20.002168067657692,5.885500000000225e+27,0.0
80.08333333333333,21.001286466183046,5.709500000000216e+27,0.0
83.97222222222223,22.005420161401503,5.527500000000205e+27,0.0
87.83333333333333,23.000130991050696,5.433000000000193e+27,0.0
91.75,24.006777764891524,5.361000000000193e+27,0.0
95.63888888888889,25.003827108944904,5.266500000000183e+27,0.0
99.55555555555556,26.005432158412646,5.142500000000181e+27,0.0
103.47222222222223,27.004380848282892,5.00400000000017e+27,0.0
107.38888888888889,28.000589266283555,4.8685000000001593e+27,0.0
111.33333333333333,29.00101138844451,4.76850000000015e+27,0.0
115.30555555555556,30.005500822053875,4.679500000000142e+27,0.0
119.27777777777777,31.00692598503241,4.5060000000001345e+27,0.0
123.25,32.00520863189678,4.3855000000001283e+27,0.0
127.22222222222223,33.00027317831348,4.350000000000127e+27,0.0
131.25,34.00589502054993,4.221000000000115e+27,0.0
135.25,35.00116106882325,4.1100000000001077e+27,0.0
139.30555555555554,36.00669983075335,4.011500000000105e+27,0.0
143.33333333333334,37.0017439685368,3.9690000000001015e+27,0.0
147.41666666666666,38.00677191162828,3.809500000000089e+27,0.0
151.47222222222223,39.0011770617611,3.7635000000000853e+27,0.0
155.58333333333334,40.00528935382761,3.745000000000085e+27,0.0
159.69444444444446,41.00539890120342,3.5715000000000745e+27,0.0
163.80555555555554,42.00144301071663,3.47950000000007e+27,0.0
167.94444444444446,43.00006273604339,3.4595000000000723e+27,0.0
172.11111111111111,44.001113673900306,3.439500000000065e+27,0.0
176.30555555555554,45.0044637035204,3.3490000000000647e+27,0.0
180.5,46.00336759171972,3.229500000000055e+27,0.0
184.72222222222223,47.0043578502129,3.255000000000057e+27,0.0
188.94444444444446,48.00075374314281,3.175000000000055e+27,0.0
