TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
328,6.2616e+29,0.0000e+00,6.1133e+29,7.9800e+27,6.8500e+27,0.0000e+00,0.0000e+00,3.4325e+29,2.6808e+29,4.0200e+27,3.9600e+27,3.2300e+27,3.6200e+27,0.0000e+00,3.4200e+27,0.0000e+00,0.0000e+00,1.3292e+09,1.9553e-05,3.1137e+07,4.1681e+05,6.3574e+05,6.3384e+05,0.0,97.6,1.3,1.1,6.2646e+29,6.1340e+29,1.1310e+28,1.7500e+27,2.2485e+28,0.0000e+00,97.9,1.8,0.3
329,6.4433e+29,0.0000e+00,6.3005e+29,7.4700e+27,6.8100e+27,0.0000e+00,0.0000e+00,3.4842e+29,2.8163e+29,3.9400e+27,3.5300e+27,3.4200e+27,3.3900e+27,0.0000e+00,3.5800e+27,0.0000e+00,0.0000e+00,1.6427e+09,1.9553e-05,3.1287e+07,4.2384e+05,6.3762e+05,6.3576e+05,0.0,97.8,1.2,1.1,6.4320e+29,6.2980e+29,1.1330e+28,2.0700e+27,2.2698e+28,0.0000e+00,97.9,1.8,0.3
330,6.5359e+29,0.0000e+00,6.3929e+29,7.4700e+27,6.8300e+27,0.0000e+00,0.0000e+00,3.5928e+29,2.8001e+29,3.8500e+27,3.6200e+27,3.4500e+27,3.3800e+27,0.0000e+00,3.3600e+27,0.0000e+00,0.0000e+00,1.6356e+09,1.9553e-05,3.1284e+07,4.2491e+05,6.3943e+05,6.3763e+05,0.0,97.8,1.1,1.0,6.5263e+29,6.3917e+29,1.1720e+28,1.7400e+27,2.2746e+28,0.0000e+00,97.9,1.8,0.3
331,6.6422e+29,0.0000e+00,6.4991e+29,7.5700e+27,6.7400e+27,0.0000e+00,0.0000e+00,3.5388e+29,2.9603e+29,4.0000e+27,3.5700e+27,3.2500e+27,3.4900e+27,0.0000e+00,3.8700e+27,0.0000e+00,0.0000e+00,1.5420e+09,1.9553e-05,3.1345e+07,4.4961e+05,6.4120e+05,6.3945e+05,0.0,97.8,1.1,1.0,6.6439e+29,6.5068e+29,1.1770e+28,1.9400e+27,2.2948e+28,0.0000e+00,97.9,1.8,0.3
332,6.6792e+29,0.0000e+00,6.5340e+29,7.6600e+27,6.8600e+27,0.0000e+00,0.0000e+00,3.5746e+29,2.9594e+29,3.7800e+27,3.8800e+27,3.6400e+27,3.2200e+27,0.0000e+00,3.3800e+27,0.0000e+00,0.0000e+00,1.4325e+09,1.9553e-05,3.1436e+07,4.4083e+05,6.4291e+05,6.4121e+05,0.0,97.8,1.1,1.0,6.6683e+29,6.5196e+29,1.3110e+28,1.7600e+27,2.3145e+28,0.0000e+00,97.8,2.0,0.3
333,6.7449e+29,0.0000e+00,6.6012e+29,7.6800e+27,6.6900e+27,0.0000e+00,0.0000e+00,3.7008e+29,2.9004e+29,3.7600e+27,3.9200e+27,3.4100e+27,3.2800e+27,0.0000e+00,3.0800e+27,0.0000e+00,0.0000e+00,1.7222e+09,1.9553e-05,3.1596e+07,4.2684e+05,6.4457e+05,6.4293e+05,0.0,97.9,1.1,1.0,6.7325e+29,6.5901e+29,1.2350e+28,1.8900e+27,2.3172e+28,0.0000e+00,97.9,1.8,0.3
334,6.7591e+29,0.0000e+00,6.6192e+29,7.1100e+27,6.8800e+27,0.0000e+00,0.0000e+00,3.5784e+29,3.0408e+29,3.7100e+27,3.4000e+27,3.2400e+27,3.6400e+27,0.0000e+00,3.5200e+27,0.0000e+00,0.0000e+00,1.4773e+09,3.9106e-05,3.1587e+07,4.2748e+05,6.4617e+05,6.4458e+05,0.0,97.9,1.1,1.0,6.7657e+29,6.6175e+29,1.3120e+28,1.7000e+27,2.3357e+28,0.0000e+00,97.8,1.9,0.3
335,6.8244e+29,0.0000e+00,6.6832e+29,7.3300e+27,6.7900e+27,0.0000e+00,0.0000e+00,3.6771e+29,3.0061e+29,3.7900e+27,3.5400e+27,3.5600e+27,3.2300e+27,0.0000e+00,3.1000e+27,0.0000e+00,0.0000e+00,1.6628e+09,3.9106e-05,3.1747e+07,4.3141e+05,6.4771e+05,6.4618e+05,0.0,97.9,1.1,1.0,6.8177e+29,6.6633e+29,1.3730e+28,1.7100e+27,2.3369e+28,0.0000e+00,97.7,2.0,0.3
336,6.9000e+29,0.0000e+00,6.7570e+29,7.5400e+27,6.7600e+27,0.0000e+00,0.0000e+00,3.7789e+29,2.9781e+29,3.7700e+27,3.7700e+27,3.4600e+27,3.3000e+27,0.0000e+00,3.3600e+27,0.0000e+00,0.0000e+00,1.5203e+09,3.9106e-05,3.1857e+07,4.0963e+05,6.4919e+05,6.4772e+05,0.0,97.9,1.1,1.0,6.8902e+29,6.7409e+29,1.3580e+28,1.3500e+27,2.3541e+28,0.0000e+00,97.8,2.0,0.2
337,7.0673e+29,0.0000e+00,6.9250e+29,7.4000e+27,6.8300e+27,0.0000e+00,0.0000e+00,3.8754e+29,3.0496e+29,3.8300e+27,3.5700e+27,3.5100e+27,3.3200e+27,0.0000e+00,3.7400e+27,0.0000e+00,0.0000e+00,1.6003e+09,3.9106e-05,3.1981e+07,3.9960e+05,6.5061e+05,6.4920e+05,0.0,98.0,1.0,1.0,7.0707e+29,6.9150e+29,1.3970e+28,1.6000e+27,2.3708e+28,0.0000e+00,97.8,2.0,0.2
