filename,cts2MR
MERCURY1_tr.totfib_sft-05,2.13285981e+25
MERCURY1_tr.totfib_sft005,2.13347763e+25
MERCURY1_tr.totfib_sft015,2.13909876e+25
MERCURY2_tr.totfib_sft-05,8.22903415e+24
MERCURY2_tr.totfib_sft005,8.23148238e+24
MERCURY2_tr.totfib_sft015,8.23275107e+24
MERCURY3_tr.totfib_sft-05,6.99993542e+24
MERCURY3_tr.totfib_sft005,7.01952770e+24
MERCURY3_tr.totfib_sft015,7.02062395e+24
MERCURY4_tr.totfib_sft-05,6.31689623e+24
MERCURY4_tr.totfib_sft005,6.31877271e+24
MERCURY4_tr.totfib_sft015,6.31974654e+24
MERCURY5_tr.totfib_sft-05,5.87755301e+24
MERCURY5_tr.totfib_sft005,5.87925531e+24
MERCURY5_tr.totfib_sft015,5.89489048e+24
MERCURY6_tr.totfib_sft-05,5.99863081e+24
MERCURY6_tr.totfib_sft005,6.00034347e+24
MERCURY6_tr.totfib_sft015,6.01626994e+24
MERCURY7_tr.totfib_sft-05,6.30018615e+24
MERCURY7_tr.totfib_sft005,6.30198842e+24
MERCURY7_tr.totfib_sft015,6.30293673e+24
MERCURY8_tr.totfib_sft-05,6.17974162e+24
MERCURY8_tr.totfib_sft005,6.19697752e+24
MERCURY8_tr.totfib_sft015,6.19786168e+24
MERCURY9_tr.totfib_sft-05,5.79381239e+24
MERCURY9_tr.totfib_sft005,5.79544452e+24
MERCURY9_tr.totfib_sft015,5.79630575e+24
MERCURY10_tr.totfib_sft-05,6.25440041e+24
MERCURY10_tr.totfib_sft005,6.25611449e+24
MERCURY10_tr.totfib_sft015,6.25700749e+24
MERCURY11_tr.totfib_sft-05,5.43684732e+24
MERCURY11_tr.totfib_sft005,5.43835053e+24
MERCURY11_tr.totfib_sft015,5.43912894e+24
MERCURY12_tr.totfib_sft-05,5.38940532e+24
MERCURY12_tr.totfib_sft005,5.39092125e+24
MERCURY12_tr.totfib_sft015,5.40532105e+24
