# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 9.2230e+27 3.6005e+27 0.000663 589.851106
2 9.0588e+27 3.4776e+27 0.000552 589.851051
3 9.0949e+27 2.9380e+27 0.000494 589.851132
4 9.3932e+27 2.9210e+27 0.000550 589.850941
5 9.2877e+27 2.9309e+27 0.000493 589.850922
6 9.8101e+27 3.0116e+27 0.000572 589.851075
7 8.6577e+27 2.9560e+27 0.000525 589.850485
8 8.6550e+27 3.5301e+27 0.000564 589.850951
9 9.0862e+27 3.5573e+27 0.000630 589.850926
10 9.8831e+27 2.9595e+27 0.000505 589.850693
11 9.3703e+27 3.4940e+27 0.000565 589.850647
12 1.0098e+28 3.0098e+27 0.000487 589.850610
