TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,6.1109e+29,1.3713e+29,4.6516e+29,2.0100e+27,6.7900e+27,9.4320e+28,4.2810e+28,2.4372e+29,2.2144e+29,1.1200e+27,8.9000e+26,3.5500e+27,3.2400e+27,3.2238e+08,2.8605e+06,1.3202e+09,1.0862e-05,1.5047e+07,1.5130e+05,6.6625e+05,6.6621e+05,22.4,76.1,0.3,1.1,6.1141e+29,5.9233e+29,1.8730e+28,3.5000e+26,2.0933e+28,0.0000e+00,96.9,3.1,0.1
1,6.0918e+29,1.3456e+29,4.6584e+29,2.0000e+27,6.7800e+27,9.3540e+28,4.1020e+28,2.4658e+29,2.1926e+29,9.6000e+26,1.0400e+27,3.2300e+27,3.5500e+27,3.2019e+08,2.7656e+06,1.4982e+09,9.4339e-06,1.5068e+07,1.5140e+05,6.6621e+05,6.6612e+05,22.1,76.5,0.3,1.1,6.0925e+29,5.9052e+29,1.8300e+28,4.3000e+26,2.0925e+28,0.0000e+00,96.9,3.0,0.1
2,6.1299e+29,1.3556e+29,4.6854e+29,2.1000e+27,6.7900e+27,9.2300e+28,4.3260e+28,2.4653e+29,2.2201e+29,1.1600e+27,9.4000e+26,3.3500e+27,3.4400e+27,3.1896e+08,2.3065e+06,1.3888e+09,8.1762e-06,1.4962e+07,1.4803e+05,6.6611e+05,6.6595e+05,22.1,76.4,0.3,1.1,6.1306e+29,5.9366e+29,1.8940e+28,4.6000e+26,2.0909e+28,0.0000e+00,96.8,3.1,0.1
3,6.1880e+29,1.3562e+29,4.7425e+29,2.1200e+27,6.8100e+27,9.2280e+28,4.3340e+28,2.5064e+29,2.2361e+29,1.2800e+27,8.4000e+26,3.6100e+27,3.2000e+27,3.1636e+08,2.0268e+06,1.2680e+09,7.0664e-06,1.5046e+07,1.4193e+05,6.6595e+05,6.6572e+05,21.9,76.6,0.3,1.1,6.1862e+29,5.9982e+29,1.8310e+28,4.9000e+26,2.1038e+28,0.0000e+00,97.0,3.0,0.1
4,6.2407e+29,1.3518e+29,4.8007e+29,2.0400e+27,6.7800e+27,9.1130e+28,4.4050e+28,2.4873e+29,2.3134e+29,1.2700e+27,7.7000e+26,3.2200e+27,3.5600e+27,3.1515e+08,2.5379e+06,1.3115e+09,6.1066e-06,1.4697e+07,1.4945e+05,6.6572e+05,6.6543e+05,21.7,76.9,0.3,1.1,6.2309e+29,6.0359e+29,1.9170e+28,3.3000e+26,2.0853e+28,0.0000e+00,96.9,3.1,0.1
5,6.2198e+29,1.3248e+29,4.8048e+29,2.2400e+27,6.7800e+27,8.9140e+28,4.3340e+28,2.5373e+29,2.2675e+29,1.2400e+27,1.0000e+27,3.5100e+27,3.2700e+27,3.1197e+08,2.2322e+06,1.2293e+09,5.3377e-06,1.4450e+07,1.4250e+05,6.6542e+05,6.6507e+05,21.3,77.3,0.4,1.1,6.2219e+29,6.0292e+29,1.8670e+28,6.0000e+26,2.0813e+28,0.0000e+00,96.9,3.0,0.1
6,6.2678e+29,1.3584e+29,4.8222e+29,1.9100e+27,6.8100e+27,9.1270e+28,4.4570e+28,2.5155e+29,2.3067e+29,9.3000e+26,9.8000e+26,3.3800e+27,3.4300e+27,3.0965e+08,2.3705e+06,1.4751e+09,4.6034e-06,1.4431e+07,1.2377e+05,6.6506e+05,6.6464e+05,21.7,76.9,0.3,1.1,6.2673e+29,6.0647e+29,1.9710e+28,5.5000e+26,2.0917e+28,0.0000e+00,96.8,3.1,0.1
7,6.2098e+29,1.3263e+29,4.7944e+29,2.1600e+27,6.7500e+27,8.8590e+28,4.4040e+28,2.5481e+29,2.2463e+29,1.1600e+27,1.0000e+27,3.2800e+27,3.4700e+27,3.0783e+08,2.2653e+06,1.1974e+09,3.9755e-06,1.4843e+07,1.0999e+05,6.6464e+05,6.6415e+05,21.4,77.2,0.3,1.1,6.2081e+29,6.0159e+29,1.8680e+28,5.4000e+26,2.0709e+28,0.0000e+00,96.9,3.0,0.1
8,6.0701e+29,1.3222e+29,4.6588e+29,2.1000e+27,6.8100e+27,8.8360e+28,4.3860e+28,2.4810e+29,2.1778e+29,1.1100e+27,9.9000e+26,3.2400e+27,3.5700e+27,3.0497e+08,2.2391e+06,1.4135e+09,3.4328e-06,1.4137e+07,1.4967e+05,6.6415e+05,6.6359e+05,21.8,76.7,0.3,1.1,6.0890e+29,5.8958e+29,1.8820e+28,5.0000e+26,2.0798e+28,0.0000e+00,96.8,3.1,0.1
9,6.1408e+29,1.3273e+29,4.7239e+29,2.1600e+27,6.8000e+27,8.7790e+28,4.4940e+28,2.4967e+29,2.2272e+29,1.0600e+27,1.1000e+27,3.4400e+27,3.3600e+27,3.0242e+08,2.4133e+06,1.3583e+09,2.9689e-06,1.3967e+07,1.5162e+05,6.6359e+05,6.6297e+05,21.6,76.9,0.4,1.1,6.1271e+29,5.9339e+29,1.8610e+28,7.1000e+26,2.0726e+28,0.0000e+00,96.8,3.0,0.1
