Wavelength(nm) Intensity
5.89098004e+02 1.09263917e+04
5.89101293e+02 1.06838827e+04
5.89104583e+02 1.09745275e+04
5.89107872e+02 1.08598669e+04
5.89111162e+02 1.06329985e+04
5.89114451e+02 1.04786663e+04
5.89117741e+02 1.00486912e+04
5.89121031e+02 9.30729550e+03
5.89124320e+02 9.20474590e+03
5.89127610e+02 9.91856183e+03
5.89130899e+02 9.89733750e+03
5.89134189e+02 9.68333070e+03
5.89137478e+02 1.03328287e+04
5.89140768e+02 9.57347952e+03
5.89144058e+02 1.03419824e+04
5.89147347e+02 1.00107769e+04
5.89150637e+02 9.51128226e+03
5.89153926e+02 9.50504122e+03
5.89157216e+02 9.41011132e+03
5.89160506e+02 9.36040671e+03
5.89163795e+02 8.66955236e+03
5.89167085e+02 8.76493090e+03
5.89170374e+02 7.87920881e+03
5.89173664e+02 7.79558211e+03
5.89176953e+02 7.86931327e+03
5.89180243e+02 7.79960838e+03
5.89183533e+02 7.62194951e+03
5.89186822e+02 6.94210480e+03
5.89190112e+02 6.90442203e+03
5.89193401e+02 6.23168393e+03
5.89196691e+02 6.36639523e+03
5.89199981e+02 5.90215712e+03
5.89203270e+02 5.13426065e+03
5.89206560e+02 4.64631042e+03
5.89209849e+02 3.94314851e+03
5.89213139e+02 3.12358559e+03
5.89216428e+02 2.18431162e+03
5.89219718e+02 1.59581944e+03
5.89223008e+02 9.61331202e+02
5.89226297e+02 1.05331847e+03
5.89229587e+02 2.20336335e+03
5.89232876e+02 5.67802188e+03
5.89236166e+02 1.34555056e+04
5.89239455e+02 2.29834586e+04
5.89242745e+02 2.70884390e+04
5.89246035e+02 2.22875788e+04
5.89249324e+02 1.35944794e+04
5.89252614e+02 8.43918539e+03
5.89255903e+02 6.96289250e+03
5.89259193e+02 7.07717205e+03
5.89262483e+02 7.20168842e+03
5.89265772e+02 7.39194866e+03
5.89269062e+02 8.30162049e+03
5.89272351e+02 8.20288052e+03
5.89275641e+02 8.40804141e+03
5.89278930e+02 8.50286515e+03
5.89282220e+02 8.59429979e+03
5.89285510e+02 8.95453104e+03
5.89288799e+02 9.19177129e+03
5.89292089e+02 9.58559176e+03
5.89295378e+02 9.65645810e+03
5.89298668e+02 9.68144407e+03
5.89301957e+02 9.55970236e+03
5.89305247e+02 9.91230574e+03
5.89308537e+02 1.00011160e+04
5.89311826e+02 9.94023798e+03
5.89315116e+02 9.73134698e+03
5.89318405e+02 9.93971933e+03
5.89321695e+02 1.00763557e+04
5.89324985e+02 9.14084110e+03
5.89328274e+02 8.58544477e+03
5.89331564e+02 8.68320252e+03
5.89334853e+02 9.60227242e+03
5.89338143e+02 9.72418216e+03
5.89341432e+02 9.57107759e+03
5.89344722e+02 9.89811087e+03
5.89348012e+02 9.61319661e+03
5.89351301e+02 9.99072466e+03
5.89354591e+02 1.01654798e+04
5.89357880e+02 1.02562805e+04
5.89361170e+02 1.10514474e+04
5.89364459e+02 1.10347557e+04
5.89367749e+02 1.06736571e+04
5.89371039e+02 1.07950451e+04
5.89374328e+02 1.09697233e+04
5.89377618e+02 1.08865345e+04
5.89380907e+02 1.15050191e+04
5.89384197e+02 1.10408746e+04
5.89387487e+02 1.10948659e+04
5.89390776e+02 1.11528285e+04
5.89394066e+02 1.09734440e+04
5.89397355e+02 1.01612795e+04
5.89400645e+02 9.82050289e+03
5.89403934e+02 9.84387164e+03
5.89407224e+02 9.84522430e+03
5.89410514e+02 1.03908390e+04
5.89413803e+02 1.08988545e+04
5.89417093e+02 1.09514329e+04
5.89420382e+02 1.08454875e+04
5.89423672e+02 1.07807966e+04
5.89426962e+02 1.11303933e+04
5.89430251e+02 1.11712438e+04
5.89433541e+02 1.14428538e+04
5.89436830e+02 1.13691828e+04
5.89440120e+02 1.14896967e+04
5.89443409e+02 1.13374467e+04
5.89446699e+02 1.10785707e+04
5.89449989e+02 1.14544536e+04
5.89453278e+02 1.13593584e+04
5.89456568e+02 1.12227973e+04
5.89459857e+02 1.10038334e+04
5.89463147e+02 1.04641749e+04
5.89466436e+02 9.93077366e+03
5.89469726e+02 1.02399447e+04
5.89473016e+02 1.05227182e+04
5.89476305e+02 1.06333948e+04
5.89479595e+02 1.13404717e+04
5.89482884e+02 1.10740876e+04
5.89486174e+02 1.09317519e+04
5.89489464e+02 1.12113012e+04
5.89492753e+02 1.07550254e+04
5.89496043e+02 1.00799829e+04
5.89499332e+02 9.90397372e+03
5.89502622e+02 8.98030545e+03
5.89505911e+02 8.90103091e+03
5.89509201e+02 8.10433511e+03
5.89512491e+02 6.71283581e+03
5.89515780e+02 6.24206081e+03
5.89519070e+02 6.19270728e+03
5.89522359e+02 7.34875441e+03
5.89525649e+02 9.03066270e+03
5.89528938e+02 1.04763128e+04
5.89532228e+02 1.07529103e+04
5.89535518e+02 1.07896138e+04
5.89538807e+02 1.12493109e+04
5.89542097e+02 1.11152536e+04
5.89545386e+02 1.13817003e+04
5.89548676e+02 1.16750183e+04
5.89551966e+02 1.10669411e+04
5.89555255e+02 1.11150016e+04
5.89558545e+02 1.10724906e+04
5.89561834e+02 1.14265740e+04
5.89565124e+02 1.13842885e+04
5.89568413e+02 1.16077480e+04
5.89571703e+02 1.14503293e+04
5.89574993e+02 1.14022351e+04
5.89578282e+02 1.15297320e+04
5.89581572e+02 1.17814640e+04
5.89584861e+02 1.15212563e+04
5.89588151e+02 1.12460257e+04
5.89591441e+02 1.10104744e+04
5.89594730e+02 1.12925803e+04
5.89598020e+02 1.11145986e+04
5.89601309e+02 1.08723859e+04
5.89604599e+02 1.08173546e+04
5.89607888e+02 1.09235390e+04
5.89611178e+02 1.11152824e+04
5.89614468e+02 1.11858653e+04
5.89617757e+02 1.13083180e+04
5.89621047e+02 1.13713510e+04
5.89624336e+02 1.14350353e+04
5.89627626e+02 1.11488339e+04
5.89630915e+02 1.15059925e+04
5.89634205e+02 1.13998893e+04
5.89637495e+02 1.12918728e+04
5.89640784e+02 1.09887566e+04
5.89644074e+02 1.09908367e+04
5.89647363e+02 1.12272147e+04
5.89650653e+02 1.09649724e+04
5.89653943e+02 1.10822909e+04
5.89657232e+02 1.06701992e+04
5.89660522e+02 1.07093182e+04
5.89663811e+02 1.08409404e+04
5.89667101e+02 1.11440367e+04
5.89670390e+02 1.08017142e+04
5.89673680e+02 1.07809715e+04
5.89676970e+02 1.05327181e+04
5.89680259e+02 1.06507604e+04
5.89683549e+02 1.10957216e+04
5.89686838e+02 1.07088403e+04
5.89690128e+02 1.13896921e+04
5.89693417e+02 1.15181919e+04
5.89696707e+02 1.11923928e+04
5.89699997e+02 1.09793681e+04
5.89703286e+02 1.12153948e+04
5.89706576e+02 1.09225938e+04
5.89709865e+02 1.10073442e+04
5.89713155e+02 1.11512661e+04
5.89716445e+02 1.09244142e+04
5.89719734e+02 1.10992362e+04
5.89723024e+02 1.10866160e+04
5.89726313e+02 1.06536165e+04
5.89729603e+02 1.06452198e+04
5.89732892e+02 1.09854503e+04
5.89736182e+02 1.06684192e+04
5.89739472e+02 1.06728368e+04
5.89742761e+02 1.06756309e+04
5.89746051e+02 1.05954838e+04
5.89749340e+02 1.05702308e+04
5.89752630e+02 1.02679868e+04
5.89755919e+02 1.06253858e+04
5.89759209e+02 1.03124463e+04
5.89762499e+02 1.00496056e+04
5.89765788e+02 1.00774166e+04
5.89769078e+02 9.96181346e+03
5.89772367e+02 9.76862895e+03
5.89775657e+02 9.95119932e+03
5.89778947e+02 9.18253820e+03
5.89782236e+02 9.11064163e+03
5.89785526e+02 8.81298954e+03
5.89788815e+02 8.41262899e+03
