TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
143,1.6313e+30,9.0681e+29,7.0578e+29,1.1540e+28,7.1900e+27,8.3926e+29,6.7550e+28,6.0650e+29,9.9280e+28,8.8700e+27,2.6700e+27,3.5800e+27,3.6100e+27,6.2417e+08,1.9849e+02,1.2063e+09,1.0189e-20,8.8272e+07,4.0071e+05,3.3212e+05,3.3052e+05,55.6,43.3,0.7,0.4,1.6293e+30,1.6048e+30,1.8360e+28,6.1700e+27,1.1014e+28,0.0000e+00,98.5,1.1,0.4
144,1.6788e+30,9.2877e+29,7.2990e+29,1.3050e+28,7.0400e+27,8.6057e+29,6.8200e+28,6.2769e+29,1.0221e+29,1.0260e+28,2.7900e+27,3.5300e+27,3.5100e+27,6.2519e+08,1.2848e+06,1.0389e+09,8.0705e-14,8.5570e+07,4.4853e+05,3.3051e+05,3.2895e+05,55.3,43.5,0.8,0.4,1.6801e+30,1.6555e+30,1.8890e+28,5.7500e+27,1.0912e+28,0.0000e+00,98.5,1.1,0.3
145,1.7148e+30,9.4023e+29,7.5515e+29,1.2560e+28,6.9000e+27,8.7121e+29,6.9020e+28,6.5025e+29,1.0490e+29,9.6200e+27,2.9400e+27,3.6700e+27,3.2300e+27,6.2628e+08,8.6254e+05,1.1584e+09,2.9123e-10,8.2555e+07,4.6789e+05,3.2895e+05,3.2742e+05,54.8,44.0,0.7,0.4,1.7135e+30,1.6872e+30,2.0280e+28,5.9600e+27,1.0852e+28,0.0000e+00,98.5,1.2,0.3
146,1.7642e+30,9.5906e+29,7.8563e+29,1.2570e+28,6.9800e+27,8.9140e+29,6.7660e+28,6.8019e+29,1.0544e+29,9.8100e+27,2.7600e+27,3.9500e+27,3.0300e+27,6.2667e+08,4.6387e+05,9.5386e+08,3.3858e-13,7.8941e+07,4.7137e+05,3.2742e+05,3.2594e+05,54.4,44.5,0.7,0.4,1.7633e+30,1.7376e+30,2.0310e+28,5.3800e+27,1.0756e+28,0.0000e+00,98.5,1.2,0.3
147,1.8187e+30,9.8567e+29,8.1300e+29,1.2900e+28,7.0900e+27,9.1462e+29,7.1050e+28,7.1268e+29,1.0032e+29,1.0010e+28,2.8900e+27,3.7900e+27,3.3000e+27,6.2752e+08,2.3225e+04,1.0583e+09,1.1075e-20,7.6519e+07,4.7635e+05,3.2594e+05,3.2450e+05,54.2,44.7,0.7,0.4,1.8184e+30,1.7917e+30,2.1300e+28,5.4500e+27,1.0702e+28,0.0000e+00,98.5,1.2,0.3
148,1.8597e+30,9.9998e+29,8.3656e+29,1.6230e+28,6.9100e+27,9.1894e+29,8.1040e+28,7.1286e+29,1.2370e+29,1.3060e+28,3.1700e+27,3.4300e+27,3.4800e+27,6.2897e+08,2.4409e+02,1.0191e+09,1.0151e-20,1.1088e+08,5.1560e+05,3.2449e+05,3.2310e+05,53.8,45.0,0.9,0.4,1.8576e+30,1.8303e+30,2.1350e+28,6.0100e+27,1.0613e+28,0.0000e+00,98.5,1.1,0.3
149,1.9044e+30,1.0168e+30,8.6418e+29,1.6460e+28,6.9500e+27,9.3666e+29,8.0150e+28,7.3922e+29,1.2496e+29,1.3040e+28,3.4200e+27,3.2000e+27,3.7500e+27,6.2889e+08,1.2009e+06,1.3164e+09,8.1435e-13,1.0574e+08,5.3335e+05,3.2309e+05,3.2174e+05,53.4,45.4,0.9,0.4,1.9037e+30,1.8752e+30,2.2290e+28,6.2700e+27,1.0529e+28,0.0000e+00,98.5,1.2,0.3
150,1.9587e+30,1.0414e+30,8.9434e+29,1.6010e+28,7.0100e+27,9.5812e+29,8.3230e+28,7.7112e+29,1.2322e+29,1.2770e+28,3.2400e+27,3.5600e+27,3.4500e+27,6.2824e+08,7.6918e+05,1.1458e+09,3.9343e-11,9.9929e+07,5.8777e+05,3.2174e+05,3.2043e+05,53.2,45.7,0.8,0.4,1.9575e+30,1.9288e+30,2.2870e+28,5.7700e+27,1.0484e+28,0.0000e+00,98.5,1.2,0.3
151,1.9966e+30,1.0573e+30,9.1575e+29,1.6490e+28,7.0000e+27,9.7348e+29,8.3830e+28,7.8951e+29,1.2624e+29,1.2940e+28,3.5500e+27,3.7200e+27,3.2800e+27,6.2849e+08,3.1398e+05,1.1088e+09,3.9176e-15,9.5480e+07,5.7199e+05,3.2043e+05,3.1916e+05,53.0,45.9,0.8,0.4,1.9966e+30,1.9675e+30,2.3650e+28,5.4200e+27,1.0371e+28,0.0000e+00,98.5,1.2,0.3
152,2.0446e+30,1.0730e+30,9.4640e+29,1.8170e+28,7.0200e+27,9.8423e+29,8.8730e+28,8.0931e+29,1.3709e+29,1.4250e+28,3.9200e+27,3.7100e+27,3.3100e+27,6.2814e+08,4.9662e+02,1.2790e+09,1.0292e-20,1.1800e+08,5.5303e+05,3.1916e+05,3.1794e+05,52.5,46.3,0.9,0.3,2.0431e+30,2.0139e+30,2.3620e+28,5.5200e+27,1.0332e+28,0.0000e+00,98.6,1.2,0.3
