TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
124,3.0893e+29,0.0000e+00,2.6748e+29,3.4470e+28,6.9800e+27,0.0000e+00,0.0000e+00,2.3118e+29,3.6300e+28,3.0790e+28,3.6800e+27,3.5400e+27,3.4400e+27,0.0000e+00,1.3600e+27,0.0000e+00,0.0000e+00,7.6908e+08,4.8563e-10,8.5396e+07,1.1252e+06,3.7028e+05,3.6794e+05,0.0,86.6,11.2,2.3,3.0911e+29,2.9588e+29,3.9100e+27,9.3200e+27,6.6333e+27,0.0000e+00,95.7,1.3,3.0
125,3.2277e+29,0.0000e+00,2.8145e+29,3.4290e+28,7.0300e+27,0.0000e+00,0.0000e+00,2.4547e+29,3.5980e+28,3.0270e+28,4.0200e+27,3.2900e+27,3.7400e+27,0.0000e+00,1.1400e+27,0.0000e+00,0.0000e+00,7.7679e+08,4.2599e-12,8.3883e+07,1.0835e+06,3.6793e+05,3.6563e+05,0.0,87.2,10.6,2.2,3.2296e+29,3.1022e+29,3.7200e+27,9.0200e+27,6.5146e+27,0.0000e+00,96.1,1.2,2.8
126,3.3136e+29,0.0000e+00,2.9056e+29,3.3780e+28,7.0200e+27,0.0000e+00,0.0000e+00,2.5627e+29,3.4290e+28,3.0380e+28,3.4000e+27,3.7300e+27,3.2900e+27,0.0000e+00,8.6000e+26,0.0000e+00,0.0000e+00,8.6533e+08,2.4475e-12,8.1855e+07,1.0982e+06,3.6562e+05,3.6335e+05,0.0,87.7,10.2,2.1,3.3073e+29,3.1780e+29,4.3100e+27,8.6200e+27,6.4242e+27,0.0000e+00,96.1,1.3,2.6
127,3.5046e+29,0.0000e+00,2.9885e+29,4.4560e+28,7.0500e+27,0.0000e+00,0.0000e+00,2.6145e+29,3.7400e+28,4.0830e+28,3.7300e+27,3.6300e+27,3.4200e+27,0.0000e+00,8.2000e+26,0.0000e+00,0.0000e+00,9.4415e+08,1.1564e-07,8.9592e+07,1.1324e+06,3.6334e+05,3.6111e+05,0.0,85.3,12.7,2.0,3.4941e+29,3.3441e+29,4.4700e+27,1.0530e+28,6.3357e+27,0.0000e+00,95.7,1.3,3.0
128,3.5523e+29,0.0000e+00,3.0382e+29,4.4420e+28,6.9900e+27,0.0000e+00,0.0000e+00,2.6355e+29,4.0270e+28,4.0380e+28,4.0400e+27,3.3800e+27,3.6100e+27,0.0000e+00,8.6000e+26,0.0000e+00,0.0000e+00,7.8910e+08,4.4941e-07,8.7924e+07,1.1552e+06,3.6110e+05,3.5891e+05,0.0,85.5,12.5,2.0,3.5577e+29,3.3972e+29,4.7000e+27,1.1350e+28,6.2254e+27,0.0000e+00,95.5,1.3,3.2
129,3.5938e+29,0.0000e+00,3.0885e+29,4.3640e+28,6.8900e+27,0.0000e+00,0.0000e+00,2.7231e+29,3.6540e+28,3.9460e+28,4.1800e+27,3.6200e+27,3.2700e+27,0.0000e+00,1.2700e+27,0.0000e+00,0.0000e+00,7.6354e+08,7.5065e-07,8.6154e+07,1.1494e+06,3.5890e+05,3.5674e+05,0.0,85.9,12.1,1.9,3.5869e+29,3.4308e+29,4.4200e+27,1.1190e+28,6.1417e+27,0.0000e+00,95.6,1.2,3.1
130,3.7447e+29,0.0000e+00,3.2424e+29,4.3180e+28,7.0500e+27,0.0000e+00,0.0000e+00,2.8963e+29,3.4610e+28,3.9230e+28,3.9500e+27,3.4700e+27,3.5800e+27,0.0000e+00,1.0900e+27,0.0000e+00,0.0000e+00,9.4734e+08,2.3673e-10,8.4203e+07,1.2075e+06,3.5673e+05,3.5462e+05,0.0,86.6,11.5,1.9,3.7430e+29,3.5887e+29,4.6000e+27,1.0830e+28,6.0372e+27,0.0000e+00,95.9,1.2,2.9
131,3.7823e+29,0.0000e+00,3.2821e+29,4.3000e+28,7.0200e+27,0.0000e+00,0.0000e+00,2.9592e+29,3.2290e+28,3.9000e+28,4.0000e+27,3.4800e+27,3.5400e+27,0.0000e+00,1.0600e+27,0.0000e+00,0.0000e+00,8.3930e+08,3.8379e-12,8.2546e+07,1.2050e+06,3.5461e+05,3.5253e+05,0.0,86.8,11.4,1.9,3.7909e+29,3.6304e+29,5.0400e+27,1.1010e+28,5.9583e+27,0.0000e+00,95.8,1.3,2.9
132,3.7552e+29,0.0000e+00,3.2499e+29,4.3410e+28,7.1200e+27,0.0000e+00,0.0000e+00,2.9253e+29,3.2460e+28,3.9330e+28,4.0800e+27,3.3000e+27,3.8200e+27,0.0000e+00,7.3000e+26,0.0000e+00,0.0000e+00,8.6823e+08,2.4418e-12,8.6116e+07,1.1675e+06,3.5252e+05,3.5048e+05,0.0,86.5,11.6,1.9,3.7451e+29,3.5956e+29,4.8200e+27,1.0130e+28,5.8813e+27,0.0000e+00,96.0,1.3,2.7
133,4.0295e+29,0.0000e+00,3.4281e+29,5.2940e+28,7.2000e+27,0.0000e+00,0.0000e+00,3.0584e+29,3.6970e+28,4.8550e+28,4.3900e+27,3.6400e+27,3.5600e+27,0.0000e+00,7.2000e+26,0.0000e+00,0.0000e+00,8.4061e+08,7.9869e-08,8.5811e+07,1.1618e+06,3.5047e+05,3.4846e+05,0.0,85.1,13.1,1.8,4.0206e+29,3.8394e+29,5.1300e+27,1.2990e+28,5.8063e+27,0.0000e+00,95.5,1.3,3.2
134,4.0809e+29,0.0000e+00,3.5003e+29,5.0970e+28,7.0900e+27,0.0000e+00,0.0000e+00,3.1030e+29,3.9730e+28,4.6790e+28,4.1800e+27,3.7200e+27,3.3700e+27,0.0000e+00,6.6000e+26,0.0000e+00,0.0000e+00,8.6217e+08,7.0276e-10,8.3838e+07,1.1815e+06,3.4845e+05,3.4648e+05,0.0,85.8,12.5,1.7,4.0926e+29,3.9207e+29,4.8800e+27,1.2310e+28,5.7122e+27,0.0000e+00,95.8,1.2,3.0
135,4.0838e+29,0.0000e+00,3.5026e+29,5.1180e+28,6.9400e+27,0.0000e+00,0.0000e+00,3.1577e+29,3.4490e+28,4.6860e+28,4.3200e+27,3.4700e+27,3.4700e+27,0.0000e+00,1.1300e+27,0.0000e+00,0.0000e+00,9.6552e+08,1.5168e-11,8.2181e+07,1.1530e+06,3.4648e+05,3.4455e+05,0.0,85.8,12.5,1.7,4.0829e+29,3.9053e+29,5.3900e+27,1.2370e+28,5.6418e+27,0.0000e+00,95.7,1.3,3.0
136,4.1541e+29,0.0000e+00,3.5768e+29,5.0740e+28,6.9900e+27,0.0000e+00,0.0000e+00,3.2150e+29,3.6180e+28,4.6060e+28,4.6800e+27,3.6500e+27,3.3400e+27,0.0000e+00,1.3000e+27,0.0000e+00,0.0000e+00,8.2833e+08,4.2171e-12,8.0584e+07,1.1648e+06,3.4454e+05,3.4265e+05,0.0,86.1,12.2,1.7,4.1504e+29,3.9800e+29,5.1500e+27,1.1890e+28,5.5532e+27,0.0000e+00,95.9,1.2,2.9
137,4.2683e+29,0.0000e+00,3.6968e+29,5.0070e+28,7.0800e+27,0.0000e+00,0.0000e+00,3.3584e+29,3.3840e+28,4.5750e+28,4.3200e+27,3.2800e+27,3.8000e+27,0.0000e+00,9.5000e+26,0.0000e+00,0.0000e+00,9.6822e+08,2.4404e-12,7.8953e+07,1.2024e+06,3.4265e+05,3.4080e+05,0.0,86.6,11.7,1.7,4.2611e+29,4.0920e+29,5.3200e+27,1.1590e+28,5.4875e+27,0.0000e+00,96.0,1.2,2.7
138,4.4280e+29,0.0000e+00,3.7857e+29,5.7150e+28,7.0800e+27,0.0000e+00,0.0000e+00,3.3726e+29,4.1310e+28,5.1720e+28,5.4300e+27,3.5800e+27,3.5000e+27,0.0000e+00,8.0000e+26,0.0000e+00,0.0000e+00,8.8829e+08,1.2829e-07,8.0843e+07,1.2070e+06,3.4079e+05,3.3898e+05,0.0,85.5,12.9,1.6,4.4238e+29,4.2372e+29,5.9800e+27,1.2680e+28,5.4043e+27,0.0000e+00,95.8,1.4,2.9
139,4.6097e+29,0.0000e+00,3.9308e+29,6.0820e+28,7.0700e+27,0.0000e+00,0.0000e+00,3.5138e+29,4.1700e+28,5.4830e+28,5.9900e+27,3.5600e+27,3.5100e+27,0.0000e+00,9.7000e+26,0.0000e+00,0.0000e+00,9.4349e+08,1.1189e-09,7.9576e+07,1.2246e+06,3.3898e+05,3.3721e+05,0.0,85.3,13.2,1.5,4.6017e+29,4.3991e+29,5.9600e+27,1.4300e+28,5.3431e+27,0.0000e+00,95.6,1.3,3.1
140,4.6742e+29,0.0000e+00,4.0053e+29,5.9810e+28,7.0800e+27,0.0000e+00,0.0000e+00,3.5752e+29,4.3010e+28,5.4350e+28,5.4600e+27,3.6600e+27,3.4200e+27,0.0000e+00,8.3000e+26,0.0000e+00,0.0000e+00,1.2330e+09,3.0241e-11,7.8159e+07,1.2192e+06,3.3720e+05,3.3547e+05,0.0,85.7,12.8,1.5,4.6859e+29,4.4810e+29,6.0000e+27,1.4490e+28,5.2838e+27,0.0000e+00,95.6,1.3,3.1
141,4.6792e+29,0.0000e+00,4.0301e+29,5.7910e+28,7.0000e+27,0.0000e+00,0.0000e+00,3.6498e+29,3.8030e+28,5.2290e+28,5.6200e+27,3.6400e+27,3.3600e+27,0.0000e+00,1.0600e+27,0.0000e+00,0.0000e+00,1.0145e+09,5.0401e-12,7.6627e+07,1.2033e+06,3.3547e+05,3.3378e+05,0.0,86.1,12.4,1.5,4.6709e+29,4.4677e+29,6.0400e+27,1.4280e+28,5.2081e+27,0.0000e+00,95.6,1.3,3.1
142,4.7930e+29,0.0000e+00,4.1419e+29,5.8260e+28,6.8500e+27,0.0000e+00,0.0000e+00,3.7493e+29,3.9260e+28,5.2510e+28,5.7500e+27,3.5000e+27,3.3500e+27,0.0000e+00,7.1000e+26,0.0000e+00,0.0000e+00,8.6848e+08,2.4419e-12,7.4984e+07,1.2147e+06,3.3378e+05,3.3213e+05,0.0,86.4,12.2,1.4,4.7946e+29,4.6007e+29,6.0200e+27,1.3370e+28,5.1532e+27,0.0000e+00,96.0,1.3,2.8
143,4.9831e+29,0.0000e+00,4.2628e+29,6.4840e+28,7.1900e+27,0.0000e+00,0.0000e+00,3.7816e+29,4.8120e+28,5.8020e+28,6.8200e+27,3.5800e+27,3.6100e+27,0.0000e+00,6.6000e+26,0.0000e+00,0.0000e+00,1.1313e+09,2.4419e-12,7.9154e+07,1.2090e+06,3.3212e+05,3.3052e+05,0.0,85.5,13.0,1.4,4.9721e+29,4.7576e+29,6.5500e+27,1.4900e+28,5.0826e+27,0.0000e+00,95.7,1.3,3.0
144,5.0904e+29,0.0000e+00,4.3525e+29,6.6750e+28,7.0400e+27,0.0000e+00,0.0000e+00,3.8724e+29,4.8010e+28,5.9820e+28,6.9300e+27,3.5300e+27,3.5100e+27,0.0000e+00,7.6000e+26,0.0000e+00,0.0000e+00,1.0297e+09,7.7247e-10,7.7839e+07,1.2342e+06,3.3051e+05,3.2895e+05,0.0,85.5,13.1,1.4,5.0915e+29,4.8744e+29,6.1700e+27,1.5540e+28,5.0146e+27,0.0000e+00,95.7,1.2,3.1
145,5.2053e+29,0.0000e+00,4.4596e+29,6.7670e+28,6.9000e+27,0.0000e+00,0.0000e+00,3.9904e+29,4.6920e+28,6.0110e+28,7.5600e+27,3.6700e+27,3.2300e+27,0.0000e+00,1.0100e+27,0.0000e+00,0.0000e+00,1.1048e+09,1.5146e-11,7.6477e+07,1.2804e+06,3.2895e+05,3.2742e+05,0.0,85.7,13.0,1.3,5.2060e+29,4.9809e+29,6.8400e+27,1.5670e+28,4.9666e+27,0.0000e+00,95.7,1.3,3.0
146,5.3570e+29,0.0000e+00,4.6217e+29,6.6550e+28,6.9800e+27,0.0000e+00,0.0000e+00,4.1509e+29,4.7080e+28,5.9330e+28,7.2200e+27,3.9500e+27,3.0300e+27,0.0000e+00,1.1200e+27,0.0000e+00,0.0000e+00,9.8600e+08,1.0098e-11,7.5183e+07,1.3032e+06,3.2742e+05,3.2594e+05,0.0,86.3,12.4,1.3,5.3505e+29,5.1392e+29,6.7800e+27,1.4350e+28,4.9036e+27,0.0000e+00,96.1,1.3,2.7
147,5.3465e+29,0.0000e+00,4.6178e+29,6.5780e+28,7.0900e+27,0.0000e+00,0.0000e+00,4.1570e+29,4.6080e+28,5.7510e+28,8.2700e+27,3.7900e+27,3.3000e+27,0.0000e+00,7.9000e+26,0.0000e+00,0.0000e+00,1.2478e+09,2.4452e-12,7.3897e+07,1.2872e+06,3.2594e+05,3.2450e+05,0.0,86.4,12.3,1.3,5.3439e+29,5.1246e+29,6.7700e+27,1.5160e+28,4.8598e+27,0.0000e+00,95.9,1.3,2.8
