TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.5551e+29,1.8322e+29,6.6274e+29,2.7710e+27,6.7780e+27,1.1687e+29,6.6353e+28,3.4708e+29,3.1566e+29,1.4900e+27,1.2810e+27,3.3550e+27,3.4230e+27,1.6143e+12,0.0000e+00,5.2445e+12,0.0000e+00,1.5152e+11,0.0000e+00,6.6629e+09,6.6626e+09,21.4,77.5,0.3,0.8,8.5532e+29,8.2852e+29,2.6252e+28,5.4600e+26,3.4613e+28,0.0000e+00,96.9,3.1,0.1
1,8.6285e+29,1.8388e+29,6.6923e+29,2.9230e+27,6.8240e+27,1.1656e+29,6.7319e+28,3.4951e+29,3.1972e+29,1.5080e+27,1.4150e+27,3.4960e+27,3.3280e+27,1.5980e+12,0.0000e+00,5.3879e+12,0.0000e+00,1.5234e+11,0.0000e+00,6.6625e+09,6.6616e+09,21.3,77.6,0.3,0.8,8.6253e+29,8.3550e+29,2.6424e+28,6.0300e+26,3.4860e+28,0.0000e+00,96.9,3.1,0.1
2,8.6120e+29,1.8261e+29,6.6902e+29,2.7860e+27,6.7800e+27,1.1548e+29,6.7129e+28,3.5098e+29,3.1804e+29,1.4690e+27,1.3170e+27,3.4340e+27,3.3460e+27,1.5804e+12,0.0000e+00,5.3186e+12,0.0000e+00,1.5110e+11,0.0000e+00,6.6616e+09,6.6599e+09,21.2,77.7,0.3,0.8,8.6091e+29,8.3377e+29,2.6530e+28,6.1200e+26,3.4592e+28,0.0000e+00,96.8,3.1,0.1
3,8.5775e+29,1.8154e+29,6.6653e+29,2.9000e+27,6.7790e+27,1.1443e+29,6.7104e+28,3.4883e+29,3.1771e+29,1.5410e+27,1.3590e+27,3.4270e+27,3.3520e+27,1.5633e+12,0.0000e+00,5.1938e+12,0.0000e+00,1.4971e+11,0.0000e+00,6.6599e+09,6.6576e+09,21.2,77.7,0.3,0.8,8.5788e+29,8.3067e+29,2.6586e+28,6.2300e+26,3.4572e+28,0.0000e+00,96.8,3.1,0.1
4,8.5721e+29,1.8129e+29,6.6626e+29,2.8810e+27,6.7760e+27,1.1382e+29,6.7472e+28,3.5117e+29,3.1509e+29,1.5000e+27,1.3810e+27,3.3300e+27,3.4460e+27,1.5469e+12,0.0000e+00,5.2149e+12,0.0000e+00,1.5065e+11,0.0000e+00,6.6576e+09,6.6547e+09,21.1,77.7,0.3,0.8,8.5786e+29,8.3096e+29,2.6274e+28,6.2800e+26,3.4545e+28,0.0000e+00,96.9,3.1,0.1
5,8.6562e+29,1.8195e+29,6.7388e+29,2.9620e+27,6.8250e+27,1.1404e+29,6.7915e+28,3.5111e+29,3.2278e+29,1.5360e+27,1.4260e+27,3.4300e+27,3.3950e+27,1.5276e+12,0.0000e+00,5.1076e+12,0.0000e+00,1.5042e+11,0.0000e+00,6.6547e+09,6.6511e+09,21,77.8,0.3,0.8,8.6513e+29,8.3811e+29,2.6399e+28,6.1900e+26,3.4765e+28,0.0000e+00,96.9,3.1,0.1
6,8.6181e+29,1.8079e+29,6.7138e+29,2.8740e+27,6.7640e+27,1.1265e+29,6.8136e+28,3.4900e+29,3.2238e+29,1.5540e+27,1.3200e+27,3.4180e+27,3.3460e+27,1.5134e+12,0.0000e+00,5.0313e+12,0.0000e+00,1.4968e+11,0.0000e+00,6.6510e+09,6.6468e+09,21,77.9,0.3,0.8,8.6167e+29,8.3458e+29,2.6439e+28,6.5100e+26,3.4470e+28,0.0000e+00,96.9,3.1,0.1
7,8.6602e+29,1.8138e+29,6.7481e+29,3.0270e+27,6.8070e+27,1.1315e+29,6.8228e+28,3.4952e+29,3.2529e+29,1.6060e+27,1.4210e+27,3.3130e+27,3.4940e+27,1.4995e+12,0.0000e+00,5.3079e+12,0.0000e+00,1.4938e+11,0.0000e+00,6.6468e+09,6.6419e+09,20.9,77.9,0.3,0.8,8.6607e+29,8.3890e+29,2.6499e+28,6.6800e+26,3.4676e+28,0.0000e+00,96.9,3.1,0.1
8,8.5558e+29,1.7971e+29,6.6625e+29,2.8590e+27,6.7600e+27,1.1159e+29,6.8117e+28,3.4596e+29,3.2030e+29,1.5020e+27,1.3570e+27,3.4050e+27,3.3550e+27,1.4825e+12,0.0000e+00,5.0195e+12,0.0000e+00,1.4979e+11,0.0000e+00,6.6418e+09,6.6363e+09,21,77.9,0.3,0.8,8.5609e+29,8.2874e+29,2.6675e+28,6.8000e+26,3.4369e+28,0.0000e+00,96.8,3.1,0.1
9,8.6037e+29,1.8024e+29,6.7031e+29,3.0200e+27,6.7990e+27,1.1160e+29,6.8640e+28,3.4717e+29,3.2314e+29,1.5940e+27,1.4260e+27,3.3620e+27,3.4370e+27,1.4700e+12,0.0000e+00,5.0173e+12,0.0000e+00,1.5170e+11,0.0000e+00,6.6363e+09,6.6301e+09,20.9,77.9,0.4,0.8,8.6033e+29,8.3333e+29,2.6285e+28,7.1000e+26,3.4561e+28,0.0000e+00,96.9,3.1,0.1
