TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,6.8625e+29,8.6930e+28,5.8531e+29,7.2200e+27,6.7900e+27,5.6590e+28,3.0340e+28,3.1576e+29,2.6955e+29,3.8900e+27,3.3300e+27,3.5500e+27,3.2400e+27,1.3594e+08,1.1761e+06,1.5058e+09,1.9327e-05,7.1893e+07,4.0269e+05,6.6625e+05,6.6621e+05,12.7,85.3,1.1,1.0,6.8656e+29,6.6517e+29,2.0280e+28,1.1100e+27,2.4895e+28,0.0000e+00,96.9,3.0,0.2
1,6.9456e+29,8.6030e+28,5.9431e+29,7.4400e+27,6.7800e+27,5.5900e+28,3.0130e+28,3.2127e+29,2.7304e+29,3.9200e+27,3.5200e+27,3.2300e+27,3.5500e+27,1.3573e+08,1.1919e+06,1.2604e+09,1.6797e-05,7.1095e+07,4.2797e+05,6.6621e+05,6.6612e+05,12.4,85.6,1.1,1.0,6.9521e+29,6.7260e+29,2.1380e+28,1.2300e+27,2.4887e+28,0.0000e+00,96.7,3.1,0.2
2,6.9732e+29,8.6000e+28,5.9682e+29,7.7100e+27,6.7900e+27,5.5930e+28,3.0070e+28,3.2243e+29,2.7439e+29,4.3000e+27,3.4100e+27,3.3500e+27,3.4400e+27,1.3554e+08,1.1644e+06,1.5262e+09,1.4567e-05,6.9910e+07,4.7818e+05,6.6611e+05,6.6595e+05,12.3,85.6,1.1,1.0,6.9699e+29,6.7481e+29,2.0730e+28,1.4500e+27,2.4871e+28,0.0000e+00,96.8,3.0,0.2
3,7.0457e+29,8.6510e+28,6.0402e+29,7.2300e+27,6.8100e+27,5.5940e+28,3.0570e+28,3.2544e+29,2.7858e+29,3.8500e+27,3.3800e+27,3.6100e+27,3.2000e+27,1.3531e+08,1.1496e+06,1.4895e+09,1.2598e-05,6.9516e+07,4.6853e+05,6.6595e+05,6.6572e+05,12.3,85.7,1.0,1.0,7.0440e+29,6.8229e+29,2.0920e+28,1.1900e+27,2.5031e+28,0.0000e+00,96.9,3.0,0.2
4,6.9452e+29,8.5280e+28,5.9466e+29,7.8000e+27,6.7800e+27,5.4750e+28,3.0530e+28,3.2256e+29,2.7210e+29,4.2800e+27,3.5200e+27,3.2200e+27,3.5600e+27,1.3487e+08,1.1502e+06,1.4927e+09,1.0894e-05,6.9668e+07,4.6979e+05,6.6572e+05,6.6543e+05,12.3,85.6,1.1,1.0,6.9394e+29,6.7172e+29,2.0970e+28,1.2500e+27,2.4818e+28,0.0000e+00,96.8,3.0,0.2
5,6.9067e+29,8.5210e+28,5.9108e+29,7.6000e+27,6.7800e+27,5.5010e+28,3.0200e+28,3.2094e+29,2.7014e+29,4.2200e+27,3.3800e+27,3.5100e+27,3.2700e+27,1.3462e+08,1.2064e+06,1.4696e+09,9.4133e-06,6.9186e+07,5.0491e+05,6.6542e+05,6.6507e+05,12.3,85.6,1.1,1.0,6.9194e+29,6.6964e+29,2.0870e+28,1.4300e+27,2.4779e+28,0.0000e+00,96.8,3.0,0.2
6,6.8676e+29,8.5730e+28,5.8669e+29,7.5300e+27,6.8100e+27,5.5210e+28,3.0520e+28,3.2273e+29,2.6396e+29,3.9500e+27,3.5800e+27,3.3800e+27,3.4300e+27,1.3426e+08,1.1154e+06,1.6016e+09,8.1234e-06,6.9019e+07,5.6949e+05,6.6506e+05,6.6464e+05,12.5,85.4,1.1,1.0,6.8702e+29,6.6370e+29,2.1940e+28,1.3800e+27,2.4915e+28,0.0000e+00,96.6,3.2,0.2
7,6.8179e+29,8.6720e+28,5.8020e+29,8.1200e+27,6.7500e+27,5.5610e+28,3.1110e+28,3.1766e+29,2.6254e+29,4.5600e+27,3.5600e+27,3.2800e+27,3.4700e+27,1.3408e+08,1.0419e+06,1.3042e+09,7.0198e-06,6.7505e+07,5.1480e+05,6.6464e+05,6.6415e+05,12.7,85.1,1.2,1.0,6.8170e+29,6.5988e+29,2.0320e+28,1.5000e+27,2.4680e+28,0.0000e+00,96.8,3.0,0.2
8,6.7927e+29,8.5310e+28,5.7937e+29,7.7800e+27,6.8100e+27,5.4270e+28,3.1040e+28,3.0931e+29,2.7006e+29,4.0800e+27,3.7000e+27,3.2400e+27,3.5700e+27,1.3390e+08,1.0104e+06,1.3218e+09,6.0653e-06,6.6848e+07,5.0168e+05,6.6415e+05,6.6359e+05,12.6,85.3,1.1,1.0,6.7896e+29,6.5652e+29,2.0900e+28,1.5400e+27,2.4800e+28,0.0000e+00,96.7,3.1,0.2
9,6.8906e+29,8.5270e+28,5.8900e+29,7.9900e+27,6.8000e+27,5.4350e+28,3.0920e+28,3.1441e+29,2.7459e+29,4.3400e+27,3.6500e+27,3.4400e+27,3.3600e+27,1.3378e+08,1.0502e+06,1.3434e+09,5.2487e-06,6.6712e+07,4.7202e+05,6.6359e+05,6.6297e+05,12.4,85.5,1.2,1.0,6.8831e+29,6.6613e+29,2.0370e+28,1.8100e+27,2.4731e+28,0.0000e+00,96.8,3.0,0.3
10,6.9306e+29,8.6550e+28,5.9226e+29,7.4200e+27,6.8300e+27,5.6000e+28,3.0550e+28,3.1378e+29,2.7848e+29,3.9600e+27,3.4600e+27,3.3000e+27,3.5300e+27,1.3364e+08,1.0228e+06,1.2661e+09,4.5516e-06,6.6175e+07,4.6745e+05,6.6297e+05,6.6229e+05,12.5,85.5,1.1,1.0,6.9434e+29,6.7176e+29,2.1100e+28,1.4800e+27,2.4655e+28,0.0000e+00,96.7,3.0,0.2
11,6.6197e+29,8.4440e+28,5.6370e+29,7.0500e+27,6.7800e+27,5.2840e+28,3.1600e+28,2.9631e+29,2.6739e+29,3.7800e+27,3.2700e+27,3.3700e+27,3.4100e+27,1.3322e+08,1.0784e+06,1.5217e+09,3.9584e-06,6.5712e+07,4.2155e+05,6.6228e+05,6.6154e+05,12.8,85.2,1.1,1.0,6.6346e+29,6.4209e+29,1.9980e+28,1.3900e+27,2.4572e+28,0.0000e+00,96.8,3.0,0.2
12,6.5695e+29,8.3970e+28,5.5873e+29,7.5300e+27,6.7200e+27,5.3340e+28,3.0630e+28,2.9350e+29,2.6523e+29,4.1400e+27,3.3900e+27,3.5300e+27,3.1900e+27,1.3279e+08,1.0211e+06,1.5160e+09,3.4546e-06,6.5014e+07,4.6975e+05,6.6153e+05,6.6073e+05,12.8,85.0,1.1,1.0,6.5624e+29,6.3446e+29,2.0130e+28,1.6500e+27,2.4481e+28,0.0000e+00,96.7,3.1,0.3
13,6.5823e+29,8.3720e+28,5.6082e+29,6.9400e+27,6.7500e+27,5.2950e+28,3.0770e+28,2.9872e+29,2.6210e+29,3.6900e+27,3.2500e+27,3.4000e+27,3.3500e+27,1.3243e+08,1.0191e+06,1.2273e+09,3.0275e-06,6.4630e+07,4.6912e+05,6.6072e+05,6.5985e+05,12.7,85.2,1.1,1.0,6.5853e+29,6.3526e+29,2.1450e+28,1.8200e+27,2.4383e+28,0.0000e+00,96.5,3.3,0.3
14,6.6640e+29,8.6340e+28,5.6614e+29,7.0700e+27,6.8500e+27,5.4690e+28,3.1650e+28,2.9846e+29,2.6768e+29,3.8300e+27,3.2400e+27,3.4300e+27,3.4200e+27,1.3190e+08,1.1867e+06,1.2137e+09,2.6822e-06,6.4351e+07,4.9328e+05,6.5985e+05,6.5891e+05,13.0,85.0,1.1,1.0,6.6700e+29,6.4481e+29,2.0500e+28,1.6900e+27,2.4456e+28,0.0000e+00,96.7,3.1,0.3
15,6.4772e+29,8.4520e+28,5.4905e+29,7.4200e+27,6.7300e+27,5.4130e+28,3.0390e+28,2.8790e+29,2.6115e+29,3.9400e+27,3.4800e+27,3.3200e+27,3.4100e+27,1.3155e+08,1.1892e+06,1.3421e+09,2.3736e-06,6.3647e+07,5.2121e+05,6.5891e+05,6.5791e+05,13.0,84.8,1.1,1.0,6.4804e+29,6.2652e+29,1.9760e+28,1.7600e+27,2.4343e+28,0.0000e+00,96.7,3.0,0.3
16,6.5090e+29,8.4730e+28,5.5220e+29,7.2200e+27,6.7500e+27,5.3630e+28,3.1100e+28,2.9243e+29,2.5977e+29,4.0200e+27,3.2000e+27,3.4500e+27,3.3000e+27,1.3124e+08,1.1673e+06,1.3600e+09,2.1143e-06,6.3086e+07,4.8130e+05,6.5790e+05,6.5685e+05,13.0,84.8,1.1,1.0,6.5111e+29,6.2956e+29,1.9720e+28,1.8300e+27,2.4223e+28,0.0000e+00,96.7,3.0,0.3
17,6.4215e+29,8.4710e+28,5.4318e+29,7.4800e+27,6.7800e+27,5.3190e+28,3.1520e+28,2.9320e+29,2.4998e+29,4.1200e+27,3.3600e+27,3.5000e+27,3.2800e+27,1.3088e+08,1.0564e+06,1.6028e+09,1.8968e-06,6.1703e+07,4.4563e+05,6.5684e+05,6.5573e+05,13.2,84.6,1.2,1.1,6.4236e+29,6.2218e+29,1.8320e+28,1.8600e+27,2.4097e+28,0.0000e+00,96.9,2.9,0.3
18,6.3663e+29,8.5900e+28,5.3600e+29,7.8600e+27,6.8700e+27,5.3800e+28,3.2100e+28,2.8283e+29,2.5317e+29,4.3200e+27,3.5400e+27,3.3800e+27,3.4900e+27,1.3047e+08,1.1864e+06,1.3916e+09,1.7142e-06,6.0639e+07,5.2017e+05,6.5572e+05,6.5453e+05,13.5,84.2,1.2,1.1,6.3713e+29,6.1617e+29,1.8820e+28,2.1400e+27,2.4138e+28,0.0000e+00,96.7,3.0,0.3
19,6.2737e+29,8.3200e+28,5.2995e+29,7.4000e+27,6.8200e+27,5.1400e+28,3.1800e+28,2.8092e+29,2.4903e+29,4.0400e+27,3.3600e+27,3.3400e+27,3.4800e+27,1.2986e+08,1.1784e+06,1.5197e+09,1.5630e-06,6.0413e+07,4.4797e+05,6.5453e+05,6.5329e+05,13.3,84.5,1.2,1.1,6.2852e+29,6.0953e+29,1.6720e+28,2.2700e+27,2.3997e+28,0.0000e+00,97.0,2.7,0.4
20,6.1348e+29,8.4100e+28,5.1557e+29,7.0000e+27,6.8100e+27,5.2880e+28,3.1220e+28,2.6703e+29,2.4854e+29,3.7800e+27,3.2200e+27,3.7000e+27,3.1100e+27,1.2932e+08,1.1363e+06,1.3867e+09,1.4387e-06,6.0272e+07,4.3634e+05,6.5328e+05,6.5198e+05,13.7,84.0,1.1,1.1,6.1318e+29,5.9270e+29,1.8260e+28,2.2200e+27,2.3850e+28,0.0000e+00,96.7,3.0,0.4
