TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.5473e+29,1.8484e+29,6.6020e+29,2.9040e+27,6.7730e+27,1.1755e+29,6.7298e+28,3.4659e+29,3.1361e+29,1.5530e+27,1.3510e+27,3.3890e+27,3.3840e+27,21.6,77.2,0.3,0.8,8.5459e+29,8.2753e+29,2.6468e+28,5.9100e+26,3.4613e+28,0.0000e+00,96.8,3.1,0.1
1,8.6089e+29,1.8607e+29,6.6513e+29,2.8610e+27,6.8320e+27,1.1803e+29,6.8040e+28,3.4736e+29,3.1776e+29,1.5520e+27,1.3090e+27,3.3770e+27,3.4550e+27,21.6,77.3,0.3,0.8,8.6066e+29,8.3350e+29,2.6533e+28,6.2800e+26,3.4860e+28,0.0000e+00,96.8,3.1,0.1
2,8.5908e+29,1.8431e+29,6.6499e+29,3.0080e+27,6.7750e+27,1.1648e+29,6.7829e+28,3.4802e+29,3.1697e+29,1.5780e+27,1.4300e+27,3.4010e+27,3.3740e+27,21.5,77.4,0.4,0.8,8.5885e+29,8.3197e+29,2.6313e+28,5.7500e+26,3.4592e+28,0.0000e+00,96.9,3.1,0.1
3,8.5862e+29,1.8390e+29,6.6493e+29,3.0190e+27,6.7730e+27,1.1562e+29,6.8279e+28,3.4615e+29,3.1878e+29,1.5780e+27,1.4410e+27,3.3410e+27,3.4320e+27,21.4,77.4,0.4,0.8,8.5888e+29,8.3218e+29,2.6088e+28,6.1400e+26,3.4572e+28,0.0000e+00,96.9,3.0,0.1
4,8.6138e+29,1.8354e+29,6.6819e+29,2.8820e+27,6.7670e+27,1.1513e+29,6.8409e+28,3.4837e+29,3.1982e+29,1.4860e+27,1.3960e+27,3.3390e+27,3.4280e+27,21.3,77.6,0.3,0.8,8.6132e+29,8.3416e+29,2.6522e+28,6.3500e+26,3.4545e+28,0.0000e+00,96.8,3.1,0.1
5,8.6721e+29,1.8492e+29,6.7242e+29,3.0410e+27,6.8200e+27,1.1567e+29,6.9257e+28,3.5133e+29,3.2109e+29,1.5640e+27,1.4770e+27,3.3490e+27,3.4710e+27,21.3,77.5,0.4,0.8,8.6695e+29,8.3960e+29,2.6701e+28,6.5800e+26,3.4765e+28,0.0000e+00,96.8,3.1,0.1
6,8.6201e+29,1.8276e+29,6.6954e+29,2.9350e+27,6.7640e+27,1.1365e+29,6.9114e+28,3.4866e+29,3.2088e+29,1.5300e+27,1.4050e+27,3.3350e+27,3.4290e+27,21.2,77.7,0.3,0.8,8.6223e+29,8.3532e+29,2.6280e+28,6.2800e+26,3.4470e+28,0.0000e+00,96.9,3.0,0.1
7,8.6636e+29,1.8362e+29,6.7301e+29,2.9220e+27,6.8080e+27,1.1386e+29,6.9754e+28,3.4965e+29,3.2336e+29,1.5750e+27,1.3470e+27,3.3930e+27,3.4150e+27,21.2,77.7,0.3,0.8,8.6634e+29,8.3893e+29,2.6742e+28,6.6900e+26,3.4676e+28,0.0000e+00,96.8,3.1,0.1
8,8.5816e+29,1.8120e+29,6.6726e+29,2.9510e+27,6.7580e+27,1.1190e+29,6.9298e+28,3.4582e+29,3.2144e+29,1.5460e+27,1.4050e+27,3.3020e+27,3.4560e+27,21.1,77.8,0.3,0.8,8.5869e+29,8.3176e+29,2.6254e+28,6.7200e+26,3.4369e+28,0.0000e+00,96.9,3.1,0.1
9,8.6126e+29,1.8267e+29,6.6885e+29,2.9320e+27,6.7940e+27,1.1280e+29,6.9874e+28,3.4662e+29,3.2224e+29,1.5310e+27,1.4010e+27,3.3680e+27,3.4260e+27,21.2,77.7,0.3,0.8,8.6129e+29,8.3416e+29,2.6451e+28,6.7900e+26,3.4561e+28,0.0000e+00,96.9,3.1,0.1
