# Wavelength Flux(MR)
5.89097364e+02 -5.27691306e+28
5.89100659e+02 -1.20332516e+28
5.89103954e+02 2.42031496e+28
5.89107249e+02 4.44388612e+28
5.89110544e+02 3.20395290e+28
5.89113839e+02 1.99072558e+28
5.89117135e+02 1.20991943e+28
5.89120430e+02 1.72742154e+27
5.89123725e+02 -5.70362197e+27
5.89127020e+02 3.55675547e+27
5.89130315e+02 1.42053621e+28
5.89133610e+02 1.75659280e+28
5.89136905e+02 1.74598451e+28
5.89140200e+02 1.37939572e+28
5.89143496e+02 4.45220589e+27
5.89146791e+02 1.56010458e+26
5.89150086e+02 5.35506046e+26
5.89153381e+02 6.81687608e+27
5.89156676e+02 6.87446018e+27
5.89159971e+02 1.04683627e+28
5.89163266e+02 1.14384474e+28
5.89166561e+02 9.62041487e+27
5.89169856e+02 1.23832973e+28
5.89173152e+02 1.55696737e+28
5.89176447e+02 1.74867883e+28
5.89179742e+02 1.54364079e+28
5.89183037e+02 9.45095952e+27
5.89186332e+02 8.53746291e+27
5.89189627e+02 9.82509030e+27
5.89192922e+02 4.18553426e+27
5.89196217e+02 4.38953376e+27
5.89199513e+02 2.62482195e+27
5.89202808e+02 1.78848359e+27
5.89206103e+02 3.74488386e+27
5.89209398e+02 -2.42935166e+27
5.89212693e+02 -6.17890703e+27
5.89215988e+02 3.21672626e+26
5.89219283e+02 -3.38905510e+27
5.89222578e+02 -2.41253863e+27
5.89225873e+02 -1.49674211e+27
5.89229169e+02 -3.52451314e+27
5.89232464e+02 7.03398434e+27
5.89235759e+02 1.09595174e+28
5.89239054e+02 2.43428422e+27
5.89242349e+02 2.28594923e+27
5.89245644e+02 1.50562669e+27
5.89248939e+02 3.75946823e+27
5.89252234e+02 5.39759343e+27
5.89255530e+02 5.99504592e+27
5.89258825e+02 5.53000511e+27
5.89262120e+02 2.23549831e+27
5.89265415e+02 2.87520183e+27
5.89268710e+02 4.84905995e+27
5.89272005e+02 -4.67991278e+27
5.89275300e+02 -1.71975713e+27
5.89278595e+02 -1.41952201e+27
5.89281890e+02 2.33024790e+27
5.89285186e+02 7.19775376e+27
5.89288481e+02 1.04023694e+28
5.89291776e+02 1.20688103e+27
5.89295071e+02 3.78076408e+27
5.89298366e+02 4.08581756e+27
5.89301661e+02 1.76731843e+27
5.89304956e+02 3.00960948e+27
5.89308251e+02 -1.61299741e+27
5.89311547e+02 -2.45509111e+26
5.89314842e+02 4.82557348e+27
5.89318137e+02 7.23713215e+27
5.89321432e+02 -1.57227143e+27
5.89324727e+02 -9.88305716e+27
5.89328022e+02 -6.74846388e+27
5.89331317e+02 5.16233165e+27
5.89334612e+02 1.89033461e+28
5.89337907e+02 1.39346065e+28
5.89341203e+02 1.02044683e+28
5.89344498e+02 4.28896549e+27
5.89347793e+02 -2.85798184e+26
5.89351088e+02 3.71757219e+27
5.89354383e+02 3.99480873e+27
5.89357678e+02 5.48531331e+27
5.89360973e+02 -2.94337957e+27
5.89364268e+02 -5.40042837e+27
5.89367564e+02 -5.92806807e+27
5.89370859e+02 2.55251124e+26
5.89374154e+02 -5.36210051e+27
5.89377449e+02 -2.45328369e+27
5.89380744e+02 -5.34267154e+27
5.89384039e+02 -4.72237444e+27
5.89387334e+02 -1.06897769e+28
5.89390629e+02 -7.15110535e+27
5.89393924e+02 -1.58122876e+27
5.89397220e+02 -7.68624985e+27
5.89400515e+02 -9.16545470e+26
5.89403810e+02 3.98251511e+27
5.89407105e+02 1.17390453e+28
5.89410400e+02 1.06659314e+28
5.89413695e+02 7.46763457e+27
5.89416990e+02 2.72747036e+27
5.89420285e+02 -7.82473772e+26
5.89423581e+02 -1.37949296e+26
5.89426876e+02 -2.93721698e+27
5.89430171e+02 5.35027754e+26
5.89433466e+02 -7.81537033e+27
5.89436761e+02 -6.94084726e+26
5.89440056e+02 -4.31194436e+27
5.89443351e+02 -2.31747046e+27
5.89446646e+02 -5.23018325e+27
5.89449941e+02 -6.11079716e+27
5.89453237e+02 -1.25530108e+27
5.89456532e+02 3.69841413e+27
5.89459827e+02 9.44210663e+26
5.89463122e+02 -6.95546091e+27
5.89466417e+02 -3.55421616e+27
5.89469712e+02 5.42690153e+26
5.89473007e+02 4.15110917e+27
5.89476302e+02 8.71863439e+27
5.89479598e+02 2.60752160e+27
5.89482893e+02 -5.97088097e+26
5.89486188e+02 -1.47176768e+27
5.89489483e+02 1.01037609e+27
5.89492778e+02 -1.29154255e+27
5.89496073e+02 -1.80492084e+27
5.89499368e+02 5.24900146e+26
5.89502663e+02 7.01795340e+27
5.89505959e+02 -5.30192354e+27
5.89509254e+02 -9.43031001e+27
5.89512549e+02 -8.40238481e+27
5.89515844e+02 -8.38164477e+27
5.89519139e+02 7.71039660e+25
5.89522434e+02 1.16283128e+27
5.89525729e+02 -8.24235171e+27
5.89529024e+02 -4.04608894e+27
5.89532319e+02 -5.61075051e+27
5.89535615e+02 -4.12168561e+27
5.89538910e+02 -2.99767105e+27
5.89542205e+02 -6.07742656e+27
5.89545500e+02 -3.31611862e+27
5.89548795e+02 -3.01113757e+27
5.89552090e+02 1.39312196e+27
5.89555385e+02 -2.25241880e+27
5.89558680e+02 -7.18317377e+27
5.89561976e+02 -2.49988134e+27
5.89565271e+02 -9.29484569e+26
5.89568566e+02 2.49842121e+27
5.89571861e+02 2.48490449e+27
5.89575156e+02 -1.66051702e+27
5.89578451e+02 -3.31737925e+27
5.89581746e+02 -4.11492269e+27
5.89585041e+02 1.54951413e+27
5.89588336e+02 -7.55072294e+27
5.89591632e+02 -7.38848676e+27
5.89594927e+02 -6.05377652e+27
5.89598222e+02 -7.48699783e+27
5.89601517e+02 -9.96375219e+27
5.89604812e+02 -5.84467270e+27
5.89608107e+02 -4.91085960e+27
5.89611402e+02 -1.31006686e+27
5.89614697e+02 4.99479243e+26
5.89617993e+02 -3.33873561e+27
5.89621288e+02 -3.79794129e+27
5.89624583e+02 -5.74080200e+27
5.89627878e+02 2.98097079e+26
5.89631173e+02 -1.84542738e+27
5.89634468e+02 -9.68242071e+25
5.89637763e+02 6.34016345e+26
5.89641058e+02 -2.10352559e+27
5.89644353e+02 -3.65135788e+27
5.89647649e+02 2.45787464e+27
5.89650944e+02 -3.39918575e+26
5.89654239e+02 -1.21211986e+26
5.89657534e+02 -3.07197783e+27
