filename,cts2MR
MERCURY1_tr.totfib_sft-05,2.81427232e+27
MERCURY1_tr.totfib_sft005,2.81456620e+27
MERCURY1_tr.totfib_sft015,2.81648549e+27
MERCURY2_tr.totfib_sft-05,2.29560082e+27
MERCURY2_tr.totfib_sft005,2.29078107e+27
MERCURY2_tr.totfib_sft015,2.28562512e+27
MERCURY3_tr.totfib_sft-05,6.23025133e+27
MERCURY3_tr.totfib_sft005,6.17874436e+27
MERCURY3_tr.totfib_sft015,6.13022943e+27
MERCURY4_tr.totfib_sft-05,1.17707251e+28
MERCURY4_tr.totfib_sft005,1.17720656e+28
MERCURY4_tr.totfib_sft015,1.18334973e+28
MERCURY5_tr.totfib_sft-05,5.57288592e+29
MERCURY5_tr.totfib_sft005,6.96400269e+29
MERCURY5_tr.totfib_sft015,8.67824737e+29
MERCURY6_tr.totfib_sft-05,2.09451524e+27
MERCURY6_tr.totfib_sft005,2.09538814e+27
MERCURY6_tr.totfib_sft015,2.09642335e+27
MERCURY7_tr.totfib_sft-05,2.29241804e+27
MERCURY7_tr.totfib_sft005,2.29633729e+27
MERCURY7_tr.totfib_sft015,2.30013291e+27
MERCURY8_tr.totfib_sft-05,4.57640344e+27
MERCURY8_tr.totfib_sft005,4.65049027e+27
MERCURY8_tr.totfib_sft015,4.72594621e+27
MERCURY9_tr.totfib_sft-05,2.43553076e+27
MERCURY9_tr.totfib_sft005,2.40541814e+27
MERCURY9_tr.totfib_sft015,2.39606450e+27
MERCURY10_tr.totfib_sft-05,3.08378678e+27
MERCURY10_tr.totfib_sft005,3.09296447e+27
MERCURY10_tr.totfib_sft015,3.10220259e+27
MERCURY11_tr.totfib_sft-05,2.39188614e+27
MERCURY11_tr.totfib_sft005,2.42112552e+27
MERCURY11_tr.totfib_sft015,2.45532887e+27
MERCURY12_tr.totfib_sft-05,5.91129514e+27
MERCURY12_tr.totfib_sft005,5.91492763e+27
MERCURY12_tr.totfib_sft015,5.91968410e+27
MERCURY13_tr.totfib_sft-05,2.65515817e+27
MERCURY13_tr.totfib_sft005,2.65918454e+27
MERCURY13_tr.totfib_sft015,2.66938351e+27
