# Wavelength Flux(MR)
5.89097364e+02 -2.04956512e+27
5.89100659e+02 -2.39251722e+27
5.89103954e+02 -7.09592354e+26
5.89107249e+02 3.31283959e+25
5.89110544e+02 -5.73330202e+25
5.89113839e+02 4.81917097e+26
5.89117135e+02 1.58503570e+27
5.89120430e+02 3.52626017e+26
5.89123725e+02 -4.89589704e+27
5.89127020e+02 -7.29031993e+27
5.89130315e+02 -3.29561784e+27
5.89133610e+02 -7.87006294e+26
5.89136905e+02 3.96803792e+27
5.89140200e+02 4.83183842e+27
5.89143496e+02 3.66230795e+27
5.89146791e+02 2.97051632e+27
5.89150086e+02 2.39980760e+27
5.89153381e+02 1.53596352e+27
5.89156676e+02 3.23769382e+27
5.89159971e+02 2.83506389e+27
5.89163266e+02 -1.20150300e+27
5.89166561e+02 -1.72118728e+26
5.89169856e+02 -1.29701168e+27
5.89173152e+02 -3.80225700e+27
5.89176447e+02 -1.55931137e+27
5.89179742e+02 1.03281317e+27
5.89183037e+02 1.34364428e+27
5.89186332e+02 1.32957933e+27
5.89189627e+02 1.72282865e+27
5.89192922e+02 2.19773121e+27
5.89196217e+02 1.97052943e+26
5.89199513e+02 -1.34560842e+27
5.89202808e+02 -1.05710143e+27
5.89206103e+02 -4.91819218e+26
5.89209398e+02 -8.25880827e+26
5.89212693e+02 -2.61833061e+27
5.89215988e+02 -5.34011782e+27
5.89219283e+02 -7.58283807e+27
5.89222578e+02 -8.03636490e+27
5.89225873e+02 -1.00565134e+28
5.89229169e+02 -7.97403236e+27
5.89232464e+02 -2.05017167e+27
5.89235759e+02 1.52524856e+28
5.89239054e+02 5.08326993e+28
5.89242349e+02 9.14085056e+28
5.89245644e+02 1.02431843e+29
5.89248939e+02 7.41563187e+28
5.89252234e+02 3.25230377e+28
5.89255530e+02 8.88635775e+27
5.89258825e+02 2.35019698e+27
5.89262120e+02 2.63607125e+27
5.89265415e+02 3.11883359e+27
5.89268710e+02 2.08548440e+27
5.89272005e+02 2.31322637e+27
5.89275300e+02 -5.99802905e+26
5.89278595e+02 -1.50444824e+27
5.89281890e+02 -3.24468389e+27
5.89285186e+02 -3.17129507e+27
5.89288481e+02 7.28848231e+26
5.89291776e+02 3.82540476e+26
5.89295071e+02 2.62616428e+27
