filename,cts2MR
MERCURY1_tr.totfib_sft-05,1.19419898e+25
MERCURY1_tr.totfib_sft005,1.19314990e+25
MERCURY1_tr.totfib_sft015,1.19236344e+25
MERCURY2_tr.totfib_sft-05,3.57891288e+25
MERCURY2_tr.totfib_sft005,3.57394009e+25
MERCURY2_tr.totfib_sft015,3.56986148e+25
MERCURY3_tr.totfib_sft-05,5.03852538e+25
MERCURY3_tr.totfib_sft005,5.02827653e+25
MERCURY3_tr.totfib_sft015,5.01921004e+25
MERCURY4_tr.totfib_sft-05,2.61373513e+25
MERCURY4_tr.totfib_sft005,2.61031594e+25
MERCURY4_tr.totfib_sft015,2.60745839e+25
MERCURY5_tr.totfib_sft-05,9.55910860e+25
MERCURY5_tr.totfib_sft005,9.52959481e+25
MERCURY5_tr.totfib_sft015,9.50480978e+25
MERCURY6_tr.totfib_sft-05,5.68767024e+25
MERCURY6_tr.totfib_sft005,5.67530815e+25
MERCURY6_tr.totfib_sft015,5.66436001e+25
MERCURY7_tr.totfib_sft-05,-3.01966960e+26
MERCURY7_tr.totfib_sft005,-3.03970778e+26
MERCURY7_tr.totfib_sft015,-3.05816074e+26
MERCURY8_tr.totfib_sft-05,2.50202088e+26
MERCURY8_tr.totfib_sft005,2.48263023e+26
MERCURY8_tr.totfib_sft015,2.46508485e+26
