TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped,Hop_Count,Hop_Per_Particle
176,2.6543e+30,1.1799e+30,1.4376e+30,2.9788e+28,7.0580e+27,9.6007e+29,2.1978e+29,1.0973e+30,3.4027e+29,2.1350e+28,8.4380e+27,3.6020e+27,3.4560e+27,44.5,54.2,1.1,0.3,2.6539e+30,2.6184e+30,3.0853e+28,4.5630e+27,1.4767e+28,0.0000e+00,98.7,1.2,0.2,1.2952e+29,0.0488
177,2.6844e+30,1.1887e+30,1.4591e+30,2.9581e+28,7.0910e+27,9.6969e+29,2.1901e+29,1.1262e+30,3.3285e+29,2.1132e+28,8.4490e+27,3.5550e+27,3.5360e+27,44.3,54.4,1.1,0.3,2.6844e+30,2.6485e+30,3.1427e+28,4.4640e+27,1.4799e+28,0.0000e+00,98.7,1.2,0.2,1.3249e+29,0.0494
178,2.7022e+30,1.1905e+30,1.4714e+30,3.3263e+28,7.0650e+27,9.4393e+29,2.4654e+29,1.0813e+30,3.9011e+29,2.4022e+28,9.2410e+27,3.5050e+27,3.5600e+27,44.1,54.5,1.2,0.3,2.7013e+30,2.6650e+30,3.1422e+28,4.8540e+27,1.4742e+28,0.0000e+00,98.7,1.2,0.2,1.3363e+29,0.0495
179,2.7294e+30,1.2018e+30,1.4879e+30,3.2675e+28,7.0760e+27,9.5347e+29,2.4834e+29,1.1024e+30,3.8553e+29,2.3143e+28,9.5320e+27,3.6310e+27,3.4450e+27,44.0,54.5,1.2,0.3,2.7292e+30,2.6924e+30,3.1853e+28,5.0040e+27,1.4784e+28,0.0000e+00,98.6,1.2,0.2,1.3584e+29,0.0498
180,2.7382e+30,1.2016e+30,1.4980e+30,3.1608e+28,7.0670e+27,9.5595e+29,2.4560e+29,1.1206e+30,3.7737e+29,2.2265e+28,9.3430e+27,3.4170e+27,3.6500e+27,43.9,54.7,1.2,0.3,2.7378e+30,2.7008e+30,3.2126e+28,4.8510e+27,1.4737e+28,0.0000e+00,98.6,1.2,0.2,1.3723e+29,0.0501
181,2.7630e+30,1.2100e+30,1.5146e+30,3.1296e+28,7.0740e+27,9.6506e+29,2.4492e+29,1.1443e+30,3.7029e+29,2.1844e+28,9.4520e+27,3.5420e+27,3.5320e+27,43.8,54.8,1.1,0.3,2.7629e+30,2.7259e+30,3.2210e+28,4.7860e+27,1.4789e+28,0.0000e+00,98.7,1.2,0.2,1.3864e+29,0.0502
182,2.7722e+30,1.2097e+30,1.5210e+30,3.4418e+28,7.0620e+27,9.3844e+29,2.7125e+29,1.1008e+30,4.2022e+29,2.4365e+28,1.0053e+28,3.5020e+27,3.5600e+27,43.6,54.9,1.2,0.3,2.7714e+30,2.7340e+30,3.2464e+28,5.0010e+27,1.4752e+28,0.0000e+00,98.6,1.2,0.2,1.3952e+29,0.0503
183,2.7987e+30,1.2183e+30,1.5390e+30,3.4328e+28,7.0870e+27,9.4402e+29,2.7433e+29,1.1143e+30,4.2467e+29,2.4173e+28,1.0155e+28,3.5220e+27,3.5650e+27,43.5,55.0,1.2,0.3,2.7987e+30,2.7609e+30,3.2728e+28,5.0740e+27,1.4814e+28,0.0000e+00,98.6,1.2,0.2,1.4111e+29,0.0504
184,2.7981e+30,1.2164e+30,1.5415e+30,3.3152e+28,7.0800e+27,9.4623e+29,2.7016e+29,1.1305e+30,4.1091e+29,2.3113e+28,1.0039e+28,3.5170e+27,3.5630e+27,43.5,55.1,1.2,0.3,2.7980e+30,2.7609e+30,3.2243e+28,4.9030e+27,1.4787e+28,0.0000e+00,98.7,1.2,0.2,1.4236e+29,0.0509
185,2.8111e+30,1.2192e+30,1.5521e+30,3.2700e+28,7.0820e+27,9.5242e+29,2.6682e+29,1.1517e+30,4.0034e+29,2.2523e+28,1.0177e+28,3.5800e+27,3.5020e+27,43.4,55.2,1.2,0.3,2.8109e+30,2.7733e+30,3.2769e+28,4.7430e+27,1.4812e+28,0.0000e+00,98.7,1.2,0.2,1.4257e+29,0.0507
186,2.8165e+30,1.2183e+30,1.5561e+30,3.5069e+28,7.0680e+27,9.2663e+29,2.9168e+29,1.1100e+30,4.4612e+29,2.4402e+28,1.0667e+28,3.5170e+27,3.5510e+27,43.3,55.2,1.2,0.3,2.8164e+30,2.7786e+30,3.2916e+28,4.8930e+27,1.4795e+28,0.0000e+00,98.7,1.2,0.2,1.4298e+29,0.0508
187,2.8271e+30,1.2209e+30,1.5643e+30,3.4848e+28,7.0640e+27,9.2545e+29,2.9547e+29,1.1129e+30,4.5136e+29,2.3944e+28,1.0904e+28,3.5260e+27,3.5380e+27,43.2,55.3,1.2,0.2,2.8268e+30,2.7887e+30,3.2988e+28,5.0200e+27,1.4830e+28,0.0000e+00,98.7,1.2,0.2,1.4496e+29,0.0513
188,2.8337e+30,1.2221e+30,1.5704e+30,3.4157e+28,7.0860e+27,9.3076e+29,2.9130e+29,1.1302e+30,4.4020e+29,2.3377e+28,1.0780e+28,3.5080e+27,3.5780e+27,43.1,55.4,1.2,0.3,2.8337e+30,2.7955e+30,3.3298e+28,4.9460e+27,1.4870e+28,0.0000e+00,98.7,1.2,0.2,1.4413e+29,0.0509
189,2.8433e+30,1.2229e+30,1.5798e+30,3.3595e+28,7.0690e+27,9.3550e+29,2.8735e+29,1.1519e+30,4.2788e+29,2.2821e+28,1.0774e+28,3.5600e+27,3.5090e+27,43.0,55.6,1.2,0.2,2.8433e+30,2.8056e+30,3.2795e+28,4.8820e+27,1.4916e+28,0.0000e+00,98.7,1.2,0.2,1.4494e+29,0.0510
190,2.8331e+30,1.2157e+30,1.5751e+30,3.5204e+28,7.0570e+27,9.0891e+29,3.0680e+29,1.1101e+30,4.6496e+29,2.3882e+28,1.1322e+28,3.4780e+27,3.5790e+27,42.9,55.6,1.2,0.2,2.8328e+30,2.7949e+30,3.2907e+28,5.0200e+27,1.4870e+28,0.0000e+00,98.7,1.2,0.2,1.4477e+29,0.0511
191,2.8479e+30,1.2208e+30,1.5844e+30,3.5638e+28,7.0710e+27,9.0567e+29,3.1510e+29,1.1068e+30,4.7762e+29,2.4269e+28,1.1369e+28,3.4950e+27,3.5760e+27,42.9,55.6,1.3,0.2,2.8479e+30,2.8095e+30,3.3299e+28,5.1140e+27,1.4973e+28,0.0000e+00,98.7,1.2,0.2,1.4569e+29,0.0512
192,2.8413e+30,1.2165e+30,1.5828e+30,3.4945e+28,7.0790e+27,9.0782e+29,3.0870e+29,1.1189e+30,4.6384e+29,2.3527e+28,1.1418e+28,3.5110e+27,3.5680e+27,42.8,55.7,1.2,0.2,2.8413e+30,2.8035e+30,3.2748e+28,5.0460e+27,1.4985e+28,0.0000e+00,98.7,1.2,0.2,1.4569e+29,0.0513
193,2.8342e+30,1.2121e+30,1.5810e+30,3.4082e+28,7.0670e+27,9.0825e+29,3.0383e+29,1.1342e+30,4.4681e+29,2.2658e+28,1.1424e+28,3.5570e+27,3.5100e+27,42.8,55.8,1.2,0.2,2.8344e+30,2.7964e+30,3.3055e+28,4.9130e+27,1.5002e+28,0.0000e+00,98.7,1.2,0.2,1.4427e+29,0.0509
194,2.8255e+30,1.2067e+30,1.5767e+30,3.5032e+28,7.0640e+27,8.9033e+29,3.1636e+29,1.1047e+30,4.7204e+29,2.3094e+28,1.1938e+28,3.5180e+27,3.5460e+27,42.7,55.8,1.2,0.3,2.8255e+30,2.7878e+30,3.2740e+28,5.0100e+27,1.5024e+28,0.0000e+00,98.7,1.2,0.2,1.4388e+29,0.0509
195,2.8290e+30,1.2069e+30,1.5791e+30,3.5929e+28,7.0740e+27,8.7844e+29,3.2845e+29,1.0855e+30,4.9360e+29,2.4060e+28,1.1869e+28,3.4650e+27,3.6090e+27,42.7,55.8,1.3,0.3,2.8293e+30,2.7912e+30,3.2950e+28,5.1570e+27,1.5099e+28,0.0000e+00,98.7,1.2,0.2,1.4511e+29,0.0513
196,2.8131e+30,1.2025e+30,1.5687e+30,3.4880e+28,7.0640e+27,8.8019e+29,3.2227e+29,1.0932e+30,4.7553e+29,2.3026e+28,1.1854e+28,3.4650e+27,3.5990e+27,42.7,55.8,1.2,0.3,2.8131e+30,2.7756e+30,3.2406e+28,5.1250e+27,1.5130e+28,0.0000e+00,98.7,1.2,0.2,1.4485e+29,0.0515
197,2.7975e+30,1.1947e+30,1.5615e+30,3.4252e+28,7.0560e+27,8.8022e+29,3.1447e+29,1.1035e+30,4.5806e+29,2.2551e+28,1.1701e+28,3.5690e+27,3.4870e+27,42.7,55.8,1.2,0.3,2.7979e+30,2.7604e+30,3.2347e+28,5.1560e+27,1.5165e+28,0.0000e+00,98.7,1.2,0.2,1.4330e+29,0.0512
198,2.7927e+30,1.1915e+30,1.5598e+30,3.4314e+28,7.0890e+27,8.7363e+29,3.1791e+29,1.0956e+30,4.6418e+29,2.2285e+28,1.2029e+28,3.5620e+27,3.5270e+27,42.7,55.9,1.2,0.3,2.7927e+30,2.7558e+30,3.1903e+28,4.9800e+27,1.5256e+28,0.0000e+00,98.7,1.1,0.2,1.4319e+29,0.0513
199,2.7683e+30,1.1816e+30,1.5440e+30,3.5751e+28,7.0450e+27,8.4615e+29,3.3543e+29,1.0478e+30,4.9616e+29,2.3623e+28,1.2128e+28,3.5270e+27,3.5180e+27,42.7,55.8,1.3,0.3,2.7689e+30,2.7322e+30,3.1421e+28,5.2360e+27,1.5251e+28,0.0000e+00,98.7,1.1,0.2,1.4196e+29,0.0513
200,2.7537e+30,1.1775e+30,1.5342e+30,3.4835e+28,7.0710e+27,8.4971e+29,3.2781e+29,1.0569e+30,4.7739e+29,2.2778e+28,1.2057e+28,3.5200e+27,3.5510e+27,42.8,55.7,1.3,0.3,2.7542e+30,2.7174e+30,3.1289e+28,5.5100e+27,1.5351e+28,0.0000e+00,98.7,1.1,0.2,1.4185e+29,0.0515
201,2.7249e+30,1.1661e+30,1.5183e+30,3.3475e+28,7.0400e+27,8.4684e+29,3.1924e+29,1.0617e+30,4.5665e+29,2.1696e+28,1.1779e+28,3.5540e+27,3.4860e+27,42.8,55.7,1.2,0.3,2.7255e+30,2.6892e+30,3.1150e+28,5.1560e+27,1.5354e+28,0.0000e+00,98.7,1.1,0.2,1.3943e+29,0.0512
202,2.7076e+30,1.1601e+30,1.5075e+30,3.2966e+28,7.0670e+27,8.4884e+29,3.1125e+29,1.0671e+30,4.4038e+29,2.1168e+28,1.1798e+28,3.5730e+27,3.4940e+27,42.8,55.7,1.2,0.3,2.7081e+30,2.6720e+30,3.0805e+28,5.3420e+27,1.5464e+28,0.0000e+00,98.7,1.1,0.2,1.3887e+29,0.0513
203,2.6705e+30,1.1471e+30,1.4816e+30,3.4667e+28,7.0520e+27,8.1342e+29,3.3372e+29,9.9951e+29,4.8211e+29,2.2784e+28,1.1883e+28,3.4910e+27,3.5610e+27,43.0,55.5,1.3,0.3,2.6707e+30,2.6347e+30,3.0428e+28,5.5760e+27,1.5476e+28,0.0000e+00,98.7,1.1,0.2,1.3627e+29,0.0510
204,2.6509e+30,1.1430e+30,1.4669e+30,3.4027e+28,7.0760e+27,8.1553e+29,3.2746e+29,1.0006e+30,4.6625e+29,2.2210e+28,1.1817e+28,3.5020e+27,3.5740e+27,43.1,55.3,1.3,0.3,2.6517e+30,2.6154e+30,3.0639e+28,5.6450e+27,1.5596e+28,0.0000e+00,98.6,1.2,0.2,1.3483e+29,0.0508
205,2.6121e+30,1.1280e+30,1.4440e+30,3.3100e+28,7.0460e+27,8.1110e+29,3.1689e+29,1.0013e+30,4.4263e+29,2.1532e+28,1.1568e+28,3.5200e+27,3.5260e+27,43.2,55.3,1.3,0.3,2.6126e+30,2.5774e+30,2.9619e+28,5.6660e+27,1.5616e+28,0.0000e+00,98.6,1.1,0.2,1.3149e+29,0.0503
206,2.5806e+30,1.1168e+30,1.4248e+30,3.1878e+28,7.0660e+27,8.0887e+29,3.0795e+29,1.0033e+30,4.2144e+29,2.0422e+28,1.1456e+28,3.5460e+27,3.5200e+27,43.3,55.2,1.2,0.3,2.5810e+30,2.5459e+30,2.9488e+28,5.6130e+27,1.5693e+28,0.0000e+00,98.6,1.1,0.2,1.2990e+29,0.0503
207,2.5485e+30,1.1057e+30,1.4033e+30,3.2403e+28,7.0400e+27,7.9303e+29,3.1270e+29,9.7105e+29,4.3229e+29,2.0812e+28,1.1591e+28,3.5160e+27,3.5240e+27,43.4,55.1,1.3,0.3,2.5490e+30,2.5143e+30,2.9062e+28,5.6540e+27,1.5774e+28,0.0000e+00,98.6,1.1,0.2,1.2782e+29,0.0501
208,2.5137e+30,1.0942e+30,1.3796e+30,3.2813e+28,7.0580e+27,7.7606e+29,3.1817e+29,9.3766e+29,4.4198e+29,2.1313e+28,1.1500e+28,3.5520e+27,3.5060e+27,43.5,54.9,1.3,0.3,2.5147e+30,2.4802e+30,2.8395e+28,6.0260e+27,1.5860e+28,0.0000e+00,98.6,1.1,0.2,1.2544e+29,0.0499
209,2.4807e+30,1.0836e+30,1.3584e+30,3.1609e+28,7.0610e+27,7.7455e+29,3.0905e+29,9.3649e+29,4.2190e+29,2.0351e+28,1.1258e+28,3.5000e+27,3.5610e+27,43.7,54.8,1.3,0.3,2.4813e+30,2.4475e+30,2.7958e+28,5.8610e+27,1.5950e+28,0.0000e+00,98.6,1.1,0.2,1.2233e+29,0.0493
210,2.4341e+30,1.0670e+30,1.3291e+30,3.0856e+28,7.0550e+27,7.6913e+29,2.9791e+29,9.3008e+29,3.9905e+29,1.9730e+28,1.1126e+28,3.5190e+27,3.5360e+27,43.8,54.6,1.3,0.3,2.4349e+30,2.4015e+30,2.7274e+28,6.1120e+27,1.5990e+28,0.0000e+00,98.6,1.1,0.3,1.1931e+29,0.0490
211,2.3954e+30,1.0532e+30,1.3053e+30,2.9813e+28,7.0490e+27,7.6592e+29,2.8728e+29,9.2612e+29,3.7921e+29,1.8802e+28,1.1011e+28,3.5840e+27,3.4650e+27,44.0,54.5,1.2,0.3,2.3961e+30,2.3631e+30,2.6939e+28,6.0580e+27,1.6089e+28,0.0000e+00,98.6,1.1,0.3,1.1668e+29,0.0487
212,2.3633e+30,1.0423e+30,1.2832e+30,3.0754e+28,7.0470e+27,7.4069e+29,3.0158e+29,8.7858e+29,4.0464e+29,1.9908e+28,1.0846e+28,3.4930e+27,3.5540e+27,44.1,54.3,1.3,0.3,2.3639e+30,2.3309e+30,2.6609e+28,6.4090e+27,1.6192e+28,0.0000e+00,98.6,1.1,0.3,1.1450e+29,0.0484
213,2.3157e+30,1.0256e+30,1.2531e+30,2.9951e+28,7.0300e+27,7.3216e+29,2.9341e+29,8.6286e+29,3.9027e+29,1.9364e+28,1.0587e+28,3.5300e+27,3.5000e+27,44.3,54.1,1.3,0.3,2.3159e+30,2.2836e+30,2.5982e+28,6.3030e+27,1.6243e+28,0.0000e+00,98.6,1.1,0.3,1.1127e+29,0.0480
214,2.2793e+30,1.0128e+30,1.2306e+30,2.8945e+28,7.0400e+27,7.2978e+29,2.8299e+29,8.6010e+29,3.7047e+29,1.8621e+28,1.0324e+28,3.5220e+27,3.5180e+27,44.4,54.0,1.3,0.3,2.2806e+30,2.2487e+30,2.5452e+28,6.4090e+27,1.6354e+28,0.0000e+00,98.6,1.1,0.3,1.0811e+29,0.0474
215,2.2349e+30,9.9622e+29,1.2037e+30,2.7935e+28,7.0380e+27,7.2395e+29,2.7227e+29,8.5503e+29,3.4863e+29,1.7780e+28,1.0155e+28,3.4980e+27,3.5400e+27,44.6,53.9,1.2,0.3,2.2354e+30,2.2039e+30,2.5043e+28,6.4520e+27,1.6412e+28,0.0000e+00,98.6,1.1,0.3,1.0622e+29,0.0475
216,2.1951e+30,9.8377e+29,1.1773e+30,2.7034e+28,7.0330e+27,7.1951e+29,2.6426e+29,8.4332e+29,3.3399e+29,1.7257e+28,9.7770e+27,3.5250e+27,3.5080e+27,44.8,53.6,1.2,0.3,2.1953e+30,2.1644e+30,2.4501e+28,6.4430e+27,1.6532e+28,0.0000e+00,98.6,1.1,0.3,1.0324e+29,0.0470
217,2.1654e+30,9.7152e+29,1.1582e+30,2.8639e+28,7.0380e+27,6.9561e+29,2.7591e+29,7.9765e+29,3.6052e+29,1.8661e+28,9.9780e+27,3.4520e+27,3.5860e+27,44.9,53.5,1.3,0.3,2.1658e+30,2.1345e+30,2.4314e+28,7.0170e+27,1.6656e+28,0.0000e+00,98.6,1.1,0.3,1.0171e+29,0.0470
218,2.1215e+30,9.5485e+29,1.1322e+30,2.7447e+28,7.0330e+27,6.8997e+29,2.6488e+29,7.9201e+29,3.4017e+29,1.7826e+28,9.6210e+27,3.4640e+27,3.5690e+27,45.0,53.4,1.3,0.3,2.1222e+30,2.0914e+30,2.3963e+28,6.8670e+27,1.6724e+28,0.0000e+00,98.5,1.1,0.3,9.9346e+28,0.0468
219,2.0808e+30,9.3941e+29,1.1078e+30,2.6490e+28,7.0290e+27,6.8570e+29,2.5371e+29,7.8636e+29,3.2146e+29,1.7143e+28,9.3470e+27,3.4740e+27,3.5550e+27,45.1,53.2,1.3,0.3,2.0816e+30,2.0509e+30,2.3776e+28,6.8310e+27,1.6795e+28,0.0000e+00,98.5,1.1,0.3,9.7722e+28,0.0469
220,2.0474e+30,9.2642e+29,1.0887e+30,2.5217e+28,7.0290e+27,6.8167e+29,2.4476e+29,7.8345e+29,3.0526e+29,1.6170e+28,9.0470e+27,3.5350e+27,3.4940e+27,45.2,53.2,1.2,0.3,2.0478e+30,2.0171e+30,2.3560e+28,7.0980e+27,1.6930e+28,0.0000e+00,98.5,1.2,0.3,9.4917e+28,0.0464
221,2.0121e+30,9.1509e+29,1.0655e+30,2.4457e+28,7.0360e+27,6.7878e+29,2.3631e+29,7.7507e+29,2.9045e+29,1.5372e+28,9.0850e+27,3.4990e+27,3.5370e+27,45.5,53.0,1.2,0.3,2.0128e+30,1.9829e+30,2.2911e+28,7.0440e+27,1.7070e+28,0.0000e+00,98.5,1.1,0.3,9.3166e+28,0.0463
222,1.9739e+30,8.9845e+29,1.0428e+30,2.5624e+28,7.0400e+27,6.5385e+29,2.4460e+29,7.3088e+29,3.1190e+29,1.6801e+28,8.8230e+27,3.4600e+27,3.5800e+27,45.5,52.8,1.3,0.4,1.9744e+30,1.9447e+30,2.2365e+28,7.3570e+27,1.7152e+28,0.0000e+00,98.5,1.1,0.4,9.1449e+28,0.0463
223,1.9405e+30,8.8514e+29,1.0236e+30,2.4770e+28,7.0150e+27,6.4944e+29,2.3570e+29,7.2664e+29,2.9697e+29,1.6046e+28,8.7240e+27,3.5060e+27,3.5090e+27,45.6,52.7,1.3,0.4,1.9406e+30,1.9109e+30,2.2147e+28,7.5800e+27,1.7235e+28,0.0000e+00,98.5,1.1,0.4,9.0317e+28,0.0465
224,1.9133e+30,8.7436e+29,1.0078e+30,2.4181e+28,7.0380e+27,6.4691e+29,2.2745e+29,7.2404e+29,2.8371e+29,1.5567e+28,8.6140e+27,3.5640e+27,3.4740e+27,45.7,52.7,1.3,0.4,1.9137e+30,1.8842e+30,2.1959e+28,7.6020e+27,1.7386e+28,0.0000e+00,98.5,1.1,0.4,8.9469e+28,0.0468
225,1.8754e+30,8.5962e+29,9.8615e+29,2.2604e+28,7.0170e+27,6.4166e+29,2.1796e+29,7.1695e+29,2.6919e+29,1.4515e+28,8.0890e+27,3.5720e+27,3.4450e+27,45.8,52.6,1.2,0.4,1.8761e+30,1.8466e+30,2.1840e+28,7.6500e+27,1.7476e+28,0.0000e+00,98.4,1.2,0.4,8.6653e+28,0.0462
226,1.8449e+30,8.4786e+29,9.6821e+29,2.1818e+28,7.0270e+27,6.3817e+29,2.0968e+29,7.1193e+29,2.5627e+29,1.3956e+28,7.8620e+27,3.4590e+27,3.5680e+27,46.0,52.5,1.2,0.4,1.8451e+30,1.8162e+30,2.1429e+28,7.5020e+27,1.7634e+28,0.0000e+00,98.4,1.2,0.4,8.5025e+28,0.0461
227,1.8008e+30,8.3026e+29,9.4126e+29,2.2253e+28,6.9840e+27,6.2074e+29,2.0952e+29,6.8007e+29,2.6119e+29,1.4442e+28,7.8110e+27,3.5130e+27,3.4710e+27,46.1,52.3,1.2,0.4,1.8010e+30,1.7724e+30,2.0903e+28,7.6880e+27,1.7663e+28,0.0000e+00,98.4,1.2,0.4,8.2653e+28,0.0459
228,1.7847e+30,8.2251e+29,9.3300e+29,2.2159e+28,7.0370e+27,6.1297e+29,2.0953e+29,6.6920e+29,2.6380e+29,1.4477e+28,7.6820e+27,3.4980e+27,3.5390e+27,46.1,52.3,1.2,0.4,1.7849e+30,1.7558e+30,2.0845e+28,8.2800e+27,1.7894e+28,0.0000e+00,98.4,1.2,0.5,8.2146e+28,0.0460
229,1.7466e+30,8.0834e+29,9.1014e+29,2.1159e+28,6.9940e+27,6.0742e+29,2.0093e+29,6.5919e+29,2.5095e+29,1.3807e+28,7.3520e+27,3.4560e+27,3.5380e+27,46.3,52.1,1.2,0.4,1.7472e+30,1.7187e+30,2.0381e+28,8.1080e+27,1.7926e+28,0.0000e+00,98.4,1.2,0.5,8.0300e+28,0.0460
230,1.7240e+30,7.9790e+29,8.9852e+29,2.0557e+28,7.0170e+27,6.0437e+29,1.9353e+29,6.5829e+29,2.4023e+29,1.3371e+28,7.1860e+27,3.5080e+27,3.5090e+27,46.3,52.1,1.2,0.4,1.7244e+30,1.6959e+30,2.0447e+28,8.0930e+27,1.8097e+28,0.0000e+00,98.3,1.2,0.5,7.8732e+28,0.0457
231,1.6901e+30,7.8507e+29,8.7870e+29,1.9361e+28,7.0020e+27,5.9866e+29,1.8642e+29,6.5035e+29,2.2835e+29,1.2382e+28,6.9790e+27,3.5750e+27,3.4270e+27,46.5,52.0,1.1,0.4,1.6905e+30,1.6625e+30,1.9797e+28,8.1200e+27,1.8202e+28,0.0000e+00,98.3,1.2,0.5,7.7353e+28,0.0458
232,1.6646e+30,7.7511e+29,8.6340e+29,1.9056e+28,7.0170e+27,5.9554e+29,1.7957e+29,6.4432e+29,2.1909e+29,1.2156e+28,6.9000e+27,3.5220e+27,3.4950e+27,46.6,51.9,1.1,0.4,1.6649e+30,1.6373e+30,1.9485e+28,8.1280e+27,1.8380e+28,0.0000e+00,98.3,1.2,0.5,7.5976e+28,0.0456
233,1.6333e+30,7.6121e+29,8.4551e+29,1.9595e+28,7.0140e+27,5.7920e+29,1.8200e+29,6.1556e+29,2.2994e+29,1.2944e+28,6.6510e+27,3.5140e+27,3.5000e+27,46.6,51.8,1.2,0.4,1.6336e+30,1.6058e+30,1.9365e+28,8.4470e+27,1.8490e+28,0.0000e+00,98.3,1.2,0.5,7.4540e+28,0.0456
234,1.6046e+30,7.5052e+29,8.2781e+29,1.9241e+28,7.0060e+27,5.7259e+29,1.7793e+29,6.0457e+29,2.2324e+29,1.2841e+28,6.4000e+27,3.4470e+27,3.5590e+27,46.8,51.6,1.2,0.4,1.6052e+30,1.5774e+30,1.9258e+28,8.5710e+27,1.8601e+28,0.0000e+00,98.3,1.2,0.5,7.2628e+28,0.0452
235,1.5782e+30,7.3850e+29,8.1446e+29,1.8293e+28,6.9920e+27,5.6684e+29,1.7167e+29,6.0039e+29,2.1407e+29,1.2017e+28,6.2760e+27,3.5750e+27,3.4170e+27,46.8,51.6,1.2,0.4,1.5783e+30,1.5510e+30,1.8872e+28,8.4500e+27,1.8714e+28,0.0000e+00,98.3,1.2,0.5,7.1337e+28,0.0452
236,1.5586e+30,7.2942e+29,8.0469e+29,1.7462e+28,7.0040e+27,5.6435e+29,1.6507e+29,5.9859e+29,2.0611e+29,1.1377e+28,6.0850e+27,3.5010e+27,3.5030e+27,46.8,51.6,1.1,0.4,1.5591e+30,1.5320e+30,1.8560e+28,8.6120e+27,1.8903e+28,0.0000e+00,98.3,1.2,0.6,7.0416e+28,0.0452
237,1.5292e+30,7.1774e+29,7.8767e+29,1.6755e+28,6.9940e+27,5.5903e+29,1.5871e+29,5.8831e+29,1.9936e+29,1.0860e+28,5.8950e+27,3.5090e+27,3.4850e+27,46.9,51.5,1.1,0.5,1.5296e+30,1.5025e+30,1.8714e+28,8.3800e+27,1.9020e+28,0.0000e+00,98.2,1.2,0.5,6.9304e+28,0.0453
238,1.5049e+30,7.0893e+29,7.7279e+29,1.6123e+28,7.0060e+27,5.5541e+29,1.5352e+29,5.8261e+29,1.9018e+29,1.0358e+28,5.7650e+27,3.4970e+27,3.5090e+27,47.1,51.4,1.1,0.5,1.5049e+30,1.4782e+30,1.8282e+28,8.4690e+27,1.9216e+28,0.0000e+00,98.2,1.2,0.6,6.8371e+28,0.0454
239,1.4764e+30,6.9425e+29,7.5891e+29,1.6305e+28,6.9620e+27,5.4266e+29,1.5158e+29,5.6528e+29,1.9363e+29,1.0677e+28,5.6280e+27,3.4790e+27,3.4830e+27,47.0,51.4,1.1,0.5,1.4765e+30,1.4499e+30,1.7997e+28,8.5940e+27,1.9258e+28,0.0000e+00,98.2,1.2,0.6,6.7145e+28,0.0455
240,1.4568e+30,6.8617e+29,7.4715e+29,1.6456e+28,6.9890e+27,5.3433e+29,1.5184e+29,5.4880e+29,1.9836e+29,1.1129e+28,5.3270e+27,3.4860e+27,3.5030e+27,47.1,51.3,1.1,0.5,1.4570e+30,1.4303e+30,1.7823e+28,8.8540e+27,1.9458e+28,0.0000e+00,98.2,1.2,0.6,6.5537e+28,0.0450
241,1.4389e+30,6.7885e+29,7.3688e+29,1.6148e+28,7.0030e+27,5.3200e+29,1.4685e+29,5.4575e+29,1.9112e+29,1.0657e+28,5.4910e+27,3.4700e+27,3.5330e+27,47.2,51.2,1.1,0.5,1.4392e+30,1.4125e+30,1.7744e+28,8.8860e+27,1.9661e+28,0.0000e+00,98.1,1.2,0.6,6.4812e+28,0.0450
242,1.4134e+30,6.6615e+29,7.2512e+29,1.5119e+28,6.9650e+27,5.2472e+29,1.4143e+29,5.3962e+29,1.8550e+29,1.0041e+28,5.0780e+27,3.4940e+27,3.4710e+27,47.1,51.3,1.1,0.5,1.4138e+30,1.3874e+30,1.7519e+28,8.8540e+27,1.9704e+28,0.0000e+00,98.1,1.2,0.6,6.4333e+28,0.0455
243,1.3911e+30,6.5756e+29,7.1215e+29,1.4382e+28,6.9950e+27,5.2120e+29,1.3636e+29,5.3364e+29,1.7851e+29,9.4010e+27,4.9810e+27,3.5860e+27,3.4090e+27,47.3,51.2,1.0,0.5,1.3914e+30,1.3654e+30,1.7164e+28,8.9000e+27,1.9911e+28,0.0000e+00,98.1,1.2,0.6,6.3470e+28,0.0456
244,1.3681e+30,6.4817e+29,6.9893e+29,1.3990e+28,6.9760e+27,5.1596e+29,1.3220e+29,5.2602e+29,1.7291e+29,9.0240e+27,4.9660e+27,3.4360e+27,3.5400e+27,47.4,51.1,1.0,0.5,1.3683e+30,1.3424e+30,1.7173e+28,8.7160e+27,2.0037e+28,0.0000e+00,98.1,1.3,0.6,6.2402e+28,0.0456
245,1.3489e+30,6.4029e+29,6.8840e+29,1.3226e+28,6.9850e+27,5.1220e+29,1.2809e+29,5.2135e+29,1.6705e+29,8.5270e+27,4.6990e+27,3.4470e+27,3.5380e+27,47.5,51.0,1.0,0.5,1.3492e+30,1.3235e+30,1.6950e+28,8.7030e+27,2.0249e+28,0.0000e+00,98.1,1.3,0.6,6.0588e+28,0.0449
