TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped,Hop_Count,Hop_Per_Particle
126,9.9183e+29,5.4199e+29,4.3867e+29,4.1650e+27,7.0070e+27,4.8662e+29,5.5362e+28,3.4214e+29,9.6533e+28,2.6020e+27,1.5630e+27,3.4730e+27,3.5340e+27,54.6,44.2,0.4,0.7,9.9174e+29,9.7417e+29,1.1966e+28,5.6020e+27,1.8490e+28,0.0000e+00,98.2,1.2,0.6,3.5106e+28,0.0354
127,1.0088e+30,5.5042e+29,4.4642e+29,4.9270e+27,6.9890e+27,4.9178e+29,5.8646e+28,3.3950e+29,1.0691e+29,3.2800e+27,1.6470e+27,3.4770e+27,3.5120e+27,54.6,44.3,0.5,0.7,1.0086e+30,9.9057e+29,1.2204e+28,5.8580e+27,1.8309e+28,0.0000e+00,98.2,1.2,0.6,3.5009e+28,0.0347
128,1.0338e+30,5.6319e+29,4.5859e+29,5.0000e+27,7.0090e+27,5.0449e+29,5.8709e+28,3.5288e+29,1.0571e+29,3.3810e+27,1.6190e+27,3.5360e+27,3.4730e+27,54.5,44.4,0.5,0.7,1.0332e+30,1.0153e+30,1.2176e+28,5.7740e+27,1.8203e+28,0.0000e+00,98.3,1.2,0.6,3.5394e+28,0.0343
129,1.0600e+30,5.7577e+29,4.7222e+29,5.0090e+27,7.0150e+27,5.1691e+29,5.8859e+28,3.6954e+29,1.0268e+29,3.3630e+27,1.6460e+27,3.5610e+27,3.4540e+27,54.3,44.5,0.5,0.7,1.0599e+30,1.0415e+30,1.2628e+28,5.7290e+27,1.8098e+28,0.0000e+00,98.3,1.2,0.5,3.6581e+28,0.0345
130,1.0825e+30,5.8759e+29,4.8276e+29,5.1350e+27,7.0210e+27,5.2874e+29,5.8845e+28,3.8230e+29,1.0046e+29,3.4660e+27,1.6690e+27,3.5420e+27,3.4790e+27,54.3,44.6,0.5,0.6,1.0822e+30,1.0638e+30,1.2770e+28,5.5500e+27,1.7995e+28,0.0000e+00,98.3,1.2,0.5,3.6281e+28,0.0335
131,1.0995e+30,5.9701e+29,4.9022e+29,5.2540e+27,6.9990e+27,5.3889e+29,5.8125e+28,3.9168e+29,9.8542e+28,3.4930e+27,1.7610e+27,3.5690e+27,3.4300e+27,54.3,44.6,0.5,0.6,1.0992e+30,1.0809e+30,1.2958e+28,5.3440e+27,1.7827e+28,0.0000e+00,98.3,1.2,0.5,3.7251e+28,0.0339
132,1.1171e+30,6.0771e+29,4.9709e+29,5.2940e+27,7.0160e+27,5.4913e+29,5.8588e+28,3.9838e+29,9.8708e+28,3.6020e+27,1.6920e+27,3.5450e+27,3.4710e+27,54.4,44.5,0.5,0.6,1.1167e+30,1.0982e+30,1.3132e+28,5.3480e+27,1.7729e+28,0.0000e+00,98.3,1.2,0.5,3.7848e+28,0.0339
133,1.1442e+30,6.2116e+29,5.0982e+29,6.2210e+27,7.0210e+27,5.5866e+29,6.2506e+28,4.0145e+29,1.0838e+29,4.4160e+27,1.8050e+27,3.5780e+27,3.4430e+27,54.3,44.6,0.5,0.6,1.1440e+30,1.1252e+30,1.3299e+28,5.4350e+27,1.7633e+28,0.0000e+00,98.4,1.2,0.5,3.8980e+28,0.0341
134,1.1666e+30,6.3141e+29,5.2197e+29,6.1910e+27,7.0130e+27,5.6969e+29,6.1726e+28,4.1647e+29,1.0550e+29,4.3990e+27,1.7920e+27,3.5190e+27,3.4940e+27,54.1,44.7,0.5,0.6,1.1663e+30,1.1474e+30,1.3584e+28,5.3900e+27,1.7475e+28,0.0000e+00,98.4,1.2,0.5,3.9107e+28,0.0335
135,1.1926e+30,6.4253e+29,5.3683e+29,6.2850e+27,6.9930e+27,5.8046e+29,6.2073e+28,4.3204e+29,1.0478e+29,4.4050e+27,1.8800e+27,3.4540e+27,3.5390e+27,53.9,45.0,0.5,0.6,1.1920e+30,1.1728e+30,1.3853e+28,5.3400e+27,1.7322e+28,0.0000e+00,98.4,1.2,0.4,4.0169e+28,0.0337
136,1.2250e+30,6.5753e+29,5.5411e+29,6.2770e+27,7.0510e+27,5.9530e+29,6.2223e+28,4.5070e+29,1.0341e+29,4.4040e+27,1.8730e+27,3.4950e+27,3.5560e+27,53.7,45.2,0.5,0.6,1.2247e+30,1.2051e+30,1.4318e+28,5.2370e+27,1.7299e+28,0.0000e+00,98.4,1.2,0.4,4.1184e+28,0.0336
137,1.2452e+30,6.6821e+29,5.6349e+29,6.4850e+27,7.0180e+27,6.0601e+29,6.2202e+28,4.6337e+29,1.0012e+29,4.5070e+27,1.9780e+27,3.4950e+27,3.5230e+27,53.7,45.3,0.5,0.6,1.2451e+30,1.2255e+30,1.4575e+28,5.0220e+27,1.7151e+28,0.0000e+00,98.4,1.2,0.4,4.1769e+28,0.0335
138,1.2672e+30,6.7854e+29,5.7405e+29,7.5680e+27,7.0190e+27,6.1206e+29,6.6481e+28,4.6431e+29,1.0974e+29,5.5610e+27,2.0070e+27,3.4880e+27,3.5310e+27,53.5,45.3,0.6,0.6,1.2667e+30,1.2468e+30,1.4838e+28,5.0100e+27,1.7009e+28,0.0000e+00,98.4,1.2,0.4,4.2991e+28,0.0339
139,1.2978e+30,6.9196e+29,5.9094e+29,7.8380e+27,7.0300e+27,6.2524e+29,6.6722e+28,4.7942e+29,1.1152e+29,5.8110e+27,2.0270e+27,3.5630e+27,3.4670e+27,53.3,45.5,0.6,0.5,1.2974e+30,1.2771e+30,1.5095e+28,5.1400e+27,1.6931e+28,0.0000e+00,98.4,1.2,0.4,4.4162e+28,0.0340
140,1.3321e+30,7.0785e+29,6.0944e+29,7.7310e+27,7.0410e+27,6.3981e+29,6.8039e+28,4.9851e+29,1.1093e+29,5.6590e+27,2.0720e+27,3.5290e+27,3.5120e+27,53.1,45.8,0.6,0.5,1.3313e+30,1.3108e+30,1.5387e+28,5.0860e+27,1.6856e+28,0.0000e+00,98.5,1.2,0.4,4.6005e+28,0.0346
