filename,cts2MR
MERCURY1_tr.totfib_sft-05,-7.84382288e+27
MERCURY1_tr.totfib_sft005,-7.84947471e+27
MERCURY1_tr.totfib_sft015,-7.85560031e+27
MERCURY2_tr.totfib_sft-05,3.90180721e+28
MERCURY2_tr.totfib_sft005,3.93924932e+28
MERCURY2_tr.totfib_sft015,3.82334335e+28
MERCURY3_tr.totfib_sft-05,4.05296945e+28
MERCURY3_tr.totfib_sft005,4.07536706e+28
MERCURY3_tr.totfib_sft015,4.10471749e+28
MERCURY4_tr.totfib_sft-05,-1.26013915e+28
MERCURY4_tr.totfib_sft005,-1.27177968e+28
MERCURY4_tr.totfib_sft015,-1.27286034e+28
MERCURY5_tr.totfib_sft-05,3.08530825e+28
MERCURY5_tr.totfib_sft005,3.13600002e+28
MERCURY5_tr.totfib_sft015,3.12938105e+28
MERCURY6_tr.totfib_sft-05,-8.14170549e+27
MERCURY6_tr.totfib_sft005,-8.13722091e+27
MERCURY6_tr.totfib_sft015,-8.13580161e+27
MERCURY7_tr.totfib_sft-05,-1.14443913e+28
MERCURY7_tr.totfib_sft005,-1.13731724e+28
MERCURY7_tr.totfib_sft015,-1.09763024e+28
MERCURY8_tr.totfib_sft-05,-5.78812985e+27
MERCURY8_tr.totfib_sft005,-5.80935577e+27
MERCURY8_tr.totfib_sft015,-5.83263306e+27
MERCURY9_tr.totfib_sft-05,-1.25747263e+28
MERCURY9_tr.totfib_sft005,-1.26991139e+28
MERCURY9_tr.totfib_sft015,-1.28085286e+28
MERCURY10_tr.totfib_sft-05,-6.79848139e+27
MERCURY10_tr.totfib_sft005,-6.74796967e+27
MERCURY10_tr.totfib_sft015,-6.69559207e+27
MERCURY11_tr.totfib_sft-05,-8.91383763e+27
MERCURY11_tr.totfib_sft005,-8.97693505e+27
MERCURY11_tr.totfib_sft015,-9.03403306e+27
MERCURY12_tr.totfib_sft-05,1.38337292e+28
MERCURY12_tr.totfib_sft005,1.39573514e+28
MERCURY12_tr.totfib_sft015,1.32088558e+28
