# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 1.1046e+29 8.3323e+28 0.000017 589.644355
2 8.5369e+29 1.6153e+30 0.000008 589.854060
3 5.6195e+29 3.0688e+29 0.000000 589.644349
4 2.5339e+29 1.5137e+29 0.000000 589.728668
5 5.0614e+29 3.8716e+29 0.000026 589.819365
6 1.6288e+29 9.5602e+28 0.000000 589.741879
7 1.9527e+29 1.4592e+29 0.000061 589.780391
8 8.6579e+28 4.5548e+28 0.000001 589.835470
9 4.4227e+29 2.9392e+29 0.000000 589.651013
10 1.0727e+29 8.5115e+28 0.000021 589.865099
11 2.5675e+29 1.5132e+29 0.000003 589.748311
12 5.2323e+29 2.7199e+29 0.000004 589.820850
