TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.5549e+29,1.8498e+29,6.6082e+29,2.8976e+27,6.7804e+27,1.1759e+29,6.7397e+28,3.4680e+29,3.1403e+29,1.5221e+27,1.3755e+27,3.3834e+27,3.3970e+27,21.6,77.2,0.3,0.8,8.5531e+29,8.2851e+29,2.6233e+28,5.7370e+26,3.4613e+28,0.0000e+00,96.9,3.1,0.1
1,8.6412e+29,1.8609e+29,6.6825e+29,2.9557e+27,6.8278e+27,1.1793e+29,6.8163e+28,3.5000e+29,3.1825e+29,1.5578e+27,1.3979e+27,3.4118e+27,3.4160e+27,21.5,77.3,0.3,0.8,8.6403e+29,8.3690e+29,2.6538e+28,5.9480e+26,3.4860e+28,0.0000e+00,96.9,3.1,0.1
2,8.5950e+29,1.8440e+29,6.6540e+29,2.9313e+27,6.7765e+27,1.1644e+29,6.7964e+28,3.4769e+29,3.1771e+29,1.5212e+27,1.4101e+27,3.4094e+27,3.3671e+27,21.5,77.4,0.3,0.8,8.5938e+29,8.3237e+29,2.6417e+28,5.9090e+26,3.4592e+28,0.0000e+00,96.9,3.1,0.1
3,8.6010e+29,1.8393e+29,6.6646e+29,2.9426e+27,6.7757e+27,1.1571e+29,6.8224e+28,3.4791e+29,3.1855e+29,1.5507e+27,1.3919e+27,3.3606e+27,3.4151e+27,21.4,77.5,0.3,0.8,8.6010e+29,8.3300e+29,2.6499e+28,6.0550e+26,3.4572e+28,0.0000e+00,96.8,3.1,0.1
4,8.6060e+29,1.8346e+29,6.6742e+29,2.9561e+27,6.7728e+27,1.1503e+29,6.8429e+28,3.4815e+29,3.1927e+29,1.5258e+27,1.4303e+27,3.4104e+27,3.3624e+27,21.3,77.6,0.3,0.8,8.6059e+29,8.3355e+29,2.6414e+28,6.2800e+26,3.4545e+28,0.0000e+00,96.9,3.1,0.1
5,8.6713e+29,1.8444e+29,6.7288e+29,2.9899e+27,6.8189e+27,1.1526e+29,6.9186e+28,3.5081e+29,3.2207e+29,1.5646e+27,1.4253e+27,3.4181e+27,3.4008e+27,21.3,77.6,0.3,0.8,8.6710e+29,8.3981e+29,2.6643e+28,6.4370e+26,3.4765e+28,0.0000e+00,96.9,3.1,0.1
6,8.5905e+29,1.8256e+29,6.6676e+29,2.9563e+27,6.7656e+27,1.1371e+29,6.8854e+28,3.4660e+29,3.2016e+29,1.5443e+27,1.4120e+27,3.3540e+27,3.4116e+27,21.3,77.6,0.3,0.8,8.5918e+29,8.3202e+29,2.6494e+28,6.6210e+26,3.4470e+28,0.0000e+00,96.8,3.1,0.1
7,8.6374e+29,1.8331e+29,6.7063e+29,2.9825e+27,6.8101e+27,1.1375e+29,6.9560e+28,3.4833e+29,3.2231e+29,1.5646e+27,1.4179e+27,3.3909e+27,3.4192e+27,21.2,77.6,0.3,0.8,8.6387e+29,8.3667e+29,2.6510e+28,6.8850e+26,3.4676e+28,0.0000e+00,96.9,3.1,0.1
8,8.5541e+29,1.8134e+29,6.6434e+29,2.9671e+27,6.7552e+27,1.1218e+29,6.9167e+28,3.4430e+29,3.2004e+29,1.5452e+27,1.4219e+27,3.3903e+27,3.3649e+27,21.2,77.7,0.3,0.8,8.5556e+29,8.2875e+29,2.6100e+28,7.0230e+26,3.4369e+28,0.0000e+00,96.9,3.1,0.1
9,8.5957e+29,1.8205e+29,6.6773e+29,2.9936e+27,6.7987e+27,1.1230e+29,6.9746e+28,3.4598e+29,3.2175e+29,1.5653e+27,1.4283e+27,3.3931e+27,3.4056e+27,21.2,77.7,0.3,0.8,8.5973e+29,8.3279e+29,2.6217e+28,7.2390e+26,3.4561e+28,0.0000e+00,96.9,3.0,0.1
10,8.5640e+29,1.8138e+29,6.6525e+29,2.9846e+27,6.7923e+27,1.1158e+29,6.9795e+28,3.4433e+29,3.2092e+29,1.5731e+27,1.4115e+27,3.3946e+27,3.3977e+27,21.2,77.7,0.3,0.8,8.5656e+29,8.2977e+29,2.6032e+28,7.6090e+26,3.4493e+28,0.0000e+00,96.9,3.0,0.1
11,8.5298e+29,1.8073e+29,6.6248e+29,2.9988e+27,6.7843e+27,1.1080e+29,6.9930e+28,3.4263e+29,3.1984e+29,1.5721e+27,1.4267e+27,3.3917e+27,3.3926e+27,21.2,77.7,0.4,0.8,8.5332e+29,8.2674e+29,2.5777e+28,8.0310e+26,3.4419e+28,0.0000e+00,96.9,3.0,0.1
12,8.4913e+29,1.8009e+29,6.5927e+29,2.9947e+27,6.7770e+27,1.1009e+29,7.0006e+28,3.4031e+29,3.1896e+29,1.5571e+27,1.4376e+27,3.3881e+27,3.3889e+27,21.2,77.6,0.4,0.8,8.4947e+29,8.2301e+29,2.5622e+28,8.3700e+26,3.4338e+28,0.0000e+00,96.9,3.0,0.1
13,8.5013e+29,1.8063e+29,6.5967e+29,3.0219e+27,6.8177e+27,1.1004e+29,7.0584e+28,3.3991e+29,3.1976e+29,1.5822e+27,1.4397e+27,3.4178e+27,3.3999e+27,21.2,77.6,0.4,0.8,8.5040e+29,8.2390e+29,2.5612e+28,8.9250e+26,3.4501e+28,0.0000e+00,96.9,3.0,0.1
14,8.3975e+29,1.7863e+29,6.5140e+29,2.9664e+27,6.7583e+27,1.0853e+29,7.0096e+28,3.3535e+29,3.1606e+29,1.5595e+27,1.4069e+27,3.3705e+27,3.3878e+27,21.3,77.6,0.4,0.8,8.4004e+29,8.1401e+29,2.5087e+28,9.4550e+26,3.4157e+28,0.0000e+00,96.9,3.0,0.1
15,8.3989e+29,1.7917e+29,6.5092e+29,3.0014e+27,6.7982e+27,1.0861e+29,7.0562e+28,3.3485e+29,3.1607e+29,1.5566e+27,1.4448e+27,3.4227e+27,3.3755e+27,21.3,77.5,0.4,0.8,8.4034e+29,8.1430e+29,2.5001e+28,1.0433e+27,3.4306e+28,0.0000e+00,96.9,3.0,0.1
16,8.3256e+29,1.7833e+29,6.4448e+29,2.9644e+27,6.7877e+27,1.0777e+29,7.0561e+28,3.3150e+29,3.1297e+29,1.5472e+27,1.4172e+27,3.3882e+27,3.3995e+27,21.4,77.4,0.4,0.8,8.3304e+29,8.0720e+29,2.4695e+28,1.1477e+27,3.4199e+28,0.0000e+00,96.9,3.0,0.1
17,8.2636e+29,1.7740e+29,6.3920e+29,2.9771e+27,6.7759e+27,1.0699e+29,7.0406e+28,3.2849e+29,3.1072e+29,1.5629e+27,1.4142e+27,3.4084e+27,3.3675e+27,21.5,77.4,0.4,0.8,8.2688e+29,8.0142e+29,2.4212e+28,1.2473e+27,3.4086e+28,0.0000e+00,96.9,2.9,0.2
18,8.2446e+29,1.7789e+29,6.3674e+29,3.0113e+27,6.8128e+27,1.0703e+29,7.0861e+28,3.2705e+29,3.0969e+29,1.5692e+27,1.4421e+27,3.3917e+27,3.4211e+27,21.6,77.2,0.4,0.8,8.2493e+29,7.9956e+29,2.4019e+28,1.3573e+27,3.4212e+28,0.0000e+00,96.9,2.9,0.2
19,8.1522e+29,1.7699e+29,6.2845e+29,2.9838e+27,6.8011e+27,1.0623e+29,7.0751e+28,3.2200e+29,3.0645e+29,1.5553e+27,1.4285e+27,3.4194e+27,3.3817e+27,21.7,77.1,0.4,0.8,8.1584e+29,7.9082e+29,2.3550e+28,1.4735e+27,3.4085e+28,0.0000e+00,96.9,2.9,0.2
20,8.0557e+29,1.7593e+29,6.1989e+29,2.9577e+27,6.7877e+27,1.0539e+29,7.0541e+28,3.1754e+29,3.0235e+29,1.5503e+27,1.4074e+27,3.3962e+27,3.3915e+27,21.8,77.0,0.4,0.8,8.0619e+29,7.8144e+29,2.3103e+28,1.6453e+27,3.3953e+28,0.0000e+00,96.9,2.9,0.2
21,7.9581e+29,1.7488e+29,6.1125e+29,2.9132e+27,6.7739e+27,1.0454e+29,7.0336e+28,3.1284e+29,2.9841e+29,1.5111e+27,1.4021e+27,3.3946e+27,3.3793e+27,22.0,76.8,0.4,0.9,7.9648e+29,7.7213e+29,2.2563e+28,1.7901e+27,3.3814e+28,0.0000e+00,96.9,2.8,0.2
22,7.9012e+29,1.7512e+29,6.0525e+29,2.9379e+27,6.8079e+27,1.0443e+29,7.0694e+28,3.0937e+29,2.9588e+29,1.5291e+27,1.4088e+27,3.3851e+27,3.4228e+27,22.2,76.6,0.4,0.9,7.9085e+29,7.6678e+29,2.2132e+28,1.9390e+27,3.3912e+28,0.0000e+00,97.0,2.8,0.2
23,7.7811e+29,1.7395e+29,5.9445e+29,2.9083e+27,6.7926e+27,1.0363e+29,7.0320e+28,3.0356e+29,2.9089e+29,1.5326e+27,1.3757e+27,3.3908e+27,3.4018e+27,22.4,76.4,0.4,0.9,7.7896e+29,7.5526e+29,2.1575e+28,2.1181e+27,3.3761e+28,0.0000e+00,97.0,2.8,0.3
24,7.7198e+29,1.7393e+29,5.8832e+29,2.9113e+27,6.8250e+27,1.0344e+29,7.0489e+28,3.0066e+29,2.8767e+29,1.5098e+27,1.4015e+27,3.3940e+27,3.4310e+27,22.5,76.2,0.4,0.9,7.7267e+29,7.4931e+29,2.1038e+28,2.3240e+27,3.3843e+28,0.0000e+00,97.0,2.7,0.3
25,7.5297e+29,1.7146e+29,5.7188e+29,2.8718e+27,6.7597e+27,1.0179e+29,6.9671e+28,2.9206e+29,2.7982e+29,1.5121e+27,1.3597e+27,3.3949e+27,3.3648e+27,22.8,75.9,0.4,0.9,7.5394e+29,7.3119e+29,2.0285e+28,2.4696e+27,3.3441e+28,0.0000e+00,97.0,2.7,0.3
26,7.4463e+29,1.7129e+29,5.6367e+29,2.8827e+27,6.7912e+27,1.0158e+29,6.9707e+28,2.8724e+29,2.7643e+29,1.5049e+27,1.3778e+27,3.3765e+27,3.4147e+27,23.0,75.7,0.4,0.9,7.4549e+29,7.2298e+29,1.9784e+28,2.7226e+27,3.3511e+28,0.0000e+00,97.0,2.7,0.4
27,7.3473e+29,1.7102e+29,5.5406e+29,2.8323e+27,6.8218e+27,1.0134e+29,6.9686e+28,2.8221e+29,2.7184e+29,1.4596e+27,1.3727e+27,3.4107e+27,3.4111e+27,23.3,75.4,0.4,0.9,7.3565e+29,7.1343e+29,1.9284e+28,2.9431e+27,3.3572e+28,0.0000e+00,97.0,2.6,0.4
28,7.1996e+29,1.6958e+29,5.4074e+29,2.8338e+27,6.8034e+27,1.0038e+29,6.9205e+28,2.7549e+29,2.6525e+29,1.4764e+27,1.3574e+27,3.4145e+27,3.3889e+27,23.6,75.1,0.4,0.9,7.2089e+29,6.9919e+29,1.8600e+28,3.1076e+27,3.3390e+28,0.0000e+00,97.0,2.6,0.4
29,7.0501e+29,1.6818e+29,5.2727e+29,2.7701e+27,6.7837e+27,9.9458e+28,6.8727e+28,2.6848e+29,2.5879e+29,1.4458e+27,1.3243e+27,3.3959e+27,3.3878e+27,23.9,74.8,0.4,1.0,7.0584e+29,6.8466e+29,1.7883e+28,3.2910e+27,3.3203e+28,0.0000e+00,97.0,2.5,0.5
30,6.9544e+29,1.6774e+29,5.1813e+29,2.7550e+27,6.8125e+27,9.9142e+28,6.8593e+28,2.6391e+29,2.5422e+29,1.4317e+27,1.3233e+27,3.3969e+27,3.4156e+27,24.1,74.5,0.4,1.0,6.9632e+29,6.7546e+29,1.7380e+28,3.4809e+27,3.3244e+28,0.0000e+00,97.0,2.5,0.5
31,6.7961e+29,1.6604e+29,5.0405e+29,2.7238e+27,6.7923e+27,9.8124e+28,6.7919e+28,2.5663e+29,2.4742e+29,1.4134e+27,1.3104e+27,3.3973e+27,3.3950e+27,24.4,74.2,0.4,1.0,6.8053e+29,6.6022e+29,1.6653e+28,3.6582e+27,3.3046e+28,0.0000e+00,97.0,2.4,0.5
32,6.6896e+29,1.6556e+29,4.9387e+29,2.7128e+27,6.8179e+27,9.7813e+28,6.7749e+28,2.5113e+29,2.4274e+29,1.4041e+27,1.3087e+27,3.4356e+27,3.3823e+27,24.7,73.8,0.4,1.0,6.6975e+29,6.4981e+29,1.6120e+28,3.8260e+27,3.3072e+28,0.0000e+00,97.0,2.4,0.6
33,6.5492e+29,1.6396e+29,4.8150e+29,2.6612e+27,6.7959e+27,9.6826e+28,6.7138e+28,2.4539e+29,2.3611e+29,1.3789e+27,1.2823e+27,3.3939e+27,3.4020e+27,25.0,73.5,0.4,1.0,6.5568e+29,6.3613e+29,1.5572e+28,3.9802e+27,3.2863e+28,0.0000e+00,97.0,2.4,0.6
34,6.4470e+29,1.6339e+29,4.7183e+29,2.6524e+27,6.8217e+27,9.6539e+28,6.6849e+28,2.4039e+29,2.3145e+29,1.3629e+27,1.2895e+27,3.4130e+27,3.4087e+27,25.3,73.2,0.4,1.1,6.4546e+29,6.2622e+29,1.5091e+28,4.1575e+27,3.2875e+28,0.0000e+00,97.0,2.3,0.6
35,6.3148e+29,1.6171e+29,4.6035e+29,2.6251e+27,6.7987e+27,9.5617e+28,6.6093e+28,2.3458e+29,2.2577e+29,1.3500e+27,1.2751e+27,3.4113e+27,3.3874e+27,25.6,72.9,0.4,1.1,6.3222e+29,6.1335e+29,1.4558e+28,4.3121e+27,3.2655e+28,0.0000e+00,97.0,2.3,0.7
36,6.2177e+29,1.6119e+29,4.5120e+29,2.5662e+27,6.8224e+27,9.5344e+28,6.5842e+28,2.3010e+29,2.2110e+29,1.3172e+27,1.2490e+27,3.4166e+27,3.4058e+27,25.9,72.6,0.4,1.1,6.2248e+29,6.0395e+29,1.4134e+28,4.3952e+27,3.2654e+28,0.0000e+00,97.0,2.3,0.7
37,6.0863e+29,1.5960e+29,4.3968e+29,2.5436e+27,6.7979e+27,9.4445e+28,6.5159e+28,2.2402e+29,2.1567e+29,1.3231e+27,1.2205e+27,3.3929e+27,3.4050e+27,26.2,72.2,0.4,1.1,6.0917e+29,5.9107e+29,1.3602e+28,4.4932e+27,3.2423e+28,0.0000e+00,97.0,2.2,0.7
