Time_hours,TAA,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
4222.583333333333,0.0010959244020796177,7.190000000000236e+27,8.990000000000046e+26,6.228000000000232e+27,1.2999999999999997e+25,5.000000000000004e+25,7.194000000000421e+27,6.983000000000421e+27,2.1100000000000012e+26,0.0,2.5451251629718744e+26,0.0
4226.361111111111,1.000143053492593,7.155000000000236e+27,8.810000000000049e+26,6.221000000000231e+27,3e+24,5.000000000000004e+25,7.093000000000413e+27,6.883000000000413e+27,2.080000000000001e+26,2e+24,2.544875594223672e+26,0.0
4230.166666666667,2.0064314968321924,7.255000000000243e+27,8.90000000000005e+26,6.308000000000238e+27,7e+24,5.000000000000004e+25,6.968000000000405e+27,6.766000000000404e+27,2e+26,2e+24,2.5441187243294155e+26,0.0
4233.944444444444,3.005166021757532,7.150000000000235e+27,8.750000000000049e+26,6.218000000000231e+27,6.999999999999999e+24,5.000000000000004e+25,7.17400000000042e+27,6.955000000000419e+27,2.180000000000002e+26,1e+24,2.5428776784083954e+26,0.0
4237.722222222223,4.003589044860746,7.086000000000231e+27,8.730000000000048e+26,6.157000000000226e+27,6e+24,5.000000000000004e+25,7.152000000000418e+27,6.948000000000418e+27,2.0300000000000004e+26,1e+24,2.5411172999374984e+26,0.0
4241.5,5.001597584983756,7.152000000000236e+27,8.640000000000047e+26,6.231000000000232e+27,7e+24,5.000000000000004e+25,7.18600000000042e+27,6.956000000000419e+27,2.290000000000003e+26,1e+24,2.5388886276260586e+26,0.0
4245.305555555556,6.006422088249792,7.038000000000229e+27,8.470000000000046e+26,6.135000000000225e+27,6e+24,5.000000000000004e+25,7.136000000000416e+27,6.915000000000416e+27,2.200000000000002e+26,1e+24,2.536130441373001e+26,0.0
4249.083333333333,7.003289860718496,7.116000000000235e+27,8.390000000000045e+26,6.220000000000231e+27,7e+24,5.000000000000004e+25,7.100000000000415e+27,6.909000000000415e+27,1.9099999999999992e+26,0.0,2.53292205118022e+26,0.0
4252.888888888889,8.006756879660315,7.068000000000231e+27,8.520000000000046e+26,6.162000000000227e+27,4e+24,5.000000000000004e+25,7.024000000000408e+27,6.817000000000408e+27,2.0500000000000006e+26,2e+24,2.5291728116249468e+26,0.0
4256.666666666667,9.002073590414739,6.964000000000222e+27,8.580000000000046e+26,6.042000000000217e+27,1.3999999999999997e+25,5.000000000000004e+25,7.155000000000419e+27,6.959000000000419e+27,1.9199999999999993e+26,4e+24,2.5249737264709565e+26,0.0
4260.472222222223,10.003773717557806,6.964000000000224e+27,8.200000000000042e+26,6.07800000000022e+27,1.5999999999999995e+25,5.000000000000004e+25,7.015000000000406e+27,6.795000000000406e+27,2.190000000000002e+26,1e+24,2.520280253613314e+26,0.0
4264.277777777777,11.004434652387545,6.924000000000221e+27,8.300000000000043e+26,6.035000000000217e+27,9.999999999999999e+24,4.9000000000000035e+25,6.946000000000399e+27,6.682000000000397e+27,2.6000000000000062e+26,4e+24,2.515108934181629e+26,0.0
4268.083333333333,12.003955662471753,6.895000000000221e+27,8.110000000000042e+26,6.029000000000216e+27,4.999999999999999e+24,5.000000000000004e+25,6.997000000000406e+27,6.778000000000405e+27,2.1400000000000015e+26,4.999999999999999e+24,2.5094325292514163e+26,0.0
4271.888888888889,13.002235858194808,6.838000000000215e+27,8.240000000000043e+26,5.958000000000211e+27,5.999999999999999e+24,5.000000000000004e+25,6.874000000000397e+27,6.672000000000397e+27,1.98e+26,4e+24,2.503329638879995e+26,0.0
4275.722222222223,14.006450872287132,6.825000000000214e+27,8.170000000000043e+26,5.95100000000021e+27,7.999999999999998e+24,4.9000000000000035e+25,6.829000000000396e+27,6.659000000000396e+27,1.6599999999999966e+26,4e+24,2.496683880161431e+26,0.0
4279.527777777777,15.001944185288949,6.778000000000212e+27,8.080000000000041e+26,5.913000000000207e+27,8e+24,4.9000000000000035e+25,6.767000000000388e+27,6.563000000000388e+27,1.9699999999999998e+26,6.999999999999998e+24,2.489642130290767e+26,0.0
4283.361111111111,16.00315498289683,6.6350000000002e+27,8.170000000000043e+26,5.764000000000195e+27,4.999999999999999e+24,4.9000000000000035e+25,6.571000000000376e+27,6.403000000000375e+27,1.6399999999999964e+26,4e+24,2.48211783964544e+26,0.0
4287.194444444444,17.00270960925377,6.503000000000191e+27,7.85000000000004e+26,5.662000000000187e+27,6.999999999999999e+24,4.9000000000000035e+25,6.550000000000373e+27,6.381000000000374e+27,1.6199999999999962e+26,6.999999999999998e+24,2.4741217842078267e+26,0.0
4291.027777777777,18.000518189391187,6.536000000000192e+27,7.96000000000004e+26,5.676000000000188e+27,1.4999999999999996e+25,4.9000000000000035e+25,6.377000000000359e+27,6.190000000000359e+27,1.8199999999999983e+26,4.999999999999999e+24,2.4657038105293512e+26,0.0
4294.888888888889,19.003688829435532,6.394000000000183e+27,7.85000000000004e+26,5.554000000000179e+27,6e+24,4.9000000000000035e+25,6.374000000000359e+27,6.188000000000359e+27,1.8299999999999984e+26,3e+24,2.4567876214774568e+26,0.0
4298.75,20.00489761822655,6.310000000000177e+27,7.840000000000039e+26,5.473000000000172e+27,4e+24,4.9000000000000035e+25,6.319000000000352e+27,6.116000000000353e+27,1.9299999999999994e+26,9.999999999999997e+24,2.4474560771232278e+26,0.0
4302.611111111111,21.004045584473033,6.245000000000172e+27,7.750000000000038e+26,5.408000000000167e+27,1.2999999999999997e+25,4.9000000000000035e+25,6.242000000000348e+27,6.054000000000348e+27,1.8199999999999983e+26,5.999999999999999e+24,2.4376857799125677e+26,0.0
4306.472222222223,22.001044425954433,6.07600000000016e+27,7.570000000000037e+26,5.262000000000156e+27,8e+24,4.9000000000000035e+25,5.965000000000327e+27,5.791000000000327e+27,1.6699999999999967e+26,6.999999999999998e+24,2.4275424042936935e+26,0.0
4310.361111111111,23.00295261189831,5.948000000000149e+27,7.680000000000037e+26,5.126000000000145e+27,6e+24,4.800000000000003e+25,5.897000000000322e+27,5.726000000000322e+27,1.6499999999999965e+26,5.999999999999999e+24,2.416926439160358e+26,0.0
4314.25,24.00249621018679,5.785000000000136e+27,7.510000000000036e+26,4.973000000000133e+27,1.2999999999999997e+25,4.800000000000003e+25,5.804000000000313e+27,5.621000000000314e+27,1.709999999999997e+26,1.1999999999999996e+25,2.4058972904462722e+26,0.0
4318.166666666667,25.006703898765636,5.795000000000137e+27,7.660000000000037e+26,4.977000000000133e+27,4e+24,4.800000000000003e+25,5.87100000000032e+27,5.717000000000321e+27,1.4299999999999962e+26,1.0999999999999996e+25,2.3944273322434067e+26,0.0
4322.055555555556,26.001246750611926,5.623000000000125e+27,7.440000000000035e+26,4.821000000000121e+27,9.999999999999999e+24,4.800000000000003e+25,5.6010000000003e+27,5.459000000000301e+27,1.319999999999997e+26,9.999999999999997e+24,2.382684554174766e+26,0.0
4325.972222222223,27.000242357780508,5.503000000000114e+27,7.550000000000036e+26,4.6910000000001107e+27,8.999999999999999e+24,4.800000000000003e+25,5.408000000000284e+27,5.254000000000285e+27,1.4299999999999962e+26,1.0999999999999996e+25,2.3704626343200974e+26,0.0
4329.916666666667,28.00355196748592,5.309000000000102e+27,7.300000000000033e+26,4.5250000000000976e+27,6e+24,4.800000000000003e+25,5.300000000000275e+27,5.143000000000276e+27,1.3399999999999968e+26,2.3e+25,2.3578381006376498e+26,0.0
4333.861111111111,29.003999896737696,5.216000000000092e+27,7.510000000000036e+26,4.4080000000000883e+27,8.999999999999999e+24,4.800000000000003e+25,5.287000000000275e+27,5.132000000000275e+27,1.3499999999999967e+26,1.9999999999999993e+25,2.344847758596909e+26,0.0
4337.805555555556,30.001503965057736,5.037000000000079e+27,7.420000000000034e+26,4.2350000000000747e+27,1.1999999999999998e+25,4.800000000000003e+25,5.155000000000265e+27,5.005000000000265e+27,1.2999999999999971e+26,1.9999999999999993e+25,2.3315560599642674e+26,0.0
4341.777777777777,31.00297881912138,4.9360000000000717e+27,7.290000000000034e+26,4.153000000000068e+27,6.999999999999999e+24,4.700000000000003e+25,4.987000000000254e+27,4.865000000000254e+27,9.599999999999995e+25,2.6000000000000003e+25,2.317839832129542e+26,0.0
4345.75,32.00131064950756,4.764000000000058e+27,7.260000000000033e+26,3.986000000000055e+27,4e+24,4.800000000000003e+25,4.7290000000002335e+27,4.607000000000234e+27,1.0799999999999986e+26,1.3999999999999994e+25,2.303814720433717e+26,0.0
4349.75,33.0033715716736,4.757000000000057e+27,7.300000000000033e+26,3.973000000000054e+27,6.999999999999999e+24,4.700000000000003e+25,4.689000000000229e+27,4.5540000000002296e+27,1.1499999999999981e+26,1.9999999999999993e+25,2.2894062041622328e+26,0.0
4353.75,34.00209464047202,4.5510000000000413e+27,7.190000000000033e+26,3.7740000000000383e+27,1.0999999999999998e+25,4.700000000000003e+25,4.629000000000226e+27,4.512000000000226e+27,9.799999999999993e+25,1.8999999999999992e+25,2.2747158421425073e+26,0.0
4357.777777777777,35.004308904588925,4.437000000000033e+27,7.160000000000032e+26,3.6650000000000297e+27,8.999999999999998e+24,4.700000000000003e+25,4.4650000000002127e+27,4.3400000000002127e+27,9.199999999999997e+25,3.3000000000000014e+25,2.259632412457894e+26,0.0
4361.805555555556,36.00299563620456,4.4190000000000326e+27,7.00000000000003e+26,3.66700000000003e+27,4.999999999999999e+24,4.700000000000003e+25,4.462000000000214e+27,4.357000000000214e+27,8.600000000000002e+25,1.8999999999999992e+25,2.244307302802567e+26,0.0
4365.861111111111,37.00493653462354,4.248000000000019e+27,6.99000000000003e+26,3.4950000000000163e+27,8e+24,4.600000000000003e+25,4.2920000000001996e+27,4.1760000000002e+27,8.8e+25,2.8000000000000006e+25,2.2286321632748696e+26,0.0
4369.916666666667,38.00316725351331,4.264000000000021e+27,6.96000000000003e+26,3.5120000000000176e+27,8.999999999999999e+24,4.700000000000003e+25,4.292000000000199e+27,4.1620000000001987e+27,9.999999999999992e+25,3.000000000000001e+25,2.2127138339434695e+26,0.0
4374.0,39.004422376464845,4.092000000000006e+27,7.04000000000003e+26,3.338000000000004e+27,4e+24,4.600000000000003e+25,4.220000000000194e+27,4.103000000000194e+27,8.8e+25,2.9000000000000008e+25,2.1964666742601074e+26,0.0
4378.083333333333,40.001784755388826,4.0890000000000076e+27,6.87000000000003e+26,3.3470000000000046e+27,8.999999999999999e+24,4.600000000000003e+25,4.087000000000183e+27,3.966000000000183e+27,9.499999999999995e+25,2.6000000000000003e+25,2.1800077299460052e+26,0.0
4382.194444444444,41.00194059523369,3.9909999999999993e+27,6.91000000000003e+26,3.2469999999999967e+27,7e+24,4.600000000000003e+25,4.0810000000001835e+27,3.9720000000001837e+27,7.600000000000008e+25,3.3000000000000014e+25,2.1632308449328698e+26,0.0
4386.333333333333,42.00475554432637,3.967999999999997e+27,6.99000000000003e+26,3.2179999999999944e+27,4.999999999999999e+24,4.600000000000003e+25,4.093000000000185e+27,3.986000000000185e+27,8.300000000000004e+25,2.4e+25,2.1461662666044625e+26,0.0
4390.472222222223,43.00339357860844,3.9419999999999955e+27,6.900000000000029e+26,3.198999999999993e+27,7e+24,4.600000000000003e+25,3.962000000000176e+27,3.8700000000001756e+27,6.500000000000006e+25,2.7000000000000004e+25,2.1289344109963617e+26,0.0
4394.638888888889,44.0044677380306,3.7949999999999855e+27,6.790000000000029e+26,3.0659999999999824e+27,4.999999999999999e+24,4.500000000000003e+25,3.840000000000166e+27,3.745000000000166e+27,7.100000000000007e+25,2.4e+25,2.111425667353647e+26,0.0
4398.805555555556,45.001204840855735,3.7499999999999825e+27,6.660000000000027e+26,3.03499999999998e+27,4e+24,4.500000000000003e+25,3.8460000000001666e+27,3.758000000000167e+27,6.100000000000005e+25,2.7000000000000004e+25,2.0937627971824754e+26,0.0
4403.0,46.00016229993025,3.698999999999978e+27,6.720000000000027e+26,2.972999999999975e+27,8.999999999999999e+24,4.500000000000003e+25,3.767000000000159e+27,3.662000000000159e+27,7.200000000000007e+25,3.3000000000000014e+25,2.0758591310957613e+26,0.0
4407.222222222223,47.00119822650868,3.689999999999977e+27,6.800000000000028e+26,2.957999999999974e+27,7.999999999999999e+24,4.400000000000003e+25,3.682000000000152e+27,3.573000000000152e+27,6.8000000000000065e+25,4.100000000000002e+25,2.0577190792302815e+26,0.0
4411.472222222223,48.004184976786746,3.644999999999974e+27,6.700000000000027e+26,2.922999999999971e+27,6.999999999999999e+24,4.500000000000003e+25,3.51700000000014e+27,3.41800000000014e+27,7.300000000000007e+25,2.6000000000000003e+25,2.039347328414292e+26,0.0
4415.722222222223,49.002477970171185,3.624999999999973e+27,6.650000000000027e+26,2.90899999999997e+27,7e+24,4.400000000000003e+25,3.623000000000149e+27,3.535000000000149e+27,7.600000000000008e+25,1.1999999999999996e+25,2.020871566768144e+26,0.0
4420.0,50.002511096343824,3.557999999999967e+27,6.810000000000029e+26,2.8259999999999635e+27,6.999999999999999e+24,4.400000000000003e+25,3.4970000000001385e+27,3.4020000000001387e+27,6.300000000000006e+25,3.2000000000000012e+25,2.002219596088649e+26,0.0
4424.305555555556,51.00415697436438,3.557999999999967e+27,6.760000000000028e+26,2.830999999999964e+27,7e+24,4.400000000000003e+25,3.675000000000152e+27,3.568000000000152e+27,6.900000000000007e+25,3.800000000000002e+25,1.983353242919976e+26,0.0
4428.611111111111,52.00087129652252,3.4869999999999623e+27,6.610000000000027e+26,2.7749999999999595e+27,6.999999999999999e+24,4.400000000000003e+25,3.474000000000137e+27,3.382000000000137e+27,6.100000000000005e+25,3.100000000000001e+25,1.9644393890363867e+26,0.0
4432.972222222223,53.00538731754773,3.449999999999959e+27,6.680000000000027e+26,2.729999999999956e+27,8e+24,4.400000000000003e+25,3.465000000000136e+27,3.369000000000136e+27,6.100000000000005e+25,3.5000000000000017e+25,1.9452325507787526e+26,0.0
4437.333333333333,54.004782951806874,3.441999999999959e+27,6.650000000000027e+26,2.7259999999999556e+27,8e+24,4.3000000000000026e+25,3.5530000000001424e+27,3.4530000000001427e+27,6.700000000000006e+25,3.3000000000000014e+25,1.9260085178396155e+26,0.0
4441.722222222223,55.005345277348624,3.4619999999999587e+27,6.87000000000003e+26,2.7239999999999554e+27,7.999999999999999e+24,4.3000000000000026e+25,3.273000000000123e+27,3.1970000000001225e+27,5.900000000000005e+25,1.6999999999999993e+25,1.9066402350534608e+26,0.0
4446.111111111111,56.00066651191446,3.368999999999953e+27,6.650000000000027e+26,2.65399999999995e+27,6.999999999999999e+24,4.3000000000000026e+25,3.3900000000001306e+27,3.2980000000001305e+27,6.500000000000006e+25,2.7000000000000004e+25,1.8872509233857567e+26,0.0
4450.555555555556,57.00322866523561,3.428999999999958e+27,6.660000000000027e+26,2.717999999999955e+27,2e+24,4.3000000000000026e+25,3.4180000000001334e+27,3.3350000000001334e+27,5.5000000000000045e+25,2.8000000000000006e+25,1.8676435638976536e+26,0.0
4455.0,58.00038066714569,3.3369999999999516e+27,6.450000000000025e+26,2.644999999999949e+27,4e+24,4.3000000000000026e+25,3.3400000000001283e+27,3.270000000000128e+27,4.400000000000003e+25,2.6000000000000003e+25,1.8480459229654104e+26,0.0
4459.5,59.004462181813096,3.320999999999949e+27,6.610000000000027e+26,2.6109999999999465e+27,7e+24,4.200000000000002e+25,3.3680000000001294e+27,3.282000000000129e+27,5.100000000000004e+25,3.5000000000000017e+25,1.8282454340237883e+26,0.0
4464.0,60.00296962518564,3.321999999999951e+27,6.390000000000025e+26,2.6369999999999486e+27,4e+24,4.200000000000002e+25,3.323000000000125e+27,3.227000000000125e+27,5.600000000000005e+25,4.000000000000002e+25,1.808465289602426e+26,0.0
4468.527777777777,61.001995951870185,3.292999999999948e+27,6.470000000000025e+26,2.5969999999999454e+27,7e+24,4.200000000000002e+25,3.368000000000129e+27,3.2750000000001287e+27,5.800000000000005e+25,3.5000000000000017e+25,1.788648146635372e+26,0.0
4473.083333333333,62.00143655237321,3.2329999999999467e+27,6.710000000000028e+26,2.508999999999944e+27,1.0999999999999998e+25,4.200000000000002e+25,3.196000000000116e+27,3.1100000000001156e+27,5.600000000000005e+25,3.000000000000001e+25,1.7687584509740176e+26,0.0
4477.666666666667,63.00117741705503,3.1829999999999493e+27,6.430000000000025e+26,2.493999999999947e+27,4e+24,4.200000000000002e+25,3.152000000000113e+27,3.077000000000113e+27,6.000000000000005e+25,1.4999999999999994e+25,1.748829293102719e+26,0.0
4482.277777777777,64.00110962098734,3.2199999999999534e+27,6.490000000000026e+26,2.522999999999951e+27,7e+24,4.100000000000002e+25,3.1700000000001143e+27,3.089000000000114e+27,5.900000000000005e+25,2.1999999999999996e+25,1.7288676843896518e+26,0.0
4486.916666666667,65.00112995338736,3.195999999999941e+27,6.380000000000024e+26,2.512999999999939e+27,4e+24,4.100000000000002e+25,3.174000000000115e+27,3.1090000000001156e+27,4.000000000000002e+25,2.5e+25,1.7088852915498854e+26,0.0
4491.583333333333,66.00113591499576,3.1939999999999414e+27,6.480000000000025e+26,2.499999999999939e+27,4.999999999999999e+24,4.100000000000002e+25,3.24800000000012e+27,3.16400000000012e+27,5.000000000000004e+25,3.4000000000000016e+25,1.6888952432041697e+26,0.0
4496.277777777777,67.0010257373533,3.118999999999942e+27,6.630000000000027e+26,2.4099999999999397e+27,4.999999999999999e+24,4.100000000000002e+25,3.098000000000108e+27,3.0190000000001085e+27,4.700000000000003e+25,3.2000000000000012e+25,1.6689010842132976e+26,0.0
4501.0,68.0007005237228,3.184999999999941e+27,7.030000000000031e+26,2.4349999999999384e+27,6.999999999999999e+24,4.000000000000002e+25,3.1790000000001156e+27,3.1070000000001154e+27,4.800000000000003e+25,2.4e+25,1.6489211943448672e+26,0.0
4505.75,69.00006261103294,3.1359999999999423e+27,6.840000000000028e+26,2.40599999999994e+27,6e+24,4.000000000000002e+25,3.1040000000001086e+27,3.0190000000001085e+27,5.900000000000005e+25,2.6000000000000003e+25,1.628975357340712e+26,0.0
4510.555555555556,70.00480720848282,3.1729999999999425e+27,7.080000000000031e+26,2.4149999999999393e+27,9.999999999999999e+24,4.000000000000002e+25,3.1430000000001133e+27,3.077000000000113e+27,3.700000000000002e+25,2.9000000000000008e+25,1.6089452913163566e+26,0.0
4515.361111111111,71.00323475228197,3.165999999999943e+27,7.180000000000032e+26,2.40399999999994e+27,4.999999999999999e+24,3.900000000000002e+25,3.149000000000113e+27,3.075000000000113e+27,4.3000000000000026e+25,3.100000000000001e+25,1.5890802397566336e+26,0.0
4520.194444444444,72.00107065232828,3.1209999999999466e+27,7.250000000000033e+26,2.3499999999999433e+27,7e+24,3.900000000000002e+25,3.1580000000001123e+27,3.0710000000001126e+27,5.5000000000000045e+25,3.2000000000000012e+25,1.5692742289604595e+26,0.0
4525.083333333333,73.00392102617843,3.07799999999995e+27,7.440000000000035e+26,2.287999999999947e+27,6.999999999999998e+24,3.900000000000002e+25,3.131000000000112e+27,3.0570000000001115e+27,3.800000000000002e+25,3.600000000000002e+25,1.549428175532967e+26,0.0
