TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
186,4.2162e+30,9.5769e+29,3.2218e+30,2.9658e+28,7.0680e+27,7.8000e+29,1.7769e+29,2.3774e+30,8.4436e+29,2.1066e+28,8.5920e+27,3.5170e+27,3.5510e+27,22.7,76.4,0.7,0.2,4.2159e+30,4.1689e+30,4.2867e+28,4.0850e+27,1.4795e+28,0.0000e+00,98.9,1.0,0.1
187,4.2126e+30,9.5678e+29,3.2191e+30,2.9691e+28,7.0640e+27,7.7716e+29,1.7962e+29,2.3804e+30,8.3870e+29,2.1111e+28,8.5800e+27,3.5260e+27,3.5380e+27,22.7,76.4,0.7,0.2,4.2127e+30,4.1655e+30,4.2810e+28,4.3210e+27,1.4830e+28,0.0000e+00,98.9,1.0,0.1
188,4.2064e+30,9.5484e+29,3.2158e+30,2.8705e+28,7.0860e+27,7.7673e+29,1.7811e+29,2.4129e+30,8.0281e+29,2.0005e+28,8.7000e+27,3.5080e+27,3.5780e+27,22.7,76.4,0.7,0.2,4.2069e+30,4.1604e+30,4.2316e+28,4.1750e+27,1.4870e+28,0.0000e+00,98.9,1.0,0.1
189,4.1893e+30,9.5217e+29,3.2023e+30,2.7780e+28,7.0690e+27,7.7637e+29,1.7580e+29,2.4384e+30,7.6390e+29,1.9184e+28,8.5960e+27,3.5600e+27,3.5090e+27,22.7,76.4,0.7,0.2,4.1895e+30,4.1434e+30,4.2042e+28,4.0610e+27,1.4916e+28,0.0000e+00,98.9,1.0,0.1
190,4.1438e+30,9.4352e+29,3.1638e+30,2.9408e+28,7.0570e+27,7.5937e+29,1.8415e+29,2.3424e+30,8.2135e+29,2.0534e+28,8.8740e+27,3.4780e+27,3.5790e+27,22.8,76.4,0.7,0.2,4.1438e+30,4.0978e+30,4.1849e+28,4.1690e+27,1.4870e+28,0.0000e+00,98.9,1.0,0.1
191,4.1368e+30,9.4445e+29,3.1554e+30,2.9839e+28,7.0710e+27,7.5679e+29,1.8766e+29,2.3249e+30,8.3055e+29,2.0885e+28,8.9540e+27,3.4950e+27,3.5760e+27,22.8,76.3,0.7,0.2,4.1376e+30,4.0917e+30,4.1558e+28,4.3190e+27,1.4973e+28,0.0000e+00,98.9,1.0,0.1
192,4.1001e+30,9.3858e+29,3.1255e+30,2.8906e+28,7.0790e+27,7.5384e+29,1.8474e+29,2.3411e+30,7.8442e+29,1.9934e+28,8.9720e+27,3.5110e+27,3.5680e+27,22.9,76.2,0.7,0.2,4.1007e+30,4.0550e+30,4.1455e+28,4.2120e+27,1.4985e+28,0.0000e+00,98.9,1.0,0.1
193,4.0567e+30,9.3257e+29,3.0892e+30,2.7790e+28,7.0670e+27,7.5074e+29,1.8183e+29,2.3466e+30,7.4260e+29,1.8959e+28,8.8310e+27,3.5570e+27,3.5100e+27,23.0,76.2,0.7,0.2,4.0573e+30,4.0124e+30,4.0691e+28,4.1480e+27,1.5002e+28,0.0000e+00,98.9,1.0,0.1
194,4.0098e+30,9.2617e+29,3.0475e+30,2.9061e+28,7.0640e+27,7.3911e+29,1.8706e+29,2.2740e+30,7.7358e+29,1.9941e+28,9.1200e+27,3.5180e+27,3.5460e+27,23.1,76.0,0.7,0.2,4.0104e+30,3.9660e+30,4.0283e+28,4.1520e+27,1.5024e+28,0.0000e+00,98.9,1.0,0.1
195,3.9730e+30,9.2321e+29,3.0128e+30,2.9985e+28,7.0740e+27,7.3104e+29,1.9217e+29,2.2175e+30,7.9527e+29,2.0818e+28,9.1670e+27,3.4650e+27,3.6090e+27,23.2,75.8,0.8,0.2,3.9736e+30,3.9297e+30,3.9467e+28,4.4320e+27,1.5099e+28,0.0000e+00,98.9,1.0,0.1
196,3.9100e+30,9.1679e+29,2.9574e+30,2.8764e+28,7.0640e+27,7.2825e+29,1.8853e+29,2.2123e+30,7.4514e+29,1.9606e+28,9.1580e+27,3.4650e+27,3.5990e+27,23.4,75.6,0.7,0.2,3.9110e+30,3.8675e+30,3.9213e+28,4.2890e+27,1.5130e+28,0.0000e+00,98.9,1.0,0.1
197,3.8419e+30,9.0966e+29,2.8973e+30,2.7902e+28,7.0560e+27,7.2495e+29,1.8471e+29,2.1998e+30,6.9749e+29,1.8943e+28,8.9590e+27,3.5690e+27,3.4870e+27,23.7,75.4,0.7,0.2,3.8430e+30,3.8002e+30,3.8535e+28,4.2030e+27,1.5165e+28,0.0000e+00,98.9,1.0,0.1
198,3.7776e+30,9.0574e+29,2.8366e+30,2.8134e+28,7.0890e+27,7.1962e+29,1.8613e+29,2.1509e+30,6.8575e+29,1.9126e+28,9.0080e+27,3.5620e+27,3.5270e+27,24.0,75.1,0.7,0.2,3.7786e+30,3.7365e+30,3.7886e+28,4.2500e+27,1.5256e+28,0.0000e+00,98.9,1.0,0.1
199,3.6855e+30,8.9565e+29,2.7535e+30,2.9321e+28,7.0450e+27,7.0301e+29,1.9264e+29,2.0355e+30,7.1805e+29,2.0146e+28,9.1750e+27,3.5270e+27,3.5180e+27,24.3,74.7,0.8,0.2,3.6869e+30,3.6451e+30,3.7227e+28,4.5790e+27,1.5251e+28,0.0000e+00,98.9,1.0,0.1
200,3.6111e+30,8.9154e+29,2.6844e+30,2.8078e+28,7.0710e+27,7.0265e+29,1.8890e+29,2.0171e+30,6.6725e+29,1.9093e+28,8.9850e+27,3.5200e+27,3.5510e+27,24.7,74.3,0.8,0.2,3.6124e+30,3.5718e+30,3.6224e+28,4.3730e+27,1.5351e+28,0.0000e+00,98.9,1.0,0.1
