# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 1.0955e+28 2.4096e+27 0.000058 589.843336
2 1.1042e+28 2.6181e+27 0.000060 589.843313
3 1.1146e+28 2.4364e+27 0.000058 589.843125
4 1.1000e+28 2.4251e+27 0.000063 589.843216
5 1.1117e+28 2.4505e+27 0.000061 589.842896
6 1.1254e+28 2.4692e+27 0.000055 589.842897
7 1.1212e+28 2.4509e+27 0.000061 589.842839
8 1.1311e+28 2.4482e+27 0.000061 589.842824
9 1.1444e+28 2.4462e+27 0.000062 589.842679
10 1.1221e+28 2.4773e+27 0.000064 589.842655
11 1.1538e+28 2.4817e+27 0.000066 589.842626
12 1.1407e+28 2.4651e+27 0.000060 589.842552
