filename,cts2MR
MERCURY1_tr.totfib_sft-05,4.62008029e+24
MERCURY1_tr.totfib_sft005,4.61944170e+24
MERCURY1_tr.totfib_sft015,4.62072038e+24
MERCURY2_tr.totfib_sft-05,4.69761883e+24
MERCURY2_tr.totfib_sft005,4.69695095e+24
MERCURY2_tr.totfib_sft015,4.69823099e+24
MERCURY3_tr.totfib_sft-05,4.55574631e+24
MERCURY3_tr.totfib_sft005,4.55509837e+24
MERCURY3_tr.totfib_sft015,4.55633438e+24
MERCURY4_tr.totfib_sft-05,4.63639437e+24
MERCURY4_tr.totfib_sft005,4.63567516e+24
MERCURY4_tr.totfib_sft015,4.63687781e+24
MERCURY5_tr.totfib_sft-05,4.45731935e+24
MERCURY5_tr.totfib_sft005,4.44610023e+24
MERCURY5_tr.totfib_sft015,4.44724386e+24
MERCURY6_tr.totfib_sft-05,4.42248523e+24
MERCURY6_tr.totfib_sft005,4.41132099e+24
MERCURY6_tr.totfib_sft015,4.41241334e+24
MERCURY7_tr.totfib_sft-05,4.42843339e+24
MERCURY7_tr.totfib_sft005,4.42771821e+24
MERCURY7_tr.totfib_sft015,4.42876708e+24
MERCURY8_tr.totfib_sft-05,4.48306084e+24
MERCURY8_tr.totfib_sft005,4.48236652e+24
MERCURY8_tr.totfib_sft015,4.48342419e+24
MERCURY9_tr.totfib_sft-05,4.38179985e+24
MERCURY9_tr.totfib_sft005,4.38110181e+24
MERCURY9_tr.totfib_sft015,4.38212811e+24
MERCURY10_tr.totfib_sft-05,4.57901210e+24
MERCURY10_tr.totfib_sft005,4.56744354e+24
MERCURY10_tr.totfib_sft015,4.56854717e+24
MERCURY11_tr.totfib_sft-05,4.39799437e+24
MERCURY11_tr.totfib_sft005,4.39724947e+24
MERCURY11_tr.totfib_sft015,4.39819142e+24
MERCURY12_tr.totfib_sft-05,4.32135843e+24
MERCURY12_tr.totfib_sft005,4.31035770e+24
MERCURY12_tr.totfib_sft015,4.31134570e+24
