TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
100,5.7559e+29,3.7140e+29,1.9716e+29,1.9000e+26,6.8400e+27,3.3650e+29,3.4900e+28,1.2768e+29,6.9480e+28,1.6000e+26,3.0000e+25,3.3100e+27,3.5300e+27,2.0512e+29,1.0240e+28,6.9145e+08,1.4705e+06,8.2661e+08,1.0643e-08,1.0849e+06,6.9677e+03,4.3583e+05,4.3282e+05,64.5,34.3,0.0,1.2,5.7675e+29,5.6163e+29,7.4000e+27,7.7200e+27,9.7488e+27,0.0000e+00,97.4,1.3,1.3
101,5.7781e+29,3.8051e+29,1.9016e+29,2.2000e+26,6.9200e+27,3.4479e+29,3.5720e+28,1.2371e+29,6.6450e+28,1.6000e+26,6.0000e+25,3.5900e+27,3.3300e+27,2.1440e+29,1.0600e+28,6.8762e+08,1.4323e+06,8.8835e+08,1.7139e-09,1.1454e+06,1.0969e+04,4.3280e+05,4.2981e+05,65.9,32.9,0.0,1.2,5.7682e+29,5.6139e+29,7.5900e+27,7.8400e+27,9.5666e+27,0.0000e+00,97.3,1.3,1.4
102,5.8654e+29,3.8718e+29,1.9236e+29,1.3000e+26,6.8700e+27,3.5236e+29,3.4820e+28,1.2682e+29,6.5540e+28,9.0000e+25,4.0000e+25,3.4400e+27,3.4300e+27,2.1963e+29,1.1650e+28,6.8232e+08,1.6717e+06,1.1350e+09,7.2576e-11,1.2339e+06,1.2458e+04,4.2980e+05,4.2684e+05,66.0,32.8,0.0,1.2,5.8666e+29,5.7116e+29,7.2500e+27,8.2500e+27,9.3879e+27,0.0000e+00,97.4,1.2,1.4
103,5.9462e+29,3.9633e+29,1.9101e+29,2.9000e+26,6.9900e+27,3.6096e+29,3.5370e+28,1.2790e+29,6.3110e+28,1.9000e+26,1.0000e+26,3.4800e+27,3.5100e+27,2.1357e+29,1.0180e+28,6.8563e+08,1.0679e+06,8.2284e+08,6.7230e-13,1.2394e+06,9.9214e+03,4.2683e+05,4.2387e+05,66.7,32.1,0.0,1.2,5.9401e+29,5.7899e+29,7.3500e+27,7.6700e+27,9.2967e+27,0.0000e+00,97.5,1.2,1.3
104,6.1580e+29,4.0738e+29,2.0127e+29,1.9000e+26,6.9600e+27,3.7227e+29,3.5110e+28,1.3646e+29,6.4810e+28,9.0000e+25,1.0000e+26,3.6200e+27,3.3400e+27,1.9560e+29,8.2200e+27,6.8633e+08,4.5663e+05,8.2281e+08,9.3716e-17,1.1932e+06,9.4481e+03,4.2386e+05,4.2093e+05,66.2,32.7,0.0,1.1,6.1545e+29,5.9936e+29,7.5900e+27,8.5000e+27,9.1211e+27,0.0000e+00,97.4,1.2,1.4
105,6.1771e+29,4.1106e+29,1.9955e+29,2.6000e+26,6.8400e+27,3.7497e+29,3.6090e+28,1.3326e+29,6.6290e+28,1.4000e+26,1.2000e+26,3.4700e+27,3.3700e+27,1.9088e+29,7.7400e+27,6.8736e+08,2.7181e+03,8.3847e+08,1.0194e-20,1.7296e+06,8.0227e+03,4.2092e+05,4.1802e+05,66.5,32.3,0.0,1.1,6.1833e+29,6.0308e+29,7.6100e+27,7.6400e+27,8.9492e+27,0.0000e+00,97.5,1.2,1.2
106,6.3558e+29,4.2746e+29,2.0087e+29,2.3000e+26,7.0200e+27,3.9000e+29,3.7460e+28,1.3109e+29,6.9780e+28,1.4000e+26,9.0000e+25,3.2300e+27,3.7900e+27,1.9830e+29,9.2900e+27,6.8674e+08,1.3842e+06,8.3145e+08,3.9588e-19,1.6809e+06,1.0696e+04,4.1800e+05,4.1512e+05,67.3,31.6,0.0,1.1,6.3470e+29,6.1879e+29,7.9500e+27,7.9600e+27,8.8591e+27,0.0000e+00,97.5,1.3,1.3
107,6.4738e+29,4.3838e+29,2.0176e+29,3.0000e+26,6.9400e+27,4.0167e+29,3.6710e+28,1.3284e+29,6.8920e+28,1.4000e+26,1.6000e+26,3.5300e+27,3.4100e+27,2.0744e+29,1.1390e+28,6.8523e+08,1.6839e+06,8.6585e+08,5.9316e-13,1.6286e+06,8.3508e+03,4.1510e+05,4.1226e+05,67.7,31.2,0.0,1.1,6.4712e+29,6.3134e+29,7.7600e+27,8.0200e+27,8.6526e+27,0.0000e+00,97.6,1.2,1.2
108,6.6512e+29,4.5011e+29,2.0772e+29,3.4000e+26,6.9500e+27,4.1342e+29,3.6690e+28,1.3794e+29,6.9780e+28,1.9000e+26,1.5000e+26,3.4100e+27,3.5400e+27,2.1542e+29,1.2820e+28,6.8348e+08,1.9065e+06,7.7479e+08,1.8483e-10,1.6331e+06,1.2667e+04,4.1225e+05,4.0941e+05,67.7,31.2,0.1,1.0,6.6523e+29,6.4885e+29,8.1300e+27,8.2500e+27,8.5645e+27,0.0000e+00,97.5,1.2,1.2
109,6.8389e+29,4.6415e+29,2.1250e+29,2.6000e+26,6.9800e+27,4.2721e+29,3.6940e+28,1.4527e+29,6.7230e+28,1.6000e+26,1.0000e+26,3.5500e+27,3.4300e+27,2.2727e+29,1.2480e+28,6.8253e+08,2.0335e+06,8.6992e+08,2.9319e-09,1.6440e+06,1.0879e+04,4.0940e+05,4.0659e+05,67.9,31.1,0.0,1.0,6.8317e+29,6.6625e+29,8.4200e+27,8.5000e+27,8.4019e+27,0.0000e+00,97.5,1.2,1.2
