Line_ID,X_Value,Y_Value
0,408.21877,0.44670
0,409.13395,0.40329
0,410.04913,0.34541
0,410.96430,0.30200
0,411.87948,0.27306
0,412.79466,0.27306
0,413.70984,0.30200
0,414.62501,0.35988
0,415.54019,0.43223
0,416.45537,0.47564
0,417.37055,0.50458
0,418.28573,0.53352
0,419.20090,0.53352
0,420.11608,0.53352
0,421.03126,0.50458
0,421.94644,0.47564
0,422.86161,0.46117
0,423.77679,0.47564
0,424.69197,0.50458
0,425.60715,0.51905
0,426.52232,0.50458
0,427.43750,0.47564
0,428.35268,0.44670
0,429.26786,0.41776
0,430.18304,0.40329
0,431.09821,0.49011
0,432.01339,0.63160
0,432.92857,0.77952
0,433.84375,0.77952
0,434.75892,0.77952
0,435.67410,0.75058
0,436.58928,0.72163
0,437.50446,0.66375
0,438.41963,0.62034
0,439.33481,0.56246
0,440.24999,0.49011
0,441.16517,0.41776
0,442.08035,0.33094
0,442.99552,0.27306
0,443.91070,0.22965
0,444.82588,0.20070
0,445.74106,0.17176
0,446.65623,0.17176
0,447.57141,0.20070
0,448.48659,0.27306
0,449.40177,0.34541
0,450.31694,0.43223
0,451.23212,0.49011
0,452.14730,0.53352
0,453.06248,0.57693
0,453.97766,0.56246
0,454.89283,0.53352
0,455.80801,0.44670
0,456.72319,0.30200
0,457.63837,0.20070
0,458.55354,0.12835
0,459.46872,0.04153
0,460.38390,-0.03082
0,461.29908,-0.07423
0,462.21425,-0.07423
0,463.12943,-0.07423
0,464.04461,0.01259
0,464.95979,0.21518
0,465.87497,0.38882
0,466.79014,0.51905
0,467.70532,0.54799
0,468.62050,0.53352
0,469.53568,0.44670
0,470.45085,0.41776
0,471.36603,0.38882
0,472.28121,0.40329
0,473.19639,0.40329
0,474.11156,0.43223
0,475.02674,0.54799
0,475.94192,0.72163
0,476.85710,0.85187
0,477.77228,0.86634
0,478.68745,0.85187
0,479.60263,0.80846
0,480.51781,0.76505
0,481.43299,0.72163
0,482.34816,0.69269
0,483.26334,0.70716
0,484.17852,0.72163
0,485.09370,0.79399
0,486.00887,0.86634
0,486.92405,0.92422
0,487.83923,1.01104
0,488.75441,1.06892
0,489.66959,1.14127
0,490.58476,1.21362
0,491.49994,1.25704
0,492.41512,1.27151
0,493.33030,1.28598
0,494.24547,1.25704
0,495.16065,1.22809
0,496.07583,1.19915
0,496.99101,1.17021
0,497.90618,1.14127
0,498.82136,1.11233
0,499.73654,1.11233
0,500.65172,1.14127
0,501.56690,1.17021
0,502.48207,1.30045
0,503.39725,1.44515
0,504.31243,1.63326
0,505.22761,1.64773
0,506.14278,1.66220
0,507.05796,1.64773
0,507.97314,1.64773
0,508.88832,1.63326
0,509.80349,1.61879
0,510.71867,1.58985
0,511.63385,1.57538
0,512.54903,1.51750
0,513.46421,1.43068
0,514.37938,1.37280
0,515.29456,1.34386
0,516.20974,1.32939
0,517.12492,1.35833
0,518.04009,1.41621
0,518.95527,1.47409
0,519.87045,1.53197
0,520.78563,1.60432
0,521.70080,1.69114
0,522.61598,1.73455
0,523.53116,1.83585
0,524.44634,1.92267
0,525.36151,2.02396
0,526.27669,2.12525
0,527.19187,2.24101
0,528.10705,2.31337
0,529.02223,2.40019
0,529.93740,2.42913
0,530.85258,2.41466
0,531.76776,2.25549
0,532.68294,2.16866
0,533.59811,2.15419
0,534.51329,2.18313
0,535.42847,2.22654
0,536.34365,2.28443
0,537.25882,2.35678
0,538.17400,2.41466
0,539.08918,2.48701
0,540.00436,2.54489
0,540.91954,2.60277
0,541.83471,2.66065
0,542.74989,2.68959
0,543.66507,2.70406
0,544.58025,2.70406
0,545.49542,2.70406
0,546.41060,2.71853
0,547.32578,2.73300
0,548.24096,2.74747
0,549.15613,2.80536
0,550.07131,2.87771
0,550.98649,2.95006
0,551.90167,3.02241
0,552.81685,3.06582
0,553.73202,3.12370
0,554.64720,3.15264
0,555.56238,3.19605
0,556.47756,3.26840
0,557.39273,3.35523
0,558.30791,3.41311
0,559.22309,3.48546
0,560.13827,3.51440
0,561.05344,3.51440
0,561.96862,3.51440
0,562.88380,3.52887
0,563.79898,3.57228
0,564.71416,3.70251
0,565.62933,3.77486
0,566.54451,3.89063
0,567.45969,4.00639
0,568.37487,4.07874
0,569.29004,4.10768
0,570.20522,4.12215
0,571.12040,4.15109
0,572.03558,4.16556
0,572.95075,4.22344
0,573.86593,4.32474
0,574.78111,4.46944
0,575.69629,4.57073
0,576.61147,4.71543
0,577.52664,4.91802
0,578.44182,4.94696
0,579.35700,4.94696
0,580.27218,4.93249
0,581.18735,4.90355
0,582.10253,4.87461
0,583.01771,4.87461
0,583.93289,4.90355
0,584.84806,4.93249
0,585.76324,4.94696
0,586.67842,4.94696
0,587.59360,4.91802
0,588.50878,4.88908
0,589.42395,4.86014
0,590.33913,4.84567
0,591.25431,4.86014
0,592.16949,4.88908
0,593.08466,4.91802
0,593.99984,4.94696
