Q,peak_dawn_ALL,peak_dawn_PSD,peak_dawn_TD,peak_dusk_ALL,peak_dusk_PSD,peak_dusk_TD,peak_all_ALL,peak_all_PSD,peak_all_TD,mean_dawn_ALL,mean_dawn_PSD,mean_dawn_TD,mean_dusk_ALL,mean_dusk_PSD,mean_dusk_TD,mean_all_ALL,mean_all_PSD,mean_all_TD
0.27,166.00,155.28,168.88,219.15,220.04,217.33,191.99,190.79,192.48,2.826545e+27,6.592568e+26,2.139057e+27,1.695714e+27,3.727652e+26,1.301549e+27,4.522258e+27,1.032022e+27,3.440605e+27
2.0,191.02,185.08,192.68,204.30,208.21,202.28,195.53,196.07,195.42,3.630197e+27,1.706121e+27,1.919084e+27,1.410721e+27,4.132045e+26,9.954393e+26,5.040918e+27,2.119325e+27,2.914523e+27
