TAA,Side,Band_Index,EffCos_Lo,EffCos_Hi,U_1.400eV,U_1.544eV,U_1.689eV,U_1.833eV,U_1.978eV,U_2.122eV,U_2.267eV,U_2.411eV,U_2.556eV,U_2.700eV
337,Dusk,5,0.5500,1.0100,3.353494e+25,8.846366e+25,2.445130e+26,2.722031e+26,1.025956e+27,6.858910e+27,3.180684e+28,3.486468e+28,1.275907e+28,2.158992e+27
338,Dawn,0,0.0000,0.0500,9.800217e+28,3.031060e+29,5.769289e+29,7.694091e+29,7.311666e+29,4.862238e+29,2.231688e+29,7.245576e+28,1.715864e+28,2.725049e+27
338,Dawn,1,0.0500,0.1000,6.253514e+27,9.989106e+28,2.929317e+29,4.112513e+29,3.978905e+29,2.635275e+29,1.223392e+29,3.954345e+28,9.821748e+27,1.542431e+27
338,Dawn,2,0.1000,0.2000,3.526584e+25,4.333210e+27,2.620160e+29,7.846554e+29,8.237293e+29,5.511925e+29,2.557933e+29,8.191815e+28,1.922407e+28,3.505440e+27
338,Dawn,3,0.2000,0.3500,2.004144e+25,1.011070e+26,3.469192e+27,1.389700e+29,6.685524e+29,6.428319e+29,3.025867e+29,9.781640e+28,2.260291e+28,3.720134e+27
338,Dawn,4,0.3500,0.5500,6.031703e+25,8.075907e+25,1.230577e+26,1.925091e+27,2.722978e+28,2.271726e+29,2.273800e+29,8.178764e+28,1.900083e+28,3.035670e+27
338,Dawn,5,0.5500,1.0100,4.362822e+25,2.186870e+26,2.448959e+26,2.602327e+26,1.132819e+27,7.243523e+27,3.746899e+28,4.420519e+28,1.579250e+28,2.759429e+27
338,Dusk,0,0.0000,0.0500,5.498276e+28,2.020609e+29,4.202370e+29,6.014239e+29,5.897712e+29,4.073624e+29,1.893026e+29,6.087680e+28,1.462542e+28,2.469490e+27
338,Dusk,1,0.0500,0.1000,4.747636e+26,2.680858e+28,1.444622e+29,2.463532e+29,2.558110e+29,1.754860e+29,8.016108e+28,2.583106e+28,5.874294e+27,9.132802e+26
338,Dusk,2,0.1000,0.2000,2.095377e+25,1.854583e+27,1.000011e+29,3.791281e+29,4.680203e+29,3.321817e+29,1.590495e+29,5.094961e+28,1.203247e+28,1.980543e+27
338,Dusk,3,0.2000,0.3500,1.004061e+25,7.234171e+25,1.759834e+27,5.354660e+28,2.959199e+29,3.265446e+29,1.618751e+29,5.286953e+28,1.208346e+28,2.057839e+27
