Q,peak_smooth_deg,peak_raw_deg,sd_deg,plateau95_deg,curvature,noise_pct,n_files
0.1,163.18,163.18,0.00,7.0,-3.3646e+08,0.00,359
0.27,168.49,168.49,0.00,8.0,-3.2695e+08,0.00,359
1.0,183.77,183.77,0.00,13.0,-3.6336e+08,0.00,359
2.0,187.69,187.69,0.00,21.0,-5.0919e+08,0.00,359
3.0,186.05,186.05,0.00,20.0,-6.0306e+08,0.00,359
5.0,185.99,185.99,0.00,17.0,-7.8786e+08,0.00,359
10.0,183.53,183.53,0.00,8.0,-1.0045e+09,0.00,359
