Wavelength(nm) Intensity
5.89680600e+02 8.89914895e+03
5.89683895e+02 6.79575545e+03
5.89687190e+02 4.72848529e+03
5.89690485e+02 3.12723082e+03
5.89693780e+02 2.17466459e+03
5.89697075e+02 2.93134082e+03
5.89700370e+02 5.93523500e+03
5.89703666e+02 9.61014671e+03
5.89706961e+02 1.04577350e+04
5.89710256e+02 1.08388322e+04
5.89713551e+02 1.07760367e+04
5.89716846e+02 1.17420969e+04
5.89720141e+02 1.27340012e+04
5.89723436e+02 1.39814394e+04
5.89726731e+02 1.50723649e+04
5.89730027e+02 1.57686584e+04
5.89733322e+02 1.61982131e+04
5.89736617e+02 1.65204366e+04
5.89739912e+02 1.71626418e+04
5.89743207e+02 1.75679504e+04
5.89746502e+02 1.82156563e+04
5.89749797e+02 1.78786272e+04
5.89753092e+02 1.78600491e+04
5.89756387e+02 1.87093409e+04
5.89759683e+02 1.86099286e+04
5.89762978e+02 1.96013317e+04
5.89766273e+02 2.01709357e+04
5.89769568e+02 2.06768143e+04
5.89772863e+02 2.08794276e+04
5.89776158e+02 2.12996645e+04
5.89779453e+02 2.10963429e+04
5.89782748e+02 2.14483838e+04
5.89786044e+02 2.10875335e+04
5.89789339e+02 2.14413064e+04
5.89792634e+02 2.15018360e+04
5.89795929e+02 2.13685785e+04
5.89799224e+02 2.14869516e+04
5.89802519e+02 2.03558059e+04
5.89805814e+02 1.92419596e+04
5.89809109e+02 1.90634919e+04
5.89812404e+02 1.96219883e+04
5.89815700e+02 2.00425344e+04
5.89818995e+02 2.03577074e+04
5.89822290e+02 2.16874762e+04
5.89825585e+02 2.16952725e+04
5.89828880e+02 2.20094811e+04
5.89832175e+02 2.16480944e+04
5.89835470e+02 2.18665538e+04
5.89838765e+02 2.10273556e+04
5.89842061e+02 1.95299344e+04
5.89845356e+02 1.80667387e+04
5.89848651e+02 1.86823280e+04
5.89851946e+02 2.04426035e+04
5.89855241e+02 2.08456672e+04
5.89858536e+02 2.15198375e+04
5.89861831e+02 2.16344361e+04
5.89865126e+02 2.13491464e+04
5.89868421e+02 2.20385893e+04
5.89871717e+02 2.21794071e+04
5.89875012e+02 2.16950722e+04
5.89878307e+02 2.20072688e+04
5.89881602e+02 2.16506951e+04
5.89884897e+02 2.20977840e+04
5.89888192e+02 2.25647965e+04
5.89891487e+02 2.25360260e+04
5.89894782e+02 2.24974186e+04
5.89898078e+02 2.17495613e+04
5.89901373e+02 2.12015890e+04
5.89904668e+02 2.03132942e+04
5.89907963e+02 1.96096005e+04
5.89911258e+02 1.94303050e+04
5.89914553e+02 2.04638119e+04
5.89917848e+02 1.98243822e+04
5.89921143e+02 2.00725899e+04
5.89924438e+02 1.99355378e+04
5.89927734e+02 2.03936222e+04
5.89931029e+02 2.04785686e+04
5.89934324e+02 1.99779584e+04
5.89937619e+02 2.07578149e+04
5.89940914e+02 2.14011241e+04
5.89944209e+02 2.16559494e+04
5.89947504e+02 2.17540205e+04
5.89950799e+02 2.17121065e+04
5.89954095e+02 2.12602415e+04
5.89957390e+02 2.16779903e+04
5.89960685e+02 2.19789135e+04
5.89963980e+02 2.19226741e+04
5.89967275e+02 2.12670872e+04
5.89970570e+02 2.04343366e+04
5.89973865e+02 1.82071740e+04
5.89977160e+02 1.58995412e+04
5.89980455e+02 1.69459038e+04
5.89983751e+02 1.94872069e+04
5.89987046e+02 2.04785590e+04
5.89990341e+02 2.17750813e+04
5.89993636e+02 2.21115867e+04
5.89996931e+02 2.12458570e+04
5.90000226e+02 2.15230084e+04
5.90003521e+02 2.11840404e+04
5.90006816e+02 2.13143039e+04
5.90010112e+02 2.09237801e+04
5.90013407e+02 2.13221139e+04
5.90016702e+02 2.11121325e+04
5.90019997e+02 2.08366603e+04
5.90023292e+02 1.97425614e+04
5.90026587e+02 1.85715255e+04
5.90029882e+02 1.75372309e+04
5.90033177e+02 1.65929692e+04
5.90036472e+02 1.70612981e+04
5.90039768e+02 1.75990161e+04
5.90043063e+02 1.88742510e+04
5.90046358e+02 1.93868848e+04
5.90049653e+02 1.97830909e+04
5.90052948e+02 1.88049709e+04
5.90056243e+02 1.76058526e+04
5.90059538e+02 1.67483742e+04
5.90062833e+02 1.65822165e+04
5.90066129e+02 1.82975717e+04
5.90069424e+02 1.92786073e+04
5.90072719e+02 2.08164338e+04
5.90076014e+02 2.13985252e+04
5.90079309e+02 2.13403602e+04
5.90082604e+02 2.12221342e+04
5.90085899e+02 2.13252764e+04
5.90089194e+02 2.08065448e+04
5.90092489e+02 2.09720603e+04
5.90095785e+02 2.13607862e+04
5.90099080e+02 2.18293770e+04
5.90102375e+02 2.17846337e+04
5.90105670e+02 2.17630834e+04
5.90108965e+02 2.17594961e+04
5.90112260e+02 2.17356719e+04
5.90115555e+02 2.21563653e+04
5.90118850e+02 2.20448423e+04
5.90122146e+02 2.17696275e+04
5.90125441e+02 2.16668701e+04
5.90128736e+02 2.20869680e+04
5.90132031e+02 2.27716513e+04
5.90135326e+02 2.20429799e+04
5.90138621e+02 2.17591280e+04
5.90141916e+02 2.15503365e+04
5.90145211e+02 2.06589260e+04
5.90148506e+02 1.96604064e+04
5.90151802e+02 1.78296305e+04
5.90155097e+02 1.70786058e+04
5.90158392e+02 1.64808824e+04
5.90161687e+02 1.53433022e+04
5.90164982e+02 1.46612965e+04
5.90168277e+02 1.45137564e+04
5.90171572e+02 1.58197722e+04
5.90174867e+02 1.79407173e+04
5.90178163e+02 1.95607358e+04
5.90181458e+02 2.02304100e+04
5.90184753e+02 2.05080156e+04
5.90188048e+02 2.00210146e+04
5.90191343e+02 1.99386427e+04
5.90194638e+02 2.03986768e+04
5.90197933e+02 2.04376679e+04
5.90201228e+02 2.02855244e+04
5.90204523e+02 1.93518235e+04
5.90207819e+02 2.00249768e+04
5.90211114e+02 2.04331952e+04
5.90214409e+02 2.05698140e+04
5.90217704e+02 2.07523879e+04
5.90220999e+02 2.07164490e+04
5.90224294e+02 2.07349089e+04
5.90227589e+02 2.08521052e+04
5.90230884e+02 2.16507292e+04
5.90234180e+02 2.08773556e+04
5.90237475e+02 2.08943382e+04
5.90240770e+02 2.12645906e+04
5.90244065e+02 2.10166970e+04
5.90247360e+02 2.02243135e+04
5.90250655e+02 2.00549301e+04
5.90253950e+02 1.89066400e+04
5.90257245e+02 1.80871536e+04
5.90260540e+02 1.89922254e+04
5.90263836e+02 1.94629454e+04
5.90267131e+02 1.96562338e+04
5.90270426e+02 1.96412202e+04
5.90273721e+02 1.98099514e+04
5.90277016e+02 1.98783532e+04
5.90280311e+02 1.93732140e+04
5.90283606e+02 1.92071145e+04
5.90286901e+02 1.94079166e+04
5.90290197e+02 1.87827694e+04
5.90293492e+02 1.90220597e+04
5.90296787e+02 1.92331177e+04
5.90300082e+02 1.81674989e+04
5.90303377e+02 1.57162552e+04
5.90306672e+02 1.34901003e+04
5.90309967e+02 1.31975028e+04
5.90313262e+02 1.41833264e+04
5.90316557e+02 1.67028413e+04
5.90319853e+02 1.87265999e+04
5.90323148e+02 1.93540121e+04
5.90326443e+02 1.94318424e+04
5.90329738e+02 1.93874002e+04
5.90333033e+02 1.99054859e+04
5.90336328e+02 1.96587425e+04
5.90339623e+02 1.96628118e+04
5.90342918e+02 1.88783316e+04
5.90346214e+02 1.78982761e+04
5.90349509e+02 1.82424682e+04
5.90352804e+02 1.85795928e+04
5.90356099e+02 1.90099754e+04
5.90359394e+02 1.90833776e+04
5.90362689e+02 1.95359185e+04
5.90365984e+02 1.99056901e+04
5.90369279e+02 1.91775193e+04
5.90372574e+02 1.96192573e+04
5.90375870e+02 1.90890083e+04
5.90379165e+02 2.01405952e+04
5.90382460e+02 2.04707579e+04
5.90385755e+02 2.09303922e+04
5.90389050e+02 2.13802493e+04
5.90392345e+02 2.11549156e+04
5.90395640e+02 2.18805171e+04
5.90398935e+02 2.16502164e+04
5.90402231e+02 2.11813810e+04
5.90405526e+02 2.12216563e+04
5.90408821e+02 2.12647562e+04
5.90412116e+02 2.15642710e+04
5.90415411e+02 2.16159104e+04
