# Wavelength Flux(MR)
5.89097364e+02 -5.66865296e+28
5.89100659e+02 -1.58092817e+28
5.89103954e+02 2.37385371e+28
5.89107249e+02 4.16784143e+28
5.89110544e+02 3.46999277e+28
5.89113839e+02 1.66767212e+28
5.89117135e+02 8.05067662e+27
5.89120430e+02 1.96947954e+27
5.89123725e+02 7.98039548e+26
5.89127020e+02 1.65404808e+27
5.89130315e+02 6.32357178e+27
5.89133610e+02 1.00468179e+28
5.89136905e+02 8.58991584e+27
5.89140200e+02 6.44690420e+27
5.89143496e+02 5.41971891e+27
5.89146791e+02 2.56040662e+27
5.89150086e+02 -8.94397046e+26
5.89153381e+02 1.13219880e+27
5.89156676e+02 2.21991792e+27
5.89159971e+02 6.70703349e+26
5.89163266e+02 -3.18041784e+27
5.89166561e+02 -4.75785388e+27
5.89169856e+02 -4.20598609e+27
5.89173152e+02 3.02728586e+27
5.89176447e+02 6.72759197e+27
5.89179742e+02 3.23665111e+27
5.89183037e+02 6.80518489e+27
5.89186332e+02 2.11362355e+27
5.89189627e+02 -5.66503360e+26
5.89192922e+02 1.37576546e+27
5.89196217e+02 3.65347835e+26
5.89199513e+02 1.48152253e+27
5.89202808e+02 4.53430735e+26
5.89206103e+02 -3.43310009e+27
5.89209398e+02 -4.69815770e+27
5.89212693e+02 -6.11628682e+27
5.89215988e+02 -4.69545544e+27
5.89219283e+02 -3.86359356e+27
5.89222578e+02 -3.63622981e+27
5.89225873e+02 -3.66851593e+26
5.89229169e+02 4.54855833e+27
5.89232464e+02 3.22002498e+26
5.89235759e+02 2.20691015e+27
5.89239054e+02 2.18104333e+27
5.89242349e+02 2.05534847e+26
5.89245644e+02 5.06263143e+26
5.89248939e+02 -1.38841407e+26
5.89252234e+02 -6.98395833e+26
5.89255530e+02 -3.00518681e+25
5.89258825e+02 4.94961890e+26
5.89262120e+02 1.99919136e+27
5.89265415e+02 1.15690227e+27
5.89268710e+02 -6.98780423e+26
5.89272005e+02 -2.24794426e+27
5.89275300e+02 -3.07045989e+27
5.89278595e+02 -2.24542354e+27
5.89281890e+02 -1.68322569e+27
5.89285186e+02 1.94828002e+27
5.89288481e+02 4.28914264e+27
5.89291776e+02 -1.12651821e+27
5.89295071e+02 2.08750924e+27
5.89298366e+02 1.07352873e+27
