# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 7.5041e+27 3.0979e+27 0.001051 589.851398
2 7.7716e+27 2.8403e+27 0.001178 589.852080
3 7.2443e+27 2.7434e+27 0.001063 589.852213
4 7.9991e+27 3.0602e+27 0.001840 589.852912
5 6.4688e+27 2.6801e+27 0.001476 589.852251
6 7.8551e+27 3.0196e+27 0.001185 589.852271
7 6.5517e+27 3.1827e+27 0.000609 589.853071
8 1.8926e+28 1.2214e+28 0.000012 589.747533
9 7.9552e+27 2.7739e+27 0.001580 589.852464
10 9.2358e+27 3.4748e+27 0.001955 589.853014
11 7.1465e+27 2.8312e+27 0.001716 589.851517
12 7.5219e+27 3.1124e+27 0.001899 589.852184
