TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
237,1.5050e+30,7.8779e+29,6.9104e+29,1.9207e+28,6.9940e+27,5.9796e+29,1.8983e+29,5.0069e+29,1.9035e+29,1.2331e+28,6.8760e+27,3.5090e+27,3.4850e+27,52.3,45.9,1.3,0.5,1.5053e+30,1.4774e+30,1.8592e+28,9.2610e+27,1.9020e+28,0.0000e+00,98.1,1.2,0.6
238,1.4849e+30,7.7838e+29,6.8108e+29,1.8444e+28,7.0060e+27,5.9468e+29,1.8369e+29,4.9810e+29,1.8297e+29,1.1783e+28,6.6610e+27,3.4970e+27,3.5090e+27,52.4,45.9,1.2,0.5,1.4855e+30,1.4583e+30,1.8147e+28,9.0190e+27,1.9216e+28,0.0000e+00,98.2,1.2,0.6
239,1.4548e+30,7.6222e+29,6.6688e+29,1.8722e+28,6.9620e+27,5.8025e+29,1.8197e+29,4.8027e+29,1.8661e+29,1.2055e+28,6.6670e+27,3.4790e+27,3.4830e+27,52.4,45.8,1.3,0.5,1.4549e+30,1.4276e+30,1.8261e+28,9.0650e+27,1.9258e+28,0.0000e+00,98.1,1.3,0.6
240,1.4370e+30,7.5355e+29,6.5788e+29,1.8631e+28,6.9890e+27,5.7104e+29,1.8251e+29,4.6659e+29,1.9129e+29,1.2442e+28,6.1890e+27,3.4860e+27,3.5030e+27,52.4,45.8,1.3,0.5,1.4372e+30,1.4101e+30,1.7781e+28,9.3130e+27,1.9458e+28,0.0000e+00,98.1,1.2,0.6
241,1.4222e+30,7.4505e+29,6.5215e+29,1.7985e+28,7.0030e+27,5.6904e+29,1.7601e+29,4.6708e+29,1.8507e+29,1.1823e+28,6.1620e+27,3.4700e+27,3.5330e+27,52.4,45.9,1.3,0.5,1.4227e+30,1.3957e+30,1.7645e+28,9.3700e+27,1.9661e+28,0.0000e+00,98.1,1.2,0.7
242,1.3928e+30,7.3117e+29,6.3757e+29,1.7129e+28,6.9650e+27,5.6246e+29,1.6871e+29,4.6053e+29,1.7704e+29,1.1138e+28,5.9910e+27,3.4940e+27,3.4710e+27,52.5,45.8,1.2,0.5,1.3926e+30,1.3657e+30,1.7435e+28,9.4820e+27,1.9704e+28,0.0000e+00,98.1,1.3,0.7
243,1.3780e+30,7.2317e+29,6.3134e+29,1.6484e+28,6.9950e+27,5.5888e+29,1.6429e+29,4.5814e+29,1.7320e+29,1.0689e+28,5.7950e+27,3.5860e+27,3.4090e+27,52.5,45.8,1.2,0.5,1.3786e+30,1.3517e+30,1.7495e+28,9.4910e+27,1.9911e+28,0.0000e+00,98.0,1.3,0.7
244,1.3554e+30,7.1232e+29,6.2000e+29,1.6068e+28,6.9760e+27,5.5396e+29,1.5836e+29,4.5267e+29,1.6733e+29,1.0250e+28,5.8180e+27,3.4360e+27,3.5400e+27,52.6,45.7,1.2,0.5,1.3553e+30,1.3283e+30,1.7463e+28,9.5480e+27,2.0037e+28,0.0000e+00,98.0,1.3,0.7
245,1.3375e+30,7.0343e+29,6.1194e+29,1.5187e+28,6.9850e+27,5.5011e+29,1.5331e+29,4.5088e+29,1.6106e+29,9.6600e+27,5.5270e+27,3.4470e+27,3.5380e+27,52.6,45.8,1.1,0.5,1.3379e+30,1.3113e+30,1.7089e+28,9.4900e+27,2.0249e+28,0.0000e+00,98.0,1.3,0.7
246,1.3158e+30,6.9066e+29,6.0290e+29,1.5270e+28,6.9890e+27,5.3882e+29,1.5184e+29,4.3744e+29,1.6546e+29,9.9160e+27,5.3540e+27,3.5650e+27,3.4240e+27,52.5,45.8,1.2,0.5,1.3161e+30,1.2900e+30,1.6668e+28,9.3990e+27,2.0377e+28,0.0000e+00,98.0,1.3,0.7
247,1.2996e+30,6.8144e+29,5.9522e+29,1.5946e+28,6.9700e+27,5.2849e+29,1.5294e+29,4.2402e+29,1.7120e+29,1.0566e+28,5.3800e+27,3.4640e+27,3.5060e+27,52.4,45.8,1.2,0.5,1.2997e+30,1.2732e+30,1.6760e+28,9.7110e+27,2.0505e+28,0.0000e+00,98.0,1.3,0.7
248,1.2788e+30,6.7071e+29,5.8594e+29,1.5160e+28,6.9540e+27,5.2335e+29,1.4736e+29,4.1975e+29,1.6620e+29,1.0016e+28,5.1440e+27,3.5270e+27,3.4270e+27,52.4,45.8,1.2,0.5,1.2791e+30,1.2527e+30,1.6426e+28,9.9550e+27,2.0633e+28,0.0000e+00,97.9,1.3,0.8
