TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
7,0,0.0000,0.0500,2.5610e+28,0.0000e+00,6.2100e+27,0.0000e+00,3.2721e+32,7.1668e+31,136
7,1,0.0500,0.1000,1.5440e+28,0.0000e+00,3.6100e+27,0.0000e+00,6.3258e+31,1.3826e+31,136
7,2,0.1000,0.2000,3.3150e+28,0.0000e+00,1.0220e+28,0.0000e+00,7.4814e+31,2.3747e+31,136
7,3,0.2000,0.3500,3.8240e+28,0.0000e+00,1.8070e+28,0.0000e+00,4.6679e+31,2.1110e+31,136
7,4,0.3500,0.5500,4.5830e+28,0.0000e+00,3.1620e+28,0.0000e+00,3.2576e+31,2.1667e+31,136
7,5,0.5500,1.0100,1.2740e+29,0.0000e+00,1.1822e+29,0.0000e+00,5.2237e+31,4.6922e+31,136
8,0,0.0000,0.0500,2.5290e+28,0.0000e+00,6.0000e+27,0.0000e+00,3.2836e+32,7.1701e+31,137
8,1,0.0500,0.1000,1.5730e+28,0.0000e+00,3.3200e+27,0.0000e+00,6.2947e+31,1.4198e+31,137
8,2,0.1000,0.2000,3.2790e+28,0.0000e+00,1.0970e+28,0.0000e+00,7.4670e+31,2.3838e+31,137
8,3,0.2000,0.3500,3.7210e+28,0.0000e+00,1.7950e+28,0.0000e+00,4.6705e+31,2.1352e+31,137
8,4,0.3500,0.5500,4.6420e+28,0.0000e+00,3.2450e+28,0.0000e+00,3.2958e+31,2.2082e+31,137
8,5,0.5500,1.0100,1.2953e+29,0.0000e+00,1.1771e+29,0.0000e+00,5.2740e+31,4.7704e+31,137
9,0,0.0000,0.0500,2.5100e+28,0.0000e+00,5.3800e+27,0.0000e+00,3.2709e+32,6.9917e+31,137
9,1,0.0500,0.1000,1.5250e+28,0.0000e+00,3.6500e+27,0.0000e+00,6.2106e+31,1.5769e+31,137
9,2,0.1000,0.2000,3.1960e+28,0.0000e+00,1.0000e+28,0.0000e+00,7.4435e+31,2.3759e+31,137
9,3,0.2000,0.3500,3.7880e+28,0.0000e+00,1.7660e+28,0.0000e+00,4.5851e+31,2.1395e+31,137
9,4,0.3500,0.5500,4.7220e+28,0.0000e+00,3.1790e+28,0.0000e+00,3.3109e+31,2.2286e+31,137
