TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
149,5.1712e+29,2.0113e+29,3.0630e+29,2.6390e+27,7.0490e+27,1.9206e+29,9.0740e+27,2.6663e+29,3.9664e+28,2.1800e+27,4.5900e+26,3.4800e+27,3.5690e+27,1.0923e+08,1.6767e+04,2.1227e+08,1.0093e-20,1.5549e+07,5.1906e+03,3.2309e+05,3.2174e+05,38.9,59.2,0.5,1.4,5.1670e+29,5.0983e+29,5.5720e+27,1.3030e+27,0.0000e+00,0.0000e+00,98.7,1.1,0.3
150,5.4054e+29,2.0523e+29,3.2562e+29,2.6550e+27,7.0380e+27,1.9565e+29,9.5790e+27,2.8333e+29,4.2287e+28,2.1220e+27,5.3300e+26,3.4730e+27,3.5650e+27,1.1029e+08,3.4325e+04,2.2354e+08,1.0088e-20,1.4709e+07,4.6206e+03,3.2173e+05,3.2043e+05,38.0,60.2,0.5,1.3,5.4033e+29,5.3322e+29,5.7800e+27,1.3280e+27,0.0000e+00,0.0000e+00,98.7,1.1,0.2
151,5.6523e+29,2.0926e+29,3.4631e+29,2.5930e+27,7.0590e+27,1.9955e+29,9.7090e+27,3.0363e+29,4.2687e+28,2.0530e+27,5.4000e+26,3.4770e+27,3.5820e+27,1.0995e+08,4.9105e+04,2.3332e+08,1.0063e-20,1.4042e+07,7.4773e+03,3.2042e+05,3.1916e+05,37.0,61.3,0.5,1.2,5.6473e+29,5.5757e+29,6.0160e+27,1.1480e+27,0.0000e+00,0.0000e+00,98.7,1.1,0.2
152,5.9223e+29,2.1301e+29,3.6923e+29,2.9350e+27,7.0580e+27,2.0257e+29,1.0438e+28,3.2226e+29,4.6964e+28,2.3550e+27,5.8000e+26,3.5370e+27,3.5210e+27,1.0953e+08,2.8433e+02,2.4032e+08,1.0100e-20,1.7693e+07,5.9499e+03,3.1915e+05,3.1793e+05,36.0,62.3,0.5,1.2,5.9185e+29,5.8432e+29,6.3560e+27,1.1810e+27,0.0000e+00,0.0000e+00,98.7,1.1,0.2
153,6.1744e+29,2.1627e+29,3.9070e+29,3.4180e+27,7.0520e+27,2.0471e+29,1.1563e+28,3.3448e+29,5.6216e+28,2.7910e+27,6.2700e+26,3.5680e+27,3.4840e+27,1.0847e+08,7.5839e+04,2.4701e+08,1.0093e-20,1.7425e+07,9.7531e+03,3.1793e+05,3.1675e+05,35.0,63.3,0.6,1.1,6.1712e+29,6.0933e+29,6.5160e+27,1.2740e+27,0.0000e+00,0.0000e+00,98.7,1.1,0.2
154,6.4505e+29,2.2149e+29,4.1312e+29,3.3430e+27,7.0840e+27,2.0928e+29,1.2217e+28,3.5417e+29,5.8958e+28,2.6720e+27,6.7100e+26,3.6930e+27,3.3910e+27,1.0823e+08,1.1347e+05,2.5039e+08,1.0031e-20,1.6650e+07,1.0905e+04,3.1674e+05,3.1561e+05,34.3,64.0,0.5,1.1,6.4472e+29,6.3660e+29,6.9200e+27,1.2000e+27,0.0000e+00,0.0000e+00,98.7,1.1,0.2
155,6.6564e+29,2.2398e+29,4.3126e+29,3.3510e+27,7.0460e+27,2.1160e+29,1.2375e+28,3.7150e+29,5.9762e+28,2.6610e+27,6.9000e+26,3.5080e+27,3.5380e+27,1.0953e+08,1.0699e+05,2.5663e+08,1.0158e-20,1.5966e+07,1.2920e+04,3.1560e+05,3.1451e+05,33.6,64.8,0.5,1.1,6.6529e+29,6.5708e+29,7.1130e+27,1.1010e+27,0.0000e+00,0.0000e+00,98.8,1.1,0.2
156,6.9202e+29,2.2807e+29,4.5358e+29,3.2900e+27,7.0770e+27,2.1504e+29,1.3037e+28,3.9238e+29,6.1197e+28,2.6060e+27,6.8400e+26,3.5400e+27,3.5370e+27,1.1112e+08,1.2914e+04,2.6531e+08,1.0081e-20,1.5290e+07,1.7447e+04,3.1451e+05,3.1346e+05,33.0,65.5,0.5,1.0,6.9174e+29,6.8335e+29,7.2830e+27,1.1040e+27,0.0000e+00,0.0000e+00,98.8,1.1,0.2
157,7.1809e+29,2.3140e+29,4.7544e+29,4.2030e+27,7.0510e+27,2.1644e+29,1.4959e+28,3.9963e+29,7.5814e+28,3.4030e+27,8.0000e+26,3.5260e+27,3.5250e+27,1.1108e+08,2.4750e+02,2.7931e+08,1.0084e-20,1.8118e+07,1.9910e+04,3.1345e+05,3.1245e+05,32.2,66.2,0.6,1.0,7.1747e+29,7.0867e+29,7.6170e+27,1.1770e+27,0.0000e+00,0.0000e+00,98.8,1.1,0.2
158,7.4777e+29,2.3563e+29,5.0081e+29,4.2720e+27,7.0670e+27,2.2016e+29,1.5462e+28,4.2000e+29,8.0807e+28,3.4630e+27,8.0900e+26,3.4770e+27,3.5900e+27,1.1099e+08,1.9473e+05,2.8710e+08,1.0071e-20,1.7390e+07,1.8514e+04,3.1245e+05,3.1148e+05,31.5,67.0,0.6,0.9,7.4739e+29,7.3823e+29,7.9670e+27,1.1860e+27,0.0000e+00,0.0000e+00,98.8,1.1,0.2
159,7.7704e+29,2.4004e+29,5.2576e+29,4.1700e+27,7.0720e+27,2.2374e+29,1.6304e+28,4.4270e+29,8.3062e+28,3.3150e+27,8.5500e+26,3.4970e+27,3.5750e+27,1.0948e+08,1.3472e+05,2.9422e+08,1.0026e-20,1.6630e+07,2.8020e+04,3.1148e+05,3.1056e+05,30.9,67.7,0.5,0.9,7.7661e+29,7.6733e+29,8.2330e+27,1.0540e+27,0.0000e+00,0.0000e+00,98.8,1.1,0.1
160,8.0142e+29,2.4264e+29,5.4756e+29,4.1740e+27,7.0440e+27,2.2606e+29,1.6578e+28,4.6415e+29,8.3410e+28,3.2280e+27,9.4600e+26,3.5080e+27,3.5360e+27,1.0977e+08,4.5007e+04,3.0243e+08,1.0051e-20,1.5832e+07,2.9739e+04,3.1056e+05,3.0969e+05,30.3,68.3,0.5,0.9,8.0105e+29,7.9161e+29,8.4350e+27,1.0050e+27,0.0000e+00,0.0000e+00,98.8,1.1,0.1
