Time_hours,TAA,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
0.08333333333333333,0.0063963322958784374,4.395699999997721e+28,4.8100000000000084e+26,4.341299999997721e+28,1.2999999999999997e+25,5.000000000000004e+25,4.726599999999204e+28,4.6049999999992064e+28,1.2159999999999692e+27,0.0,0.0,0.0
3.861111111111111,1.0054067296525773,1.7713000000001095e+28,4.570000000000006e+26,1.7197000000001096e+28,8.999999999999999e+24,5.000000000000004e+25,1.8194999999992713e+28,1.768599999999271e+28,5.070000000000031e+26,2e+24,0.0,0.0
7.638888888888889,2.0043122961221798,9.590000000000457e+27,4.540000000000006e+26,9.076000000000457e+27,9.999999999999999e+24,5.000000000000004e+25,9.848000000000628e+27,9.582000000000626e+27,2.6100000000000063e+26,4.999999999999999e+24,0.0,0.0
11.416666666666666,3.003011034237147,5.915000000000168e+27,4.3300000000000036e+26,5.421000000000168e+27,1.0999999999999998e+25,5.000000000000004e+25,5.955000000000328e+27,5.809000000000329e+27,1.449999999999996e+26,1e+24,0.0,0.0
15.194444444444445,4.001397695617811,4.103000000000029e+27,3.909999999999999e+26,3.654000000000029e+27,8e+24,5.000000000000004e+25,4.154000000000189e+27,4.041000000000189e+27,1.0999999999999985e+26,3e+24,0.0,0.0
19.0,5.006707809993202,3.2149999999999596e+27,3.799999999999998e+26,2.77999999999996e+27,4.999999999999999e+24,5.000000000000004e+25,3.1910000000001154e+27,3.103000000000115e+27,8.500000000000002e+25,3e+24,0.0,0.0
22.77777777777778,6.00415924475783,2.637999999999951e+27,3.699999999999997e+26,2.2139999999999512e+27,4e+24,5.000000000000004e+25,2.6580000000000745e+27,2.5900000000000746e+27,6.700000000000006e+25,1e+24,0.0,0.0
26.555555555555557,7.000991690631906,2.2409999999999718e+27,3.269999999999993e+26,1.8569999999999723e+27,6.999999999999998e+24,5.000000000000004e+25,2.347000000000051e+27,2.291000000000051e+27,5.400000000000004e+25,2e+24,0.0,0.0
30.36111111111111,8.004424350988131,2.0169999999999846e+27,3.2599999999999927e+26,1.6319999999999853e+27,8.999999999999999e+24,5.000000000000004e+25,2.112000000000032e+27,2.051000000000032e+27,5.900000000000005e+25,2e+24,0.0,0.0
34.166666666666664,9.007020526269116,1.8089999999999954e+27,3.0799999999999915e+26,1.4459999999999962e+27,6e+24,4.9000000000000035e+25,1.8230000000000108e+27,1.782000000000011e+27,3.900000000000002e+25,2e+24,0.0,0.0
