# Wavelength Flux(MR)
5.89097364e+02 -1.47141077e+27
5.89100659e+02 -1.12492004e+27
5.89103954e+02 -1.16723134e+27
5.89107249e+02 -5.11825201e+26
5.89110544e+02 -6.59936336e+26
5.89113839e+02 -2.27657138e+27
5.89117135e+02 -5.69400931e+26
5.89120430e+02 -6.77899073e+26
5.89123725e+02 -2.61671627e+27
5.89127020e+02 -2.86322407e+27
5.89130315e+02 -6.71035899e+26
5.89133610e+02 5.72994677e+26
5.89136905e+02 3.06016740e+27
5.89140200e+02 1.80326146e+27
5.89143496e+02 2.39323550e+27
5.89146791e+02 1.37482785e+27
5.89150086e+02 -7.25486049e+26
5.89153381e+02 -3.66881604e+26
5.89156676e+02 7.21478570e+26
5.89159971e+02 1.92802375e+26
5.89163266e+02 -4.48157555e+26
5.89166561e+02 1.22715142e+26
5.89169856e+02 -1.19366336e+27
5.89173152e+02 -1.57920783e+27
5.89176447e+02 1.47276219e+27
5.89179742e+02 6.53425199e+26
5.89183037e+02 3.70926662e+26
5.89186332e+02 3.93293329e+26
5.89189627e+02 -9.06789435e+26
5.89192922e+02 -1.28442191e+27
5.89196217e+02 2.59551299e+26
5.89199513e+02 -1.73515143e+27
5.89202808e+02 -2.66055366e+27
5.89206103e+02 -2.54800110e+27
5.89209398e+02 -3.69771144e+27
5.89212693e+02 -3.95577220e+27
5.89215988e+02 -5.46927841e+27
5.89219283e+02 -6.09734677e+27
5.89222578e+02 -4.61032576e+27
5.89225873e+02 5.37594860e+27
5.89229169e+02 1.68893849e+28
5.89232464e+02 4.25874773e+28
5.89235759e+02 7.05633123e+28
5.89239054e+02 8.25914837e+28
5.89242349e+02 7.06189298e+28
5.89245644e+02 4.08285172e+28
5.89248939e+02 1.53655667e+28
5.89252234e+02 4.52933454e+27
5.89255530e+02 2.19018297e+27
5.89258825e+02 1.92397008e+27
5.89262120e+02 1.49871618e+27
5.89265415e+02 7.77564546e+26
5.89268710e+02 1.94617946e+25
5.89272005e+02 -1.82618209e+27
5.89275300e+02 -1.85895138e+27
5.89278595e+02 -1.67338390e+27
5.89281890e+02 -1.32497557e+27
5.89285186e+02 -3.31406195e+26
5.89288481e+02 -9.28532589e+25
5.89291776e+02 1.60647877e+27
5.89295071e+02 7.24865572e+26
5.89298366e+02 7.40865767e+26
5.89301661e+02 2.09888802e+26
5.89304956e+02 -8.43796419e+26
5.89308251e+02 -5.71288699e+26
5.89311547e+02 5.75429644e+26
5.89314842e+02 7.49620238e+26
5.89318137e+02 1.49098079e+27
5.89321432e+02 -1.06566412e+27
5.89324727e+02 -9.69482457e+26
5.89328022e+02 -2.67010741e+27
5.89331317e+02 -1.40031195e+27
5.89334612e+02 7.39297826e+26
5.89337907e+02 1.81516233e+27
5.89341203e+02 1.38833166e+27
5.89344498e+02 -8.20434907e+26
5.89347793e+02 5.94662998e+26
5.89351088e+02 1.63564043e+26
5.89354383e+02 1.72553178e+26
5.89357678e+02 -6.27944028e+26
5.89360973e+02 -5.74604582e+26
5.89364268e+02 1.25159654e+27
5.89367564e+02 -7.52188240e+26
5.89370859e+02 -1.95247603e+27
5.89374154e+02 -1.97677085e+26
5.89377449e+02 -9.97741883e+26
5.89380744e+02 -5.94314901e+26
5.89384039e+02 -6.11771529e+26
5.89387334e+02 -3.78445342e+26
5.89390629e+02 -3.82034306e+25
5.89393924e+02 -8.83238240e+26
5.89397220e+02 -2.41035865e+27
5.89400515e+02 -4.63697506e+27
5.89403810e+02 -4.33566062e+27
5.89407105e+02 -9.95157218e+26
5.89410400e+02 4.04887363e+26
5.89413695e+02 5.59304394e+26
5.89416990e+02 3.41700763e+26
