TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
288,7.9097e+29,3.4819e+29,4.3180e+29,4.0810e+27,6.9000e+27,2.8660e+29,6.1591e+28,2.8156e+29,1.5024e+29,2.4850e+27,1.5960e+27,3.3900e+27,3.5100e+27,3.7455e+08,4.2665e+06,2.7535e+08,2.8254e-09,4.6376e+07,2.5092e+05,5.2822e+05,5.2503e+05,44.0,54.6,0.5,0.9,7.9108e+29,7.6915e+29,1.2698e+28,9.2260e+27,2.7636e+28,0.0000e+00,97.2,1.6,1.2
289,7.7825e+29,3.4081e+29,4.2659e+29,3.9940e+27,6.8640e+27,2.8064e+29,6.0165e+28,2.7661e+29,1.4998e+29,2.4070e+27,1.5870e+27,3.4000e+27,3.4640e+27,3.7480e+08,3.8564e+06,2.9554e+08,5.4714e-10,4.4784e+07,2.4446e+05,5.3140e+05,5.2824e+05,43.8,54.8,0.5,0.9,7.7811e+29,7.5654e+29,1.2515e+28,9.0580e+27,2.7664e+28,0.0000e+00,97.2,1.6,1.2
290,7.7192e+29,3.3707e+29,4.2404e+29,3.9440e+27,6.8620e+27,2.7739e+29,5.9685e+28,2.7528e+29,1.4876e+29,2.3780e+27,1.5660e+27,3.4430e+27,3.4190e+27,3.7516e+08,3.2949e+06,2.7008e+08,8.1669e-11,4.3266e+07,2.4541e+05,5.3457e+05,5.3142e+05,43.7,54.9,0.5,0.9,7.7204e+29,7.5047e+29,1.2457e+28,9.1140e+27,2.7846e+28,0.0000e+00,97.2,1.6,1.2
291,7.6220e+29,3.3154e+29,4.2021e+29,3.5960e+27,6.8590e+27,2.7299e+29,5.8547e+28,2.7140e+29,1.4880e+29,2.1350e+27,1.4610e+27,3.4610e+27,3.3980e+27,3.7530e+08,2.6972e+06,2.9606e+08,8.3297e-12,4.2085e+07,2.4848e+05,5.3773e+05,5.3459e+05,43.5,55.1,0.5,0.9,7.6234e+29,7.4091e+29,1.2441e+28,8.9900e+27,2.8025e+28,0.0000e+00,97.2,1.6,1.2
292,7.5832e+29,3.2669e+29,4.2111e+29,3.6650e+27,6.8590e+27,2.6839e+29,5.8306e+28,2.7028e+29,1.5082e+29,2.1560e+27,1.5090e+27,3.4040e+27,3.4550e+27,3.7499e+08,2.0741e+06,2.9321e+08,4.6984e-13,4.0725e+07,2.4532e+05,5.4088e+05,5.3775e+05,43.1,55.5,0.5,0.9,7.5845e+29,7.3720e+29,1.2358e+28,8.8960e+27,2.8201e+28,0.0000e+00,97.2,1.6,1.2
293,7.5301e+29,3.2247e+29,4.2005e+29,3.6450e+27,6.8530e+27,2.6462e+29,5.7849e+28,2.6995e+29,1.5010e+29,2.1420e+27,1.5030e+27,3.4520e+27,3.4010e+27,3.7450e+08,1.4464e+06,2.7512e+08,9.4752e-15,3.9354e+07,2.4696e+05,5.4402e+05,5.4090e+05,42.8,55.8,0.5,0.9,7.5306e+29,7.3207e+29,1.2268e+28,8.7270e+27,2.8372e+28,0.0000e+00,97.2,1.6,1.2
294,7.4746e+29,3.1799e+29,4.1919e+29,3.4300e+27,6.8530e+27,2.6084e+29,5.7155e+28,2.6849e+29,1.5070e+29,2.0190e+27,1.4110e+27,3.4130e+27,3.4400e+27,3.7257e+08,7.9428e+05,2.6215e+08,2.0377e-17,3.8393e+07,2.4409e+05,5.4714e+05,5.4404e+05,42.5,56.1,0.5,0.9,7.4721e+29,7.2640e+29,1.2422e+28,8.3880e+27,2.8540e+28,0.0000e+00,97.2,1.7,1.1
295,7.3890e+29,3.1230e+29,4.1640e+29,3.3420e+27,6.8550e+27,2.5574e+29,5.6557e+28,2.6448e+29,1.5193e+29,1.9530e+27,1.3890e+27,3.5030e+27,3.3520e+27,3.7267e+08,1.2332e+05,2.6981e+08,1.0665e-20,3.6951e+07,2.2712e+05,5.5024e+05,5.4715e+05,42.3,56.4,0.5,0.9,7.3913e+29,7.1846e+29,1.2230e+28,8.4480e+27,2.8704e+28,0.0000e+00,97.2,1.7,1.1
296,7.3511e+29,3.0754e+29,4.1716e+29,3.5700e+27,6.8500e+27,2.4971e+29,5.7829e+28,2.5225e+29,1.6491e+29,2.2320e+27,1.3380e+27,3.4370e+27,3.4130e+27,3.7292e+08,6.1228e+02,3.0377e+08,1.0194e-20,5.5012e+07,2.1216e+05,5.5332e+05,5.5026e+05,41.8,56.7,0.5,0.9,7.3505e+29,7.1431e+29,1.2385e+28,8.3550e+27,2.8864e+28,0.0000e+00,97.2,1.7,1.1
297,7.2843e+29,3.0414e+29,4.1395e+29,3.4960e+27,6.8420e+27,2.4630e+29,5.7839e+28,2.4835e+29,1.6560e+29,2.1550e+27,1.3410e+27,3.4460e+27,3.3960e+27,3.7333e+08,1.8852e+06,2.6881e+08,9.9250e-19,5.3338e+07,2.0579e+05,5.5639e+05,5.5334e+05,41.8,56.8,0.5,0.9,7.2862e+29,7.0823e+29,1.2132e+28,8.2550e+27,2.9019e+28,0.0000e+00,97.2,1.7,1.1
