TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
202,1.0133e+30,2.7806e+29,7.2031e+29,7.8710e+27,7.0670e+27,2.3096e+29,4.7097e+28,5.8745e+29,1.3286e+29,5.3180e+27,2.5530e+27,3.5730e+27,3.4940e+27,27.4,71.1,0.8,0.7,1.0138e+30,1.0022e+30,1.0243e+28,1.3580e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
203,9.8306e+29,2.7540e+29,6.9221e+29,8.4060e+27,7.0520e+27,2.2558e+29,4.9818e+28,5.4968e+29,1.4253e+29,5.9400e+27,2.4660e+27,3.4910e+27,3.5610e+27,28.0,70.4,0.9,0.7,9.8357e+29,9.7222e+29,9.8630e+27,1.4950e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.2
204,9.5973e+29,2.7433e+29,6.7048e+29,7.8450e+27,7.0760e+27,2.2575e+29,4.8575e+28,5.3796e+29,1.3252e+29,5.4540e+27,2.3910e+27,3.5020e+27,3.5740e+27,28.6,69.9,0.8,0.7,9.5996e+29,9.4894e+29,9.5820e+27,1.4340e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
205,9.2997e+29,2.7151e+29,6.4360e+29,7.8150e+27,7.0460e+27,2.2434e+29,4.7175e+28,5.2439e+29,1.1921e+29,5.2860e+27,2.5290e+27,3.5200e+27,3.5260e+27,29.2,69.2,0.8,0.8,9.3048e+29,9.1962e+29,9.3840e+27,1.4800e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.2
206,9.0355e+29,2.6914e+29,6.1974e+29,7.6020e+27,7.0660e+27,2.2353e+29,4.5617e+28,5.1258e+29,1.0716e+29,5.1950e+27,2.4070e+27,3.5460e+27,3.5200e+27,29.8,68.6,0.8,0.8,9.0406e+29,8.9342e+29,9.2060e+27,1.4410e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.2
207,8.7568e+29,2.6749e+29,5.9350e+29,7.6540e+27,7.0400e+27,2.2107e+29,4.6414e+28,4.8805e+29,1.0545e+29,5.1890e+27,2.4650e+27,3.5160e+27,3.5240e+27,30.5,67.8,0.9,0.8,8.7604e+29,8.6577e+29,8.7670e+27,1.5070e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.2
208,8.5184e+29,2.6514e+29,5.7180e+29,7.8430e+27,7.0580e+27,2.1845e+29,4.6692e+28,4.6743e+29,1.0437e+29,5.5170e+27,2.3260e+27,3.5520e+27,3.5060e+27,31.1,67.1,0.9,0.8,8.5208e+29,8.4175e+29,8.6770e+27,1.6520e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.2
209,8.2755e+29,2.6330e+29,5.4965e+29,7.5440e+27,7.0610e+27,2.1768e+29,4.5616e+28,4.5572e+29,9.3928e+28,5.1580e+27,2.3860e+27,3.5000e+27,3.5610e+27,31.8,66.4,0.9,0.9,8.2796e+29,8.1791e+29,8.4390e+27,1.6190e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.2
210,7.9858e+29,2.6001e+29,5.2451e+29,7.0010e+27,7.0550e+27,2.1614e+29,4.3870e+28,4.3974e+29,8.4769e+28,4.7560e+27,2.2450e+27,3.5190e+27,3.5360e+27,32.6,65.7,0.9,0.9,7.9886e+29,7.8907e+29,8.1760e+27,1.6100e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.2
211,7.7680e+29,2.5785e+29,5.0503e+29,6.8780e+27,7.0490e+27,2.1526e+29,4.2583e+28,4.2782e+29,7.7212e+28,4.6360e+27,2.2420e+27,3.5840e+27,3.4650e+27,33.2,65.0,0.9,0.9,7.7732e+29,7.6784e+29,7.8790e+27,1.5960e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.2
