# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 7.3649e+27 3.4629e+27 0.003244 589.852030
2 7.1236e+27 3.3185e+27 0.003976 589.852473
3 6.6810e+27 3.2978e+27 0.004250 589.852372
4 7.2826e+27 3.9906e+27 0.004259 589.852676
5 7.1813e+27 3.5038e+27 0.004121 589.852890
6 7.6341e+27 4.1218e+27 0.003412 589.853038
7 6.8701e+27 3.8087e+27 0.004510 589.853244
8 6.9987e+27 3.8091e+27 0.004487 589.853887
9 8.3280e+27 4.7507e+27 0.003823 589.852749
10 6.8203e+27 3.2131e+27 0.003831 589.853346
11 8.4858e+27 4.3424e+27 0.004065 589.852100
12 8.8747e+27 4.7087e+27 0.004277 589.852801
