TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
269,1.3426e+30,1.5047e+29,1.1768e+30,8.6300e+27,6.7400e+27,8.0720e+28,6.9750e+28,6.8374e+29,4.9304e+29,4.4700e+27,4.1600e+27,3.3900e+27,3.3500e+27,7.4500e+27,3.0300e+27,5.2159e+07,2.2791e+06,1.7942e+09,4.4755e-08,1.7643e+07,1.1215e+06,4.6700e+05,4.6385e+05,11.2,87.6,0.6,0.5,1.3424e+30,1.3188e+30,2.2320e+28,1.2000e+27,1.1374e+28,0.0000e+00,98.2,1.7,0.1
270,1.3530e+30,1.4905e+29,1.1890e+30,7.8800e+27,7.0300e+27,8.0560e+28,6.8490e+28,6.9727e+29,4.9172e+29,4.1300e+27,3.7500e+27,3.2300e+27,3.8000e+27,7.6200e+27,3.5600e+27,5.2201e+07,1.9447e+06,1.6453e+09,5.7310e-08,1.7898e+07,1.0739e+06,4.7020e+05,4.6702e+05,11.0,87.9,0.6,0.5,1.3526e+30,1.3293e+30,2.2030e+28,1.3000e+27,1.1635e+28,0.0000e+00,98.3,1.6,0.1
271,1.3430e+30,1.5059e+29,1.1779e+30,7.6200e+27,6.9400e+27,8.1620e+28,6.8970e+28,6.8242e+29,4.9547e+29,3.7600e+27,3.8600e+27,3.5500e+27,3.3900e+27,8.1100e+27,3.6300e+27,5.2364e+07,1.5997e+06,1.6353e+09,7.7653e-09,1.8006e+07,1.0551e+06,4.7339e+05,4.7022e+05,11.2,87.7,0.6,0.5,1.3424e+30,1.3197e+30,2.1610e+28,1.0800e+27,1.1721e+28,0.0000e+00,98.3,1.6,0.1
272,1.3730e+30,1.4930e+29,1.2089e+30,7.8200e+27,6.9800e+27,8.0840e+28,6.8460e+28,7.0776e+29,5.0110e+29,3.9400e+27,3.8800e+27,3.4600e+27,3.5200e+27,7.8900e+27,3.3900e+27,5.2449e+07,1.2540e+06,1.8145e+09,6.4916e-10,1.8017e+07,1.0692e+06,4.7661e+05,4.7341e+05,10.9,88.0,0.6,0.5,1.3712e+30,1.3466e+30,2.3370e+28,1.2500e+27,1.1987e+28,0.0000e+00,98.2,1.7,0.1
273,1.3846e+30,1.4921e+29,1.2210e+30,7.5400e+27,6.8300e+27,8.1910e+28,6.7300e+28,7.2338e+29,4.9764e+29,4.0300e+27,3.5100e+27,3.3800e+27,3.4500e+27,7.4200e+27,4.0100e+27,5.2668e+07,9.1541e+05,1.7350e+09,2.5681e-11,1.8116e+07,1.0719e+06,4.7982e+05,4.7662e+05,10.8,88.2,0.5,0.5,1.3856e+30,1.3602e+30,2.4210e+28,1.2300e+27,1.2133e+28,0.0000e+00,98.2,1.7,0.1
274,1.3702e+30,1.4377e+29,1.2119e+30,7.6600e+27,6.8600e+27,7.8510e+28,6.5260e+28,7.2091e+29,4.9101e+29,4.0800e+27,3.5800e+27,3.2200e+27,3.6400e+27,6.6400e+27,3.0600e+27,5.3082e+07,5.7773e+05,1.7383e+09,2.4630e-13,1.8234e+07,1.0437e+06,4.8303e+05,4.7984e+05,10.5,88.4,0.6,0.5,1.3689e+30,1.3444e+30,2.3460e+28,1.0200e+27,1.2277e+28,0.0000e+00,98.2,1.7,0.1
275,1.4230e+30,1.4711e+29,1.2615e+30,7.4200e+27,6.9400e+27,8.2280e+28,6.4830e+28,7.5761e+29,5.0391e+29,3.7600e+27,3.6600e+27,3.4700e+27,3.4700e+27,7.0300e+27,3.5400e+27,5.3356e+07,2.4179e+05,1.9202e+09,4.4714e-17,1.8346e+07,1.0491e+06,4.8627e+05,4.8305e+05,10.3,88.7,0.5,0.5,1.4224e+30,1.3970e+30,2.4300e+28,1.1700e+27,1.2551e+28,0.0000e+00,98.2,1.7,0.1
276,1.4145e+30,1.4329e+29,1.2567e+30,7.7300e+27,6.8400e+27,8.0060e+28,6.3230e+28,7.4408e+29,5.1257e+29,4.2600e+27,3.4700e+27,3.4600e+27,3.3800e+27,6.8000e+27,3.6800e+27,5.3629e+07,1.6548e+01,1.6899e+09,1.0123e-20,1.9633e+07,1.0228e+06,4.8950e+05,4.8629e+05,10.1,88.8,0.5,0.5,1.4131e+30,1.3875e+30,2.4340e+28,1.2000e+27,1.2696e+28,0.0000e+00,98.2,1.7,0.1
277,1.4226e+30,1.4316e+29,1.2650e+30,7.5900e+27,6.8100e+27,7.7470e+28,6.5690e+28,7.1002e+29,5.5501e+29,4.2300e+27,3.3600e+27,3.4000e+27,3.4100e+27,6.4200e+27,3.3000e+27,5.4086e+07,1.3071e+05,1.8250e+09,1.1357e-20,1.9804e+07,1.0087e+06,4.9272e+05,4.8952e+05,10.1,88.9,0.5,0.5,1.4224e+30,1.3966e+30,2.4690e+28,1.0700e+27,1.2838e+28,0.0000e+00,98.2,1.7,0.1
278,1.4416e+30,1.4180e+29,1.2852e+30,7.7000e+27,6.8600e+27,7.5990e+28,6.5810e+28,7.2531e+29,5.5988e+29,3.9700e+27,3.7300e+27,3.4300e+27,3.4300e+27,6.7900e+27,3.3900e+27,5.4822e+07,6.0023e+05,1.8966e+09,8.5794e-15,1.9890e+07,9.7155e+05,4.9597e+05,4.9274e+05,9.8,89.2,0.5,0.5,1.4416e+30,1.4142e+30,2.6140e+28,1.1900e+27,1.3119e+28,0.0000e+00,98.1,1.8,0.1
279,1.4548e+30,1.4341e+29,1.2968e+30,7.7700e+27,6.8700e+27,7.9430e+28,6.3980e+28,7.3702e+29,5.5975e+29,4.1100e+27,3.6600e+27,3.2600e+27,3.6100e+27,7.5800e+27,3.4000e+27,5.5132e+07,1.0691e+06,1.7279e+09,2.7116e-12,1.9929e+07,9.6598e+05,4.9920e+05,4.9599e+05,9.9,89.1,0.5,0.5,1.4538e+30,1.4267e+30,2.6040e+28,1.0500e+27,1.3262e+28,0.0000e+00,98.1,1.8,0.1
280,1.4599e+30,1.4191e+29,1.3029e+30,8.2900e+27,6.8200e+27,7.8030e+28,6.3880e+28,7.4981e+29,5.5304e+29,4.2700e+27,4.0200e+27,3.4700e+27,3.3500e+27,7.9700e+27,3.4400e+27,5.5464e+07,1.5319e+06,1.9375e+09,1.0056e-10,1.9924e+07,9.3766e+05,5.0244e+05,4.9922e+05,9.7,89.2,0.6,0.5,1.4575e+30,1.4300e+30,2.6270e+28,1.2200e+27,1.3475e+28,0.0000e+00,98.1,1.8,0.1
281,1.4397e+30,1.4133e+29,1.2843e+30,7.1900e+27,6.8800e+27,7.9250e+28,6.2080e+28,7.4034e+29,5.4395e+29,3.7200e+27,3.4700e+27,3.4900e+27,3.3900e+27,7.8200e+27,3.6800e+27,5.5732e+07,1.9946e+06,1.8732e+09,1.3997e-09,1.9798e+07,9.0568e+05,5.0567e+05,5.0246e+05,9.8,89.2,0.5,0.5,1.4417e+30,1.4135e+30,2.7000e+28,1.1400e+27,1.3613e+28,0.0000e+00,98.0,1.9,0.1
282,1.4459e+30,1.3944e+29,1.2923e+30,7.3200e+27,6.8700e+27,7.7750e+28,6.1690e+28,7.4942e+29,5.4286e+29,3.8900e+27,3.4300e+27,3.7200e+27,3.1500e+27,7.6500e+27,3.4300e+27,5.6044e+07,2.4467e+06,1.9892e+09,1.0903e-08,1.9771e+07,8.9976e+05,5.0891e+05,5.0569e+05,9.6,89.4,0.5,0.5,1.4459e+30,1.4186e+30,2.6240e+28,1.0300e+27,1.3902e+28,0.0000e+00,98.1,1.8,0.1
