filename,cts2MR
MERCURY1_tr.totfib_sft-05,4.56302349e+24
MERCURY1_tr.totfib_sft005,4.56236927e+24
MERCURY1_tr.totfib_sft015,4.56183163e+24
MERCURY2_tr.totfib_sft-05,4.52532297e+24
MERCURY2_tr.totfib_sft005,4.52462829e+24
MERCURY2_tr.totfib_sft015,4.52404935e+24
MERCURY3_tr.totfib_sft-05,4.60295059e+24
MERCURY3_tr.totfib_sft005,4.60227027e+24
MERCURY3_tr.totfib_sft015,4.60171946e+24
MERCURY4_tr.totfib_sft-05,4.37772513e+24
MERCURY4_tr.totfib_sft005,4.37706697e+24
MERCURY4_tr.totfib_sft015,4.37651792e+24
MERCURY5_tr.totfib_sft-05,4.27736780e+24
MERCURY5_tr.totfib_sft005,4.27671685e+24
MERCURY5_tr.totfib_sft015,4.27618984e+24
MERCURY6_tr.totfib_sft-05,4.06007431e+24
MERCURY6_tr.totfib_sft005,4.04950947e+24
MERCURY6_tr.totfib_sft015,4.05888633e+24
MERCURY7_tr.totfib_sft-05,4.12250797e+24
MERCURY7_tr.totfib_sft005,4.12184254e+24
MERCURY7_tr.totfib_sft015,4.12127756e+24
MERCURY8_tr.totfib_sft-05,4.19290205e+24
MERCURY8_tr.totfib_sft005,4.19225297e+24
MERCURY8_tr.totfib_sft015,4.19172128e+24
MERCURY9_tr.totfib_sft-05,3.90481474e+24
MERCURY9_tr.totfib_sft005,3.89457221e+24
MERCURY9_tr.totfib_sft015,3.90356150e+24
MERCURY10_tr.totfib_sft-05,3.93098780e+24
MERCURY10_tr.totfib_sft005,3.93031239e+24
MERCURY10_tr.totfib_sft015,3.92974950e+24
MERCURY11_tr.totfib_sft-05,3.93152811e+24
MERCURY11_tr.totfib_sft005,3.93081464e+24
MERCURY11_tr.totfib_sft015,3.93018513e+24
MERCURY12_tr.totfib_sft-05,3.95113993e+24
MERCURY12_tr.totfib_sft005,3.95045357e+24
MERCURY12_tr.totfib_sft015,3.94988013e+24
