# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 1.1813e+28 2.2923e+27 0.000034 589.840870
2 1.1752e+28 2.3159e+27 0.000033 589.840909
3 1.1864e+28 2.2874e+27 0.000034 589.840804
4 1.2053e+28 2.3048e+27 0.000037 589.840705
5 1.2150e+28 2.2962e+27 0.000040 589.840562
6 1.1904e+28 2.3413e+27 0.000031 589.840428
7 1.2132e+28 2.2985e+27 0.000036 589.840486
8 1.2216e+28 2.2727e+27 0.000040 589.840366
9 1.2274e+28 2.3640e+27 0.000040 589.840404
10 1.2488e+28 2.3359e+27 0.000036 589.840331
11 1.2121e+28 2.3385e+27 0.000041 589.840224
12 1.2054e+28 2.3692e+27 0.000041 589.840166
